k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |  4.0997369887712187|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6293057501316071, 5.726027071475983]                                         |  2.0791718959808350|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.6697273217141628, 6.701402366161346]                                         |  0.9888598918914795|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[0.6697273217141628, 6.701402366161346]                                         |  0.9888598918914795|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.1133602820336819, 8.522375643253326]                                         |  0.2058482468128204|      4.00000000|[14, 4, 1, 5]                                                              | | GPS sucess | actual_k=1
       5|[1.1133602820336819, 8.522375643253326]                                         |  0.2058482468128204|      2.00000000|[17, 5, 1, 6]                                                              |  | used linear model with 5 points | actual_k=1
       6|[1.1133602820336819, 8.522375643253326]                                         |  0.2058482468128204|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.0932153593748808, 8.655488476157188]                                         |  0.1630846560001373|      2.00000000|[24, 7, 2, 9]                                                              | | GPS sucess | actual_k=1
       8|[0.891346512362361, 10.203830942511559]                                         |  0.0150251612067223|      4.00000000|[27, 8, 2, 10]                                                             | | GPS sucess | actual_k=1
       9|[0.891346512362361, 10.203830942511559]                                         |  0.0150251612067223|      2.00000000|[30, 9, 2, 11]                                                             |  | used linear model with 5 points | actual_k=1
      10|[0.891346512362361, 10.203830942511559]                                         |  0.0150251612067223|      1.00000000|[33, 10, 3, 13]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.891346512362361, 10.203830942511559]                                         |  0.0150251612067223|      0.50000000|[37, 11, 4, 15]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.891346512362361, 10.203830942511559]                                         |  0.0150251612067223|      0.25000000|[41, 12, 5, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[1.0159437414258718, 9.998521983623505]                                         |  0.0001900169008877|      0.50000000|[45, 13, 5, 18]                                                            | | GPS sucess | actual_k=1
      14|[1.0159437414258718, 9.998521983623505]                                         |  0.0001900169008877|      0.25000000|[48, 14, 5, 19]                                                            |  | used linear model with 5 points | actual_k=1
      15|[1.0159437414258718, 9.998521983623505]                                         |  0.0001900169008877|      0.12500000|[51, 15, 6, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
