k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.1, 0.1]                                                                      |48401.1000000000858563|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5285364747047425, 0.9206274509429931]                                        |16105.5869140625000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.5285364747047425, 0.9206274509429931]                                        |16105.5869140625000000|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.5285364747047425, 0.9206274509429931]                                        |16105.5869140625000000|      0.50000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.5285364747047425, 0.9206274509429931]                                        |16105.5869140625000000|      0.25000000|[15, 4, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.7181836724281312, 0.7577350348234176]                                        |8091.7514648437500000|      0.50000000|[19, 5, 3, 8]                                                              | | GPS sucess | actual_k=1
       6|[0.7181836724281312, 0.7577350348234176]                                        |8091.7514648437500000|      0.25000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.4828031569719315, 0.841972841322422]                                         |3362.4931640625000000|      0.50000000|[26, 7, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[0.4828031569719315, 0.841972841322422]                                         |3362.4931640625000000|      0.25000000|[29, 8, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.4828031569719315, 0.841972841322422]                                         |3362.4931640625000000|      0.12500000|[33, 9, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.4828031569719315, 0.841972841322422]                                         |3362.4931640625000000|      0.06250000|[37, 10, 7, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.4454911187291146, 0.8921132631599903]                                        | 32.6124114990234375|      0.12500000|[41, 11, 7, 18]                                                            | | GPS sucess | actual_k=1
      12|[0.4454911187291146, 0.8921132631599903]                                        | 32.6124114990234375|      0.06250000|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
