k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0]                                                                      |416.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0380256175994873, -0.2731397151947021]                                       | 76.5429077148437500|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-0.9398970603942871, 0.0232083201408386]                                       | 47.3754463195800781|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-0.9398970603942871, 0.0232083201408386]                                       | 47.3754463195800781|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.9398970603942871, 0.0232083201408386]                                       | 47.3754463195800781|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-0.9398970603942871, 0.0232083201408386]                                       | 47.3754463195800781|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-0.9398970603942871, 0.0232083201408386]                                       | 47.3754463195800781|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.8136189964426299, 0.2389717335468681]                                       | 42.5701044136048807|      0.50000000|[33, 0, 5, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[-1.2235904124391814, 0.5251944596535117]                                       | 36.9880256652832031|      1.00000000|[38, 0, 5, 13]                                                             | | GPS sucess | actual_k=0
       9|[0.7691031309949616, 0.3543934161430747]                                        | 29.0429248809814453|      2.00000000|[42, 0, 5, 14]                                                             | | GPS sucess | actual_k=0
      10|[0.7691031309949616, 0.3543934161430747]                                        | 29.0429248809814453|      1.00000000|[46, 0, 6, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-0.9320614722383758, 1.4060774380928427]                                       |  8.8181686401367188|      2.00000000|[51, 0, 6, 17]                                                             | | GPS sucess | actual_k=0
      12|[-0.9320614722383758, 1.4060774380928427]                                       |  8.8181686401367188|      1.00000000|[55, 0, 7, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-0.9320614722383758, 1.4060774380928427]                                       |  8.8181686401367188|      0.50000000|[60, 0, 8, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
