k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[500.0, 0.0001]                                                                 |11202.6567683362045500|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.50000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.25000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.12500000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.06250000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.03125000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.01562500|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.00781250|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.00390625|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[500.0001319988223, 0.0002726656919345]                                         | 69.6338806152343750|      0.00781250|[41, 17, 0, 17]                                                            | | GPS sucess | actual_k=1
      10|[500.0001319988223, 0.0002726656919345]                                         | 69.6338806152343750|      0.00390625|[46, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[500.0001319988223, 0.0002726656919345]                                         | 69.6338806152343750|      0.00195312|[51, 21, 0, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
