k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.3, 0.4]                                                                      |4171.3061619604923180|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3, 0.4]                                                                      |4171.3061619604923180|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.2956463575363159, -0.099981015920639]                                        |319.7089233398437500|      1.00000000|[8, 2, 1, 3]                                                               | | GPS sucess | actual_k=1
       3|[-0.6020678997039794, 0.3405970573425293]                                       |262.8684997558593750|      2.00000000|[11, 3, 1, 4]                                                              | | GPS sucess | actual_k=1
       4|[-0.6020678997039794, 0.3405970573425293]                                       |262.8684997558593750|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-0.6020678997039794, 0.3405970573425293]                                       |262.8684997558593750|      0.50000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.6020678997039794, 0.3405970573425293]                                       |262.8684997558593750|      0.25000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-0.6020678997039794, 0.3405970573425293]                                       |262.8684997558593750|      0.12500000|[26, 7, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.6020678997039794, 0.3405970573425293]                                       |262.8684997558593750|      0.06250000|[30, 8, 6, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-0.6020678997039794, 0.3405970573425293]                                       |262.8684997558593750|      0.03125000|[34, 9, 7, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[-0.6323849231004715, 0.3330181083641947]                                       |251.6316375732421875|      0.06250000|[38, 10, 7, 17]                                                            | | GPS sucess | actual_k=1
      11|[-0.6323849231004715, 0.3330181083641947]                                       |251.6316375732421875|      0.03125000|[41, 11, 8, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[-0.6323849231004715, 0.3330181083641947]                                       |251.6316375732421875|      0.01562500|[45, 12, 9, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
