k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |186382.3816574575030245|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9832313656806946, 0.8176373541355133]                                        |184595.0312500000000000|      2.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       2|[3.983107626438141, 0.839865118265152]                                          |180859.7500000000000000|      4.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       3|[5.960963785648346, 1.1366560757160187]                                         |176821.6093750000000000|      8.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       4|[13.960691034793854, 1.202743798494339]                                         |161851.8593750000000000|     16.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       5|[20.74145656824112, 15.694852143526077]                                         |147955.4375000000000000|     32.00000000|[41, 0, 0, 10]                                                             | | GPS sucess | actual_k=0
       6|[84.02234417200089, 6.12775257229805]                                           |56750.5156250000000000|     64.00000000|[49, 0, 0, 12]                                                             | | GPS sucess | actual_k=0
       7|[183.23318248987198, 87.00549152493477]                                         |10462.7070312500000000|    128.00000000|[57, 0, 0, 14]                                                             | | GPS sucess | actual_k=0
       8|[183.23318248987198, 87.00549152493477]                                         |10462.7070312500000000|     64.00000000|[65, 0, 1, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[171.7303062081337, 57.1444151699543]                                           |9775.0546875000000000|    128.00000000|[74, 0, 1, 19]                                                             | | GPS sucess | actual_k=0
      10|[171.7303062081337, 57.1444151699543]                                           |9775.0546875000000000|     64.00000000|[82, 0, 2, 22]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
