k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4479222416877746, 0.5555692315101624]                                       | 43.7554740905761719|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-0.4479222416877746, 0.5555692315101624]                                       | 43.7554740905761719|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.5205635309219361, 0.6803614720702171]                                        | 29.3138599395751953|      2.00000000|[11, 3, 1, 4]                                                              | | GPS sucess | actual_k=1
       4|[1.0491742968559266, 0.7671863585710526]                                        | 15.0343055725097656|      4.00000000|[14, 4, 1, 5]                                                              | | GPS sucess | actual_k=1
       5|[1.0491742968559266, 0.7671863585710526]                                        | 15.0343055725097656|      2.00000000|[17, 5, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.7898955821990967, 0.7346750162541866]                                        |  5.8923907279968262|      4.00000000|[21, 6, 2, 8]                                                              | | GPS sucess | actual_k=1
       7|[0.7898955821990967, 0.7346750162541866]                                        |  5.8923907279968262|      2.00000000|[24, 7, 3, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.1684594869613647, -0.1625075675547123]                                      |  3.8530757427215576|      4.00000000|[28, 8, 3, 11]                                                             | | GPS sucess | actual_k=1
       9|[-0.1684594869613647, -0.1625075675547123]                                      |  3.8530757427215576|      2.00000000|[31, 9, 4, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[-0.1684594869613647, -0.1625075675547123]                                      |  3.8530757427215576|      1.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.4309334635734559, -0.0987304113805294]                                       |  3.5192191600799561|      2.00000000|[39, 11, 5, 16]                                                            | | GPS sucess | actual_k=1
      12|[0.4309334635734559, -0.0987304113805294]                                       |  3.5192191600799561|      1.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.4309334635734559, -0.0987304113805294]                                       |  3.5192191600799561|      0.50000000|[46, 13, 7, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
