k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.34397429227829, 149.9618835784495, -100.04202165827155, 1.2417400628328323, 1.6475141644477844]|85643.4921875000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[48.453833162784576, 149.647457215935, -99.3733176253736, 1.8595364838838577, 3.0800452828407288]|82788.0703125000000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[46.466566026210785, 148.69058630242944, -99.73041146621108, 4.195053651928902, 2.6947272419929504]|76195.8515625000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[39.4314369559288, 149.35582283511758, -101.30646055564284, 6.246126249432564, 2.533981814980507]|55699.2031250000000000|     16.00000000|[61, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|     32.00000000|[76, 5, 0, 5]                                                              | | GPS sucess | actual_k=1
       6|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|     16.00000000|[104, 7, 0, 7]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      8.00000000|[132, 9, 0, 9]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      4.00000000|[161, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      2.00000000|[189, 13, 0, 13]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      1.00000000|[217, 15, 0, 15]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.50000000|[246, 17, 0, 17]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.25000000|[273, 19, 0, 19]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.12500000|[300, 21, 0, 21]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.06250000|[327, 23, 0, 23]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.03125000|[354, 25, 0, 25]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.01562500|[381, 27, 0, 27]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.00781250|[408, 29, 0, 29]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.00390625|[435, 31, 0, 31]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.00195312|[463, 33, 0, 33]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.00097656|[490, 35, 0, 35]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      21|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.00048828|[518, 37, 0, 37]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      22|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.00024414|[545, 39, 0, 39]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      23|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.00012207|[572, 41, 0, 41]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      24|[30.857672154903412, 142.8148091174662, -101.4643590413034, -2.907380983233452, -2.9957995265722275]|-100000002004087734272.0000000000000000|      0.00006104|[599, 43, 0, 43]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
