k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1018646135926247, 0.2747186124324799, -0.1371344774961472, 0.4579889476299286, 0.2082384824752808, -0.3116141855716705, -0.1069749742746353, -0.1159370169043541, 0.1397458463907242, 0.0341021008789539, -0.1914674788713455, -0.0652851238846779, -0.0144762769341469, 0.3372019827365875, 0.0044242618605494, 0.0833753123879433, 0.1970299333333969, 0.3441072106361389, 0.0740230232477188, 0.0973721370100975, -0.072860524058342, -0.4003027379512787]| 14.1187686920166016|      2.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       2|[0.4199729338288307, 0.4848651140928268, 0.0137902349233627, 1.5193719565868378, -0.4800477623939514, -0.0606125593185425, -0.543024554848671, -0.3426791056990623, -0.5373474806547165, 0.0342656855500536, -0.3939835578203201, -0.007014162838459, 0.5667050704360008, 0.3250682363286614, -0.3890505852177739, 0.3064623400568962, 0.6398978382349014, 0.0634193122386932, -0.1381497532129288, -0.5346542969346046, -0.4656404405832291, -0.3108566105365753]| 12.6099729537963867|      4.00000000|[61, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       3|[2.546494521200657, 0.800846055150032, -0.6738428622484207, 1.3072700947523117, 0.267257034778595, 0.1283477246761322, -0.180669829249382, -1.331854723393917, -1.5428728312253952, 0.9712179784692125, -1.3791534453630447, 0.1474708095192909, -0.1613654866814613, 1.2254399070516229, 0.3059241948649287, -0.3630294874310493, 2.0464830547571182, 0.0160987675189972, -1.0662986189126968, -1.465040422976017, -0.2621676176786423, -0.8125949800014496]| 12.1494493484497070|      8.00000000|[91, 6, 0, 6]                                                              | | GPS sucess | actual_k=1
       4|[2.546494521200657, 0.800846055150032, -0.6738428622484207, 1.3072700947523117, 0.267257034778595, 0.1283477246761322, -0.180669829249382, -1.331854723393917, -1.5428728312253952, 0.9712179784692125, -1.3791534453630447, 0.1474708095192909, -0.1613654866814613, 1.2254399070516229, 0.3059241948649287, -0.3630294874310493, 2.0464830547571182, 0.0160987675189972, -1.0662986189126968, -1.465040422976017, -0.2621676176786423, -0.8125949800014496]| 12.1494493484497070|      4.00000000|[121, 8, 0, 8]                                                             |  | used linear model with 33 points | actual_k=1
       5|[2.5582551462575793, -0.4352606981992722, -0.3612635284662247, 1.3095892970450222, 1.1037119626998901, 0.0051819309592247, 0.6140543967485428, -2.6661908850073814, -1.933567926287651, 1.3013837222970324, -1.9359001070261002, 1.3518641963601112, -0.7231862917542458, 1.6006549904122949, -1.8454618277028203, -1.4578552320599556, 2.6139687448740005, -0.0741480812430382, -1.0589840887114406, -0.0071065202355385, 0.4104299694299698, -0.9953937530517578]| 12.1478862762451172|      8.00000000|[151, 10, 0, 10]                                                           | | GPS sucess | actual_k=1
       6|[2.5582551462575793, -0.4352606981992722, -0.3612635284662247, 1.3095892970450222, 1.1037119626998901, 0.0051819309592247, 0.6140543967485428, -2.6661908850073814, -1.933567926287651, 1.3013837222970324, -1.9359001070261002, 1.3518641963601112, -0.7231862917542458, 1.6006549904122949, -1.8454618277028203, -1.4578552320599556, 2.6139687448740005, -0.0741480812430382, -1.0589840887114406, -0.0071065202355385, 0.4104299694299698, -0.9953937530517578]| 12.1478862762451172|      4.00000000|[181, 12, 0, 12]                                                           |  | used linear model with 33 points | actual_k=1
       7|[2.5582551462575793, -0.4352606981992722, -0.3612635284662247, 1.3095892970450222, 1.1037119626998901, 0.0051819309592247, 0.6140543967485428, -2.6661908850073814, -1.933567926287651, 1.3013837222970324, -1.9359001070261002, 1.3518641963601112, -0.7231862917542458, 1.6006549904122949, -1.8454618277028203, -1.4578552320599556, 2.6139687448740005, -0.0741480812430382, -1.0589840887114406, -0.0071065202355385, 0.4104299694299698, -0.9953937530517578]| 12.1478862762451172|      2.00000000|[211, 14, 0, 14]                                                           |  | used linear model with 33 points | actual_k=1
       8|[2.1954192323610187, 0.3481580168008804, -0.5239115804433823, 1.5539728705771267, 1.2790389358997345, -0.0468417629599571, 0.4617267251014709, -2.6918386835604906, -1.9678214453160763, 1.6843465750134783, -1.9584260992705822, 0.6997930780053139, 0.2403384670615196, 1.7162200370803475, -1.5557433487847447, -1.4605427130591124, 2.406369239091873, -0.9662394151091576, -1.5398407457396388, -0.2101090475916862, 1.0419594198465347, -0.9539760649204254]| 12.1471309661865234|      4.00000000|[241, 16, 0, 16]                                                           | | GPS sucess | actual_k=1
       9|[1.0329157514497638, 1.315530613064766, -0.9147905558347702, 2.4974573557265103, 1.9727126061916351, -0.003899808973074, 0.1274154186248779, -3.7164555210620165, -2.9992749355733395, -0.2821562106691999, -1.494396161288023, 0.3656731024384499, 0.5320685133337975, 2.6164983669295907, -0.4616410853341222, -1.3746840253006667, 1.8533007204532623, -0.0704527720808983, -1.1035258350893855, 1.0222073271870613, 1.6646027117967606, -1.6338214576244354]| 12.1460866928100586|      8.00000000|[271, 18, 0, 18]                                                           | | GPS sucess | actual_k=1
      10|[-1.2201464967802167, 3.5061372071504593, 0.2760381251573563, 3.861920088995248, 2.6416002213954926, 1.4982366599142551, -0.6865423321723938, -2.321452559903264, -2.5141377113759518, 0.4506957118428545, -2.698547314852476, 0.136954091489315, 0.1014752015471458, 0.2482742229476571, -2.5548148276284337, -4.011030127061531, 0.5305446684360504, -0.4953591451048851, 1.6042094649747014, 1.0859804153442383, -2.0046263188123703, 0.2109159529209137]| 12.1406774520874023|     16.00000000|[301, 20, 0, 20]                                                           | | GPS sucess | actual_k=1
      11|[-1.2201464967802167, 3.5061372071504593, 0.2760381251573563, 3.861920088995248, 2.6416002213954926, 1.4982366599142551, -0.6865423321723938, -2.321452559903264, -2.5141377113759518, 0.4506957118428545, -2.698547314852476, 0.136954091489315, 0.1014752015471458, 0.2482742229476571, -2.5548148276284337, -4.011030127061531, 0.5305446684360504, -0.4953591451048851, 1.6042094649747014, 1.0859804153442383, -2.0046263188123703, 0.2109159529209137]| 12.1406774520874023|      8.00000000|[331, 22, 0, 22]                                                           |  | used linear model with 33 points | actual_k=1
      12|[-1.036036659963429, 1.6126116067171097, 0.7250270396471024, 3.727246091235429, 6.422865480184555, 0.492427472025156, -2.875474274158478, -3.654691280797124, -3.185572173446417, 0.6282713745749788, -4.672247242182493, -0.1114327684044838, -1.7427221909165382, 3.8866940895095468, -2.7370686354115605, -6.303048540605232, -1.0603000819683075, -2.569171153008938, 1.7684409292414784, 1.273382917046547, -4.234554335474968, -0.0147750824689865]| 12.1395540237426758|     16.00000000|[361, 24, 0, 24]                                                           | | GPS sucess | actual_k=1
      13|[-1.036036659963429, 1.6126116067171097, 0.7250270396471024, 3.727246091235429, 6.422865480184555, 0.492427472025156, -2.875474274158478, -3.654691280797124, -3.185572173446417, 0.6282713745749788, -4.672247242182493, -0.1114327684044838, -1.7427221909165382, 3.8866940895095468, -2.7370686354115605, -6.303048540605232, -1.0603000819683075, -2.569171153008938, 1.7684409292414784, 1.273382917046547, -4.234554335474968, -0.0147750824689865]| 12.1395540237426758|      8.00000000|[391, 26, 0, 26]                                                           |  | used linear model with 33 points | actual_k=1
      14|[-1.036036659963429, 1.6126116067171097, 0.7250270396471024, 3.727246091235429, 6.422865480184555, 0.492427472025156, -2.875474274158478, -3.654691280797124, -3.185572173446417, 0.6282713745749788, -4.672247242182493, -0.1114327684044838, -1.7427221909165382, 3.8866940895095468, -2.7370686354115605, -6.303048540605232, -1.0603000819683075, -2.569171153008938, 1.7684409292414784, 1.273382917046547, -4.234554335474968, -0.0147750824689865]| 12.1395540237426758|      4.00000000|[421, 28, 0, 28]                                                           |  | used linear model with 33 points | actual_k=1
      15|[-1.036036659963429, 1.6126116067171097, 0.7250270396471024, 3.727246091235429, 6.422865480184555, 0.492427472025156, -2.875474274158478, -3.654691280797124, -3.185572173446417, 0.6282713745749788, -4.672247242182493, -0.1114327684044838, -1.7427221909165382, 3.8866940895095468, -2.7370686354115605, -6.303048540605232, -1.0603000819683075, -2.569171153008938, 1.7684409292414784, 1.273382917046547, -4.234554335474968, -0.0147750824689865]| 12.1395540237426758|      2.00000000|[451, 30, 0, 30]                                                           |  | used linear model with 33 points | actual_k=1
      16|[-1.5575407641008496, 1.8532693684101105, 0.368347242474556, 4.2309245322830975, 6.205909356474876, 0.7257228828966618, -2.94043006002903, -2.8586087841540575, -3.8521791361272335, 1.1862877343810396, -4.764782015234232, -0.2502195760607719, -1.6073521599173546, 3.745156810618937, -3.093599480576813, -6.206724245799705, -2.2197247445583344, -2.7157681807875633, 1.9595322730019689, 1.2058326378464699, -3.805409237742424, 0.0057037528604269]| 12.1388654708862305|      4.00000000|[481, 32, 0, 32]                                                           | | GPS sucess | actual_k=1
      17|[-2.319052387960255, 1.3090245425701141, -0.0694717019796371, 4.929684028495103, 6.073880136013031, -0.3112547658383846, -0.8797522932291031, -3.646842898800969, -4.96918436512351, 1.5309716795600252, -5.016017679125071, 1.3811686113476753, -1.9012211188673973, 4.608444259501994, -1.7672057570889592, -5.941394527209923, -2.4655669927597046, -1.91619124263525, 2.374372881837189, 2.115469552576542, -3.6465184092521667, 0.0866193827241659]| 12.1365346908569336|      8.00000000|[511, 34, 0, 34]                                                           | | GPS sucess | actual_k=1
