k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0203832238912582, -0.17049440741539, -0.2128926515579224, 0.5306971073150635, -0.0900401622056961, -0.1435547918081284, 0.0094469115138054, -0.235199436545372, 0.091901034116745, -0.0728132575750351, -0.1801010817289352, 0.1264974176883698, 0.2771884799003601, -0.0573553070425987, -0.2299992889165878, -0.1014527156949043, -0.3135204017162323, 0.1232498958706856, -0.1726530194282532, 0.1146460026502609, -0.136623740196228, -0.1219010725617409]| 14.1699275970458984|      2.00000000|[57, 8, 0, 1]                                                              | | GPS sucess | actual_k=8
       2|[0.2575770169496536, -0.6764000356197357, 0.3995752930641174, 1.10756915807724, -0.6361302882432938, -0.5757698863744736, -0.1138963550329208, -0.2662023883312941, 0.4322986006736755, 0.4919958263635635, -0.3983340859413147, 0.5897701382637024, -0.2152852118015289, 0.0483612790703773, -0.6876635402441025, -0.6317282989621162, 0.3231927454471588, 0.2252810001373291, 0.1873405277729034, -0.1533139795064926, -0.5633973181247711, -0.3696795627474785]| 13.0974025726318359|      4.00000000|[113, 16, 0, 2]                                                            | | GPS sucess | actual_k=8
       3|[1.1885609775781631, -0.4495659321546555, 0.8904296457767487, 2.079329252243042, -0.5730719342827797, -1.175643429160118, -0.0035976096987724, 1.4906477350741625, 1.0887093544006348, -1.2373016923666, -0.8060778081417084, 0.2584375143051147, 0.2794528603553772, -0.0624843910336494, 0.2709630876779556, -1.1901860311627388, 0.6568311154842377, 0.1479365676641464, 0.7648346126079559, -0.0253217965364456, -1.940346747636795, -1.0440583154559135]| 12.1435852050781250|      8.00000000|[169, 24, 0, 3]                                                            | | GPS sucess | actual_k=8
       4|[-0.4869434684514999, 0.0738982111215591, 2.6920370161533356, 2.9786487817764282, 1.5124128088355064, -0.8269142955541611, -2.507345788180828, -0.5833798032253981, 2.181376576423645, -4.34692870080471, -0.7807915527373552, -1.4888854026794434, 0.6861754953861237, -2.286794312298298, -2.6707154363393784, -2.1686672046780586, -0.6479187309741974, -1.4205340296030045, 1.0263802707195282, -1.1489796191453934, -3.924061566591263, 0.836155541241169]| 12.1419115066528320|     16.00000000|[225, 32, 0, 4]                                                            | | GPS sucess | actual_k=8
       5|[-3.7902989238500595, -4.423800095915794, 1.1921959221363068, 6.008320450782776, 3.0297329649329185, 6.537826552987099, -4.53523313254118, -1.3269145470112562, 1.8323904871940613, -1.3508084863424301, -4.358389647677541, -5.378615617752075, 2.009667307138443, -0.0149916484951973, -2.507082015275955, -7.052594073116779, 6.122674435377121, -6.199632063508034, -1.3149149715900421, -2.857112482190132, -1.6842210590839386, 1.9601154401898384]| 12.1415643692016602|     32.00000000|[281, 40, 0, 5]                                                            | | GPS sucess | actual_k=8
       6|[-5.013583168387413, -4.655003190040588, 0.2956295311450958, 7.399974584579468, 5.349246524274349, -5.594421371817589, -14.746753327548504, 4.017708541825414, -2.8094804883003235, -21.443299636244774, -7.565482409670949, -4.974786251783371, 3.667123705148697, -3.828204520046711, -9.660394698381424, -8.859933145344257, 0.8970541656017303, -3.0677436739206314, -9.79239109158516, -8.518285349011421, -2.100177139043808, 4.094289310276508]| 12.1263046264648438|     64.00000000|[337, 48, 0, 6]                                                            | | GPS sucess | actual_k=8
       7|[-19.706170067191124, -20.83298170566559, -7.388945549726486, 21.44470191001892, 6.554269813001156, -9.861718162894249, -25.97060167044401, 6.356837512925267, -15.399926006793976, -57.984574660658836, -9.410171063616872, 6.007170230150223, 22.777419954538345, -7.931080706417561, -5.0261044800281525, -26.30673909932375, 2.867469757795334, -1.4660408645868301, -1.7354815304279327, -7.272510960698128, -7.833195060491562, -4.9040436670184135]| 12.0882101058959961|    128.00000000|[393, 56, 0, 7]                                                            | | GPS sucess | actual_k=8
       8|[-35.918553337454796, -44.712990403175354, -7.814427733421326, 35.763660192489624, -17.810773827135563, -5.58620785176754, 27.357420332729816, 15.549146892502904, -12.851938784122467, -101.22120414674282, -42.30283692665398, 13.20901444554329, 10.70346537232399, -54.51117027550936, -32.477522403001785, 24.491543523967266, -4.18435338139534, -33.52708746492863, -3.517331510782242, 10.484647318720818, 13.010526329278946, -25.424248211085796]| 12.0289592742919922|    256.00000000|[449, 64, 0, 8]                                                            | | GPS sucess | actual_k=8
       9|[-35.918553337454796, -44.712990403175354, -7.814427733421326, 35.763660192489624, -17.810773827135563, -5.58620785176754, 27.357420332729816, 15.549146892502904, -12.851938784122467, -101.22120414674282, -42.30283692665398, 13.20901444554329, 10.70346537232399, -54.51117027550936, -32.477522403001785, 24.491543523967266, -4.18435338139534, -33.52708746492863, -3.517331510782242, 10.484647318720818, 13.010526329278946, -25.424248211085796]| 12.0289592742919922|    128.00000000|[505, 72, 0, 9]                                                            |  | used linear model with 65 points | actual_k=8
      10|[-35.918553337454796, -44.712990403175354, -7.814427733421326, 35.763660192489624, -17.810773827135563, -5.58620785176754, 27.357420332729816, 15.549146892502904, -12.851938784122467, -101.22120414674282, -42.30283692665398, 13.20901444554329, 10.70346537232399, -54.51117027550936, -32.477522403001785, 24.491543523967266, -4.18435338139534, -33.52708746492863, -3.517331510782242, 10.484647318720818, 13.010526329278946, -25.424248211085796]| 12.0289592742919922|     64.00000000|[561, 80, 0, 10]                                                           |  | used linear model with 65 points | actual_k=8
      11|[-35.918553337454796, -44.712990403175354, -7.814427733421326, 35.763660192489624, -17.810773827135563, -5.58620785176754, 27.357420332729816, 15.549146892502904, -12.851938784122467, -101.22120414674282, -42.30283692665398, 13.20901444554329, 10.70346537232399, -54.51117027550936, -32.477522403001785, 24.491543523967266, -4.18435338139534, -33.52708746492863, -3.517331510782242, 10.484647318720818, 13.010526329278946, -25.424248211085796]| 12.0289592742919922|     32.00000000|[617, 88, 0, 11]                                                           |  | used linear model with 65 points | actual_k=8
      12|[-35.918553337454796, -44.712990403175354, -7.814427733421326, 35.763660192489624, -17.810773827135563, -5.58620785176754, 27.357420332729816, 15.549146892502904, -12.851938784122467, -101.22120414674282, -42.30283692665398, 13.20901444554329, 10.70346537232399, -54.51117027550936, -32.477522403001785, 24.491543523967266, -4.18435338139534, -33.52708746492863, -3.517331510782242, 10.484647318720818, 13.010526329278946, -25.424248211085796]| 12.0289592742919922|     16.00000000|[673, 96, 0, 12]                                                           |  | used linear model with 65 points | actual_k=8
      13|[-38.5929004997015, -45.20044136047363, -6.62638258934021, 37.530487060546875, -22.468377090990543, -0.5528178066015244, 32.757131941616535, 13.853850128129125, -17.110626757144928, -99.55858694016933, -42.69288787432015, 8.142239600419998, 9.284299045801163, -53.190967567265034, -36.109217673540115, 23.046204559504986, -0.6994555294513702, -29.63970996439457, -3.715866819024086, 4.576119944453239, 17.992614418268204, -23.362355463206768]| 12.0195236206054688|     32.00000000|[729, 104, 0, 13]                                                          | | GPS sucess | actual_k=8
      14|[-38.5929004997015, -45.20044136047363, -6.62638258934021, 37.530487060546875, -22.468377090990543, -0.5528178066015244, 32.757131941616535, 13.853850128129125, -17.110626757144928, -99.55858694016933, -42.69288787432015, 8.142239600419998, 9.284299045801163, -53.190967567265034, -36.109217673540115, 23.046204559504986, -0.6994555294513702, -29.63970996439457, -3.715866819024086, 4.576119944453239, 17.992614418268204, -23.362355463206768]| 12.0195236206054688|     16.00000000|[785, 112, 0, 14]                                                          |  | used linear model with 65 points | actual_k=8
      15|[-38.5929004997015, -45.20044136047363, -6.62638258934021, 37.530487060546875, -22.468377090990543, -0.5528178066015244, 32.757131941616535, 13.853850128129125, -17.110626757144928, -99.55858694016933, -42.69288787432015, 8.142239600419998, 9.284299045801163, -53.190967567265034, -36.109217673540115, 23.046204559504986, -0.6994555294513702, -29.63970996439457, -3.715866819024086, 4.576119944453239, 17.992614418268204, -23.362355463206768]| 12.0195236206054688|      8.00000000|[841, 120, 0, 15]                                                          |  | used linear model with 65 points | actual_k=8
      16|[-41.262101873755455, -43.78982353210449, -6.419600635766983, 39.435760736465454, -22.723690696060658, -1.322510227560997, 29.800636418163776, 13.024633111432195, -16.267792642116547, -101.65554796159267, -42.851952316239476, 7.245586305856705, 11.611786752939224, -51.310269840061665, -36.94698664546013, 23.049945371691138, -2.0166726410388947, -28.075059190392494, -3.912039041519165, 6.093699619174004, 16.331639677286148, -21.47304581850767]| 12.0165929794311523|     16.00000000|[897, 128, 0, 16]                                                          | | GPS sucess | actual_k=8
      17|[-46.648061975836754, -43.88954769074917, -0.9425274431705475, 42.93405485153198, -22.510300360620022, -6.111804947257042, 29.329539693892002, 13.233320789411664, -12.795661628246307, -102.99350713193417, -43.33714157529175, 10.752389580011368, 11.567692704498768, -55.155152566730976, -30.122498005628586, 28.082670705858618, -0.8869360983371735, -24.0337126404047, -5.075793266296387, 9.089960739016533, 16.981783360242844, -23.604005806148052]| 12.0041646957397461|     32.00000000|[953, 136, 0, 17]                                                          | | GPS sucess | actual_k=8
      18|[-48.98608587682247, -46.20201979577541, 9.046550124883652, 43.249483555555344, -20.1747190579772, -3.3346199840307236, 26.850755371153355, 15.553060369566083, -12.568617209792137, -93.49504731595516, -36.26251131482422, 15.517156273126602, 10.585386998951435, -60.46741319447756, -24.649839371442795, 14.511287229601294, -11.105385690927505, -23.40752698481083, -5.663757622241974, 2.589091941714287, 2.6110510528087616, -13.355454437434673]| 12.0009355545043945|     64.00000000|[1009, 144, 0, 18]                                                         | | GPS sucess | actual_k=8
      19|[-48.98608587682247, -46.20201979577541, 9.046550124883652, 43.249483555555344, -20.1747190579772, -3.3346199840307236, 26.850755371153355, 15.553060369566083, -12.568617209792137, -93.49504731595516, -36.26251131482422, 15.517156273126602, 10.585386998951435, -60.46741319447756, -24.649839371442795, 14.511287229601294, -11.105385690927505, -23.40752698481083, -5.663757622241974, 2.589091941714287, 2.6110510528087616, -13.355454437434673]| 12.0009355545043945|     32.00000000|[1065, 152, 0, 19]                                                         |  | used linear model with 65 points | actual_k=8
      20|[-58.72049902379513, -39.82942686975002, 2.0055411756038666, 51.74832960963249, -15.21412631124258, -0.4909925311803818, 26.500563092529774, 19.55269201286137, -23.19370971620083, -100.92332004010677, -37.52558094449341, 16.68008390069008, 13.725717075169086, -60.289099745452404, -39.45252701640129, 27.79456283384934, -7.968345791101456, -27.118330970406532, -5.322163164615631, 6.085059806704521, 3.8284818828105927, -7.021323196589947]| 11.9935998916625977|     64.00000000|[1121, 160, 0, 20]                                                         | | GPS sucess | actual_k=8
      21|[-78.11480902135372, -38.755979403853416, -5.635141998529434, 68.07164046168327, -15.985774360597134, 9.240193381905556, 6.539192624390125, 29.041122989729047, 2.50295127928257, -107.36567710340023, -30.391092838719487, 20.631060272455215, 20.590404994785786, -75.95186906307936, -30.44080826640129, 37.24554588133469, -9.748217135667801, -17.475003257393837, -6.080201506614685, 15.322973892092705, 10.962044924497604, -21.63248061388731]| 11.9366073608398438|    128.00000000|[1177, 168, 0, 21]                                                         | | GPS sucess | actual_k=8
