k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1703815907239914, 0.340261310338974, -0.2918848991394043, 0.2596587538719177, -0.0531272292137146, 0.2253860980272293, -0.0945106595754623, 0.0251506362110376, -0.0826609134674072, 0.0144698210060596, -0.1295367926359177, -0.2830583453178406, -0.2213968485593796, -0.2909031808376312, 0.0203376580029726, -0.0806582421064377, 0.1025073155760765, -0.1063051819801331, 0.1745223999023438, 0.3602338433265686, -0.1755805164575577, 0.4266362190246582]| 14.3782787322998047|      2.00000000|[13, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.4017368704080582, 0.7368647456169128, -0.307356963865459, 1.1179901957511902, 0.2256766259670258, 0.2755560353398323, 0.2883624881505966, 0.2314246837049723, -0.1944978013634682, 0.4060554094612598, 0.993653729557991, -0.0836738646030426, 0.1040187925100327, -0.555913507938385, -0.249057961627841, 0.0078218206763268, 0.1699910089373589, 0.3477712571620941, 0.4236556738615036, -0.3429346680641174, 0.0193436741828918, -0.0772340297698975]| 13.0015897750854492|      4.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[0.5479229241609573, 1.4730808734893799, -1.4214760167524219, 2.3045700192451477, 0.2886678650975227, -0.3592452928423882, 1.4154900163412094, -0.1018196102231741, -1.2351628318428993, -1.2883347682654858, 1.3834091573953629, -0.8766596019268036, 0.7422547787427902, 0.3000537753105164, -1.6121694575995207, -0.5439863577485085, -0.0552404746413231, 0.3358321152627468, 1.3632378429174423, -0.8695681691169739, -0.223907932639122, 1.2233442068099976]| 12.2384777069091797|      8.00000000|[37, 12, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[3.3128975182771683, 2.2807340025901794, -1.153184781782329, 0.3938297629356384, 1.4020275548100471, -0.777556411921978, 0.9855334013700485, 1.6257027629762888, -1.4843721762299538, 0.3793203420937061, 1.5085323750972748, -1.4703106582164764, -1.2786500006914139, -1.3785657286643982, -3.329584551975131, -3.2503300085663795, 3.1850072517991066, 1.7775452099740505, 1.0538338273763657, 0.4043499827384949, -1.47357939183712, 4.562662243843079]| 12.1645765304565430|     16.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       5|[4.577923610806465, 5.760695159435272, -0.9711080892011523, -0.5680162310600281, 8.400433011353016, -2.3711996003985405, -3.450951412320137, 6.4545687679201365, -0.730476476252079, -0.2794238738715649, -1.09659543633461, -2.9706866443157196, -2.2641393691301346, -1.5430082380771637, 4.811704205349088, -6.0259340181946754, 9.171968139708042, 1.9820557497441769, -1.7194775491952896, -0.7229738831520081, -4.433798059821129, 1.70256507396698]| 12.1577777862548828|     32.00000000|[61, 20, 0, 5]                                                             | | GPS sucess | actual_k=4
       6|[1.6166067868471146, 9.263693034648895, 6.350320686586201, 0.29636150598526, 19.417132802307606, -2.9610260650515556, 1.195215865969658, 11.044001007452607, -2.6980154290795326, 2.853693325072527, 7.491963714361191, 5.0667212307453156, -3.579985573887825, 4.783443063497543, 11.782147930935025, 0.7698018178343773, -0.6752055510878563, 17.749898996204138, -2.904905930161476, 10.934390008449554, -1.1136188358068466, 3.0268025398254395]| 12.1547966003417969|     64.00000000|[149, 52, 0, 13]                                                           |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 35 points | trying quadratic partial model with 47 points | trying quadratic partial model with 57 points | trying quadratic partial model with 68 points | trying quadratic partial model with 78 points| GPS sucess | actual_k=4
       7|[-3.105877324938774, -3.4017141461372375, -16.639402518980205, 8.503949701786041, 21.14765841513872, 20.10597337037325, -0.8202477246522903, -5.655967330560088, 4.584560178220272, 24.897732097655535, 6.007944077253342, 10.292926102876663, 4.454328581690788, 7.795039027929306, 7.998294638469815, -15.437361039221287, -16.196093879640102, 19.609276857227087, 2.005858287215233, 21.04482740163803, 13.066587463021278, 34.7835431098938]| 12.1458711624145508|    128.00000000|[235, 84, 0, 21]                                                           |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 36 points | trying quadratic partial model with 46 points | trying quadratic partial model with 56 points | trying quadratic partial model with 66 points | trying quadratic partial model with 77 points| GPS sucess | actual_k=4
       8|[-3.105877324938774, -3.4017141461372375, -16.639402518980205, 8.503949701786041, 21.14765841513872, 20.10597337037325, -0.8202477246522903, -5.655967330560088, 4.584560178220272, 24.897732097655535, 6.007944077253342, 10.292926102876663, 4.454328581690788, 7.795039027929306, 7.998294638469815, -15.437361039221287, -16.196093879640102, 19.609276857227087, 2.005858287215233, 21.04482740163803, 13.066587463021278, 34.7835431098938]| 12.1458711624145508|     64.00000000|[370, 132, 0, 33]                                                          |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 34 points | trying quadratic partial model with 46 points | trying quadratic partial model with 56 points | trying quadratic partial model with 68 points | trying quadratic partial model with 80 points | trying quadratic partial model with 92 points | trying quadratic partial model with 104 points | trying quadratic partial model with 114 points | trying quadratic partial model with 124 points | exploitation failed, decreasing delta | actual_k=4
       9|[-22.849522039294243, 13.729564845561981, -39.59625638555735, 26.665622293949127, 22.418908067047596, -2.822056643664837, 1.2131964415311813, 8.53307762183249, 11.834344170987606, 31.048751194030046, -3.2183037102222443, -0.1235387027263641, -13.568731263279915, 8.119669079780579, 2.3741119373589754, -8.81990746408701, 9.586146034300327, 24.55114706978202, -5.3660532385110855, 5.071386277675629, 14.344189420342445, 23.01847505569458]| 12.1363363265991211|    128.00000000|[476, 172, 0, 43]                                                          |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying quadratic partial model with 33 points | trying quadratic partial model with 44 points | trying quadratic partial model with 54 points | trying quadratic partial model with 64 points | trying quadratic partial model with 75 points | trying quadratic partial model with 85 points | trying quadratic partial model with 96 points| GPS sucess | actual_k=4
      10|[-26.79137532413006, -12.364547550678253, 7.716834892518818, 23.888855040073395, 21.673179276287556, 29.81887734681368, -16.015813186764717, -24.67811164818704, -20.797796942293644, 26.782734233886003, -36.103313475847244, 17.998089104890823, 0.958562895655632, 19.79203999042511, 25.806626128032804, -47.86247567087412, -26.838403068482876, 33.577976789325476, -71.98118080198765, 10.83301156759262, 2.2200706154108047, 17.022737979888916]| 12.0846996307373047|    256.00000000|[508, 184, 0, 46]                                                          |  | trying linear partial model with 13 points | trying linear partial model with 23 points| GPS sucess | actual_k=4
      11|[-26.79137532413006, -12.364547550678253, 7.716834892518818, 23.888855040073395, 21.673179276287556, 29.81887734681368, -16.015813186764717, -24.67811164818704, -20.797796942293644, 26.782734233886003, -36.103313475847244, 17.998089104890823, 0.958562895655632, 19.79203999042511, 25.806626128032804, -47.86247567087412, -26.838403068482876, 33.577976789325476, -71.98118080198765, 10.83301156759262, 2.2200706154108047, 17.022737979888916]| 12.0846996307373047|    128.00000000|[639, 232, 0, 58]                                                          |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying quadratic partial model with 34 points | trying quadratic partial model with 44 points | trying quadratic partial model with 55 points | trying quadratic partial model with 67 points | trying quadratic partial model with 77 points | trying quadratic partial model with 88 points | trying quadratic partial model with 100 points | trying quadratic partial model with 111 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=4
      12|[-26.79137532413006, -12.364547550678253, 7.716834892518818, 23.888855040073395, 21.673179276287556, 29.81887734681368, -16.015813186764717, -24.67811164818704, -20.797796942293644, 26.782734233886003, -36.103313475847244, 17.998089104890823, 0.958562895655632, 19.79203999042511, 25.806626128032804, -47.86247567087412, -26.838403068482876, 33.577976789325476, -71.98118080198765, 10.83301156759262, 2.2200706154108047, 17.022737979888916]| 12.0846996307373047|     64.00000000|[772, 280, 0, 70]                                                          |  | trying linear partial model with 13 points | trying linear partial model with 25 points | trying quadratic partial model with 37 points | trying quadratic partial model with 47 points | trying quadratic partial model with 58 points | trying quadratic partial model with 70 points | trying quadratic partial model with 80 points | trying quadratic partial model with 90 points | trying quadratic partial model with 101 points | trying quadratic partial model with 111 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=4
      13|[-45.01745717227459, -16.48979502916336, -5.51048959325999, 40.25269132852554, 17.969354517757893, 55.8120776489377, -10.75304014980793, -40.428164100274444, -37.110508657991886, 25.86017705872655, -28.628222972154617, 12.223214894533157, 20.592041060328484, -1.687707781791687, 40.21477489359677, -46.022128738462925, -29.09572323411703, 24.77818926796317, -73.06377007067204, 33.464328706264496, -15.72159694135189, 14.352799415588379]| 12.0398025512695312|    128.00000000|[870, 316, 0, 79]                                                          |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 35 points | trying quadratic partial model with 46 points | trying quadratic partial model with 57 points | trying quadratic partial model with 67 points | trying quadratic partial model with 77 points | trying quadratic partial model with 88 points| GPS sucess | actual_k=4
      14|[-65.05532567203045, 18.95353001356125, 32.66330419946462, 47.23313480615616, 12.867966063320637, 52.42375911027193, -66.42408736050129, -47.93739185295999, -8.667431570589542, 45.14434530213475, -37.31402829289436, -19.218639582395554, 42.09703831374645, -7.55178439617157, 79.98319988138974, -25.9736305847764, -51.76294430345297, 24.78251618379727, -10.717349782586098, 18.412087380886078, -29.967952951788902, 36.06637096405029]| 11.9957294464111328|    256.00000000|[904, 328, 0, 82]                                                          |  | trying linear partial model with 13 points | trying linear partial model with 25 points| GPS sucess | actual_k=4
      15|[-65.05532567203045, 18.95353001356125, 32.66330419946462, 47.23313480615616, 12.867966063320637, 52.42375911027193, -66.42408736050129, -47.93739185295999, -8.667431570589542, 45.14434530213475, -37.31402829289436, -19.218639582395554, 42.09703831374645, -7.55178439617157, 79.98319988138974, -25.9736305847764, -51.76294430345297, 24.78251618379727, -10.717349782586098, 18.412087380886078, -29.967952951788902, 36.06637096405029]| 11.9957294464111328|    128.00000000|[1044, 380, 0, 95]                                                         |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 35 points | trying quadratic partial model with 45 points | trying quadratic partial model with 56 points | trying quadratic partial model with 66 points | trying quadratic partial model with 77 points | trying quadratic partial model with 88 points | trying quadratic partial model with 99 points | trying quadratic partial model with 109 points | trying quadratic partial model with 120 points | trying quadratic partial model with 130 points | exploitation failed, decreasing delta | actual_k=4
