k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 1.0]                                                                      |217.3621226801203932|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.4211679100990295, 0.8153439611196518]                                        |153.8926391601562500|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[2.4211679100990295, 0.8153439611196518]                                        |153.8926391601562500|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.5685586333274841, 0.4333569258451462]                                        |101.6290359497070312|      2.00000000|[11, 3, 1, 4]                                                              | | GPS sucess | actual_k=1
       4|[0.3719064593315125, -0.6128948479890823]                                       | 74.5342864990234375|      4.00000000|[14, 4, 1, 5]                                                              | | GPS sucess | actual_k=1
       5|[0.3719064593315125, -0.6128948479890823]                                       | 74.5342864990234375|      2.00000000|[17, 5, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.3719064593315125, -0.6128948479890823]                                       | 74.5342864990234375|      1.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.26207235455513, 0.018430158495903]                                           | 52.4049491882324219|      2.00000000|[25, 7, 3, 10]                                                             | | GPS sucess | actual_k=1
       8|[0.26207235455513, 0.018430158495903]                                           | 52.4049491882324219|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.26207235455513, 0.018430158495903]                                           | 52.4049491882324219|      0.50000000|[32, 9, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.26207235455513, 0.018430158495903]                                           | 52.4049491882324219|      0.25000000|[36, 10, 6, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.1079957485198975, 0.0534557551145554]                                        | 27.0185546875000000|      0.50000000|[40, 11, 6, 17]                                                            | | GPS sucess | actual_k=1
      12|[0.1079957485198975, 0.0534557551145554]                                        | 27.0185546875000000|      0.25000000|[43, 12, 7, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.074807196855545, 0.2289449274539948]                                         | 19.2216205596923828|      0.50000000|[47, 13, 7, 20]                                                            | | GPS sucess | actual_k=1
