k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4492967128753662, -0.0754765212535858]                                       |  0.1246488392353058|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.4492967128753662, -0.0754765212535858]                                       |  0.1246488392353058|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.4492967128753662, -0.0754765212535858]                                       |  0.1246488392353058|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.1202662885189056, -0.0844801753759384]                                       |  0.0009868822526187|      1.00000000|[19, 0, 2, 6]                                                              | | GPS sucess | actual_k=0
       5|[0.1202662885189056, -0.0844801753759384]                                       |  0.0009868822526187|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.1202662885189056, -0.0844801753759384]                                       |  0.0009868822526187|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.1202662885189056, -0.0844801753759384]                                       |  0.0009868822526187|      0.12500000|[33, 0, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.0387850105762482, -0.0267421282827854]                                       |  0.0000104743721749|      0.25000000|[38, 0, 5, 13]                                                             | | GPS sucess | actual_k=0
       9|[0.0387850105762482, -0.0267421282827854]                                       |  0.0000104743721749|      0.12500000|[42, 0, 5, 14]                                                             |  | used linear model with 5 points | actual_k=0
      10|[0.0387850105762482, -0.0267421282827854]                                       |  0.0000104743721749|      0.06250000|[46, 0, 5, 15]                                                             |  | used linear model with 5 points | actual_k=0
      11|[0.0387850105762482, -0.0267421282827854]                                       |  0.0000104743721749|      0.03125000|[50, 0, 5, 16]                                                             |  | used linear model with 5 points | actual_k=0
      12|[0.0110093876719475, -0.0343787787482142]                                       |  0.0000045212477744|      0.06250000|[54, 0, 5, 17]                                                             | | GPS sucess | actual_k=0
      13|[0.027208523824811, 0.02340147215873]                                           |  0.0000033546650684|      0.12500000|[58, 0, 5, 18]                                                             | | GPS sucess | actual_k=0
      14|[0.027208523824811, 0.02340147215873]                                           |  0.0000033546650684|      0.06250000|[62, 0, 5, 19]                                                             |  | used linear model with 5 points | actual_k=0
      15|[-0.0027200374752283, 0.002577362023294]                                        |  0.0000000003948930|      0.12500000|[66, 0, 5, 20]                                                             | | GPS sucess | actual_k=0
