k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.953617438673973, 1.9145376160740852, 2.2717005014419556, 1.8719776719808578, 0.5877292275428772]|4347.5454101562500000|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      2.00000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      1.00000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.50000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.25000000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.12500000|[192, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       8|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.06250000|[223, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       9|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.03125000|[254, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      10|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.01562500|[285, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      11|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.00781250|[316, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      12|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.00390625|[347, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      13|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.00195312|[378, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      14|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.00097656|[409, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      15|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.00048828|[440, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      16|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.00024414|[471, 0, 0, 30]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      17|[18.18240986764431, -0.2884491011500359, 4.0375611782073975, 2.4089749306440353, -1.557741153240204]|-100000002004087734272.0000000000000000|      0.00012207|[502, 0, 0, 32]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
