k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0]                                                                      | 43.3723807176344280|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8998366594314575, 2.9949710369110107]                                        | 25.6492137908935547|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.8998366594314575, 2.9949710369110107]                                        | 25.6492137908935547|      1.00000000|[8, 2, 0, 3]                                                               |  | used linear model with 5 points | actual_k=1
       3|[0.0270355939865112, 2.506894826889038]                                         | 15.0927953720092773|      2.00000000|[11, 3, 0, 4]                                                              | | GPS sucess | actual_k=1
       4|[2.774875044822693, -0.3998866081237793]                                        | 14.8629837036132812|      4.00000000|[14, 4, 0, 5]                                                              | | GPS sucess | actual_k=1
       5|[2.774875044822693, -0.3998866081237793]                                        | 14.8629837036132812|      2.00000000|[18, 5, 1, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[2.774875044822693, -0.3998866081237793]                                        | 14.8629837036132812|      1.00000000|[23, 6, 2, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.774875044822693, -0.3998866081237793]                                        | 14.8629837036132812|      0.50000000|[28, 7, 3, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[3.020842671394348, 0.0354292988777161]                                         |  9.5208587646484375|      1.00000000|[32, 8, 3, 15]                                                             | | GPS sucess | actual_k=1
       9|[3.020842671394348, 0.0354292988777161]                                         |  9.5208587646484375|      0.50000000|[36, 9, 4, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[3.020842671394348, 0.0354292988777161]                                         |  9.5208587646484375|      0.25000000|[40, 11, 5, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
