k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |106.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.8206274509429932, 1.5714635252952576]                                        | 44.7226104736328125|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[3.8205515146255493, 1.554048778489232]                                         | 27.1136035919189453|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[3.8205515146255493, 1.554048778489232]                                         | 27.1136035919189453|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[3.200064539909363, -0.3472654800862074]                                        | 14.7626810073852539|      4.00000000|[18, 0, 1, 5]                                                              | | GPS sucess | actual_k=0
       5|[3.200064539909363, -0.3472654800862074]                                        | 14.7626810073852539|      2.00000000|[22, 0, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[3.200064539909363, -0.3472654800862074]                                        | 14.7626810073852539|      1.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[3.537015676498413, 0.5942565817385912]                                         | 14.1010417938232422|      2.00000000|[32, 0, 3, 10]                                                             | | GPS sucess | actual_k=0
       8|[3.104984402656555, 2.547036351636052]                                          |  8.1316862106323242|      4.00000000|[36, 0, 3, 11]                                                             | | GPS sucess | actual_k=0
       9|[3.104984402656555, 2.547036351636052]                                          |  8.1316862106323242|      2.00000000|[40, 0, 4, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[3.104984402656555, 2.547036351636052]                                          |  8.1316862106323242|      1.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[3.104984402656555, 2.547036351636052]                                          |  8.1316862106323242|      0.50000000|[50, 0, 6, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[2.7801401615142822, 2.1669361013919115]                                        |  1.4449013471603394|      1.00000000|[55, 0, 6, 18]                                                             | | GPS sucess | actual_k=0
      13|[2.7801401615142822, 2.1669361013919115]                                        |  1.4449013471603394|      0.50000000|[59, 0, 7, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
