k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.34709942340851, 150.3228721320629, -100.26143106818199, 0.7334305644035339, 2.0782035291194916]|85691.2031250000000000|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[47.97586143016815, 150.85452690720558, -100.44210459291935, 0.549561396241188, 1.3508440554141998]|81324.7812500000000000|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[46.74967074394226, 152.3787114918232, -100.69926609098911, 1.9427305608987808, 4.427550941705704]|77605.9765625000000000|      8.00000000|[49, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[42.60929608345032, 150.47395566105843, -98.38054455816746, 6.534074917435646, 6.488536506891251]|65218.6250000000000000|     16.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[39.848867416381836, 163.51667740941048, -92.5430983453989, 4.177182570099831, 0.3663541376590729]|61146.8242187500000000|     32.00000000|[81, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|     64.00000000|[97, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|     32.00000000|[127, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|     16.00000000|[157, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      8.00000000|[187, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      4.00000000|[217, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      2.00000000|[247, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      1.00000000|[276, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      13|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.50000000|[305, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      14|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.25000000|[334, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      15|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.12500000|[363, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      16|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.06250000|[392, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      17|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.03125000|[421, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      18|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.01562500|[450, 0, 0, 30]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      19|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.00781250|[479, 0, 0, 32]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      20|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.00390625|[508, 0, 0, 34]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      21|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.00195312|[537, 0, 0, 36]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      22|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.00097656|[566, 0, 0, 38]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      23|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.00048828|[595, 0, 0, 40]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      24|[28.03555965423584, 162.86150375008583, -93.06637920439243, -9.205747231841087, -4.107464641332626]|-100000002004087734272.0000000000000000|      0.00024414|[624, 0, 0, 42]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
