k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |17984.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5714635252952576, 4.179372549057007]                                         |7427.6059570312500000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.5540489554405212, 2.1794484853744507]                                        |258.2806701660156250|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[1.5540489554405212, 2.1794484853744507]                                        |258.2806701660156250|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.9335619807243347, 0.2781342267990112]                                        | 36.6976051330566406|      4.00000000|[14, 4, 1, 5]                                                              | | GPS sucess | actual_k=1
       5|[0.9335619807243347, 0.2781342267990112]                                        | 36.6976051330566406|      2.00000000|[17, 5, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.9600148797035217, 0.9218469262123108]                                       |  2.2467832565307617|      4.00000000|[21, 6, 2, 8]                                                              | | GPS sucess | actual_k=1
       7|[-0.9600148797035217, 0.9218469262123108]                                       |  2.2467832565307617|      2.00000000|[24, 7, 3, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.9600148797035217, 0.9218469262123108]                                       |  2.2467832565307617|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-0.9600148797035217, 0.9218469262123108]                                       |  2.2467832565307617|      0.50000000|[32, 9, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[-0.9600148797035217, 0.9218469262123108]                                       |  2.2467832565307617|      0.25000000|[36, 10, 6, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[-0.810766726732254, 0.7212852388620377]                                        |  0.6836050748825073|      0.50000000|[40, 11, 6, 17]                                                            | | GPS sucess | actual_k=1
      12|[-0.810766726732254, 0.7212852388620377]                                        |  0.6836050748825073|      0.25000000|[43, 12, 7, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[-0.810766726732254, 0.7212852388620377]                                        |  0.6836050748825073|      0.12500000|[47, 13, 8, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
