k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[49, 16, 1, 2]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[98, 32, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       3|[100.02263200586287, 0.0739273983911388, 0.2268634494144299, 0.9256655169800232, 100.06346697635968, 0.0616367988856249, 0.1887654034432772, 0.8009480936668338, 100.01626723588562, -0.0549134584361747, 0.2028948204709016, 0.8133018361617168, 100.01126319183679, 0.1334433716259302, 0.3222009022680677, 0.6024503885154173, 99.99748231495441, 0.1969640477876728, 0.4820787071870369, 0.2434971349612578, 99.97430422052182, 0.5995663293559459, 0.6617850702570122, 0.0661448523606595, 300.01965028365976, 300.0193794869796, 300.0055526912471, 300.0262987301955, 300.0096043107666]|497.9157948825126141|      0.50000000|[147, 48, 3, 6]                                                            |  | used linear model with 65 points | iterate success | actual_k=16
       4|[100.02263200586287, 0.0739273983911388, 0.2268634494144299, 0.9256655169800232, 100.06346697635968, 0.0616367988856249, 0.1887654034432772, 0.8009480936668338, 100.01626723588562, -0.0549134584361747, 0.2028948204709016, 0.8133018361617168, 100.01126319183679, 0.1334433716259302, 0.3222009022680677, 0.6024503885154173, 99.99748231495441, 0.1969640477876728, 0.4820787071870369, 0.2434971349612578, 99.97430422052182, 0.5995663293559459, 0.6617850702570122, 0.0661448523606595, 300.01965028365976, 300.0193794869796, 300.0055526912471, 300.0262987301955, 300.0096043107666]|497.9157948825126141|      0.25000000|[196, 64, 4, 8]                                                            |  | used linear model with 65 points | iterate failure | actual_k=16
       5|[100.02263200586287, 0.0739273983911388, 0.2268634494144299, 0.9256655169800232, 100.06346697635968, 0.0616367988856249, 0.1887654034432772, 0.8009480936668338, 100.01626723588562, -0.0549134584361747, 0.2028948204709016, 0.8133018361617168, 100.01126319183679, 0.1334433716259302, 0.3222009022680677, 0.6024503885154173, 99.99748231495441, 0.1969640477876728, 0.4820787071870369, 0.2434971349612578, 99.97430422052182, 0.5995663293559459, 0.6617850702570122, 0.0661448523606595, 300.01965028365976, 300.0193794869796, 300.0055526912471, 300.0262987301955, 300.0096043107666]|497.9157948825126141|      0.12500000|[245, 80, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       6|[100.02504428022812, 0.105774953223076, 0.2505217778984338, 0.9319177779112344, 100.07599755909438, 0.0397219076204387, 0.1804736102128038, 0.7912981858961285, 100.01210250383306, 0.0163855228421499, 0.2265454756889493, 0.8347206804915027, 100.01791802415029, 0.0735625290815296, 0.2848990735895847, 0.5731944054176688, 99.97778422864583, 0.2020273072303932, 0.4984196896083123, 0.2455352829478872, 99.97226506844406, 0.6072678356183127, 0.6634716872137975, 0.0708987249327192, 300.00572528513766, 300.0165978424386, 300.00930946095264, 300.0320891713912, 300.0232999043412]|291.7522392272652496|      0.25000000|[294, 96, 6, 12]                                                           |  | used linear model with 65 points | iterate success | actual_k=16
       7|[100.02504428022812, 0.105774953223076, 0.2505217778984338, 0.9319177779112344, 100.07599755909438, 0.0397219076204387, 0.1804736102128038, 0.7912981858961285, 100.01210250383306, 0.0163855228421499, 0.2265454756889493, 0.8347206804915027, 100.01791802415029, 0.0735625290815296, 0.2848990735895847, 0.5731944054176688, 99.97778422864583, 0.2020273072303932, 0.4984196896083123, 0.2455352829478872, 99.97226506844406, 0.6072678356183127, 0.6634716872137975, 0.0708987249327192, 300.00572528513766, 300.0165978424386, 300.00930946095264, 300.0320891713912, 300.0232999043412]|291.7522392272652496|      0.12500000|[343, 112, 7, 14]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       8|[100.02504428022812, 0.105774953223076, 0.2505217778984338, 0.9319177779112344, 100.07599755909438, 0.0397219076204387, 0.1804736102128038, 0.7912981858961285, 100.01210250383306, 0.0163855228421499, 0.2265454756889493, 0.8347206804915027, 100.01791802415029, 0.0735625290815296, 0.2848990735895847, 0.5731944054176688, 99.97778422864583, 0.2020273072303932, 0.4984196896083123, 0.2455352829478872, 99.97226506844406, 0.6072678356183127, 0.6634716872137975, 0.0708987249327192, 300.00572528513766, 300.0165978424386, 300.00930946095264, 300.0320891713912, 300.0232999043412]|291.7522392272652496|      0.06250000|[392, 128, 8, 16]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       9|[100.03114077714106, 0.1247674261245263, 0.2618837546239187, 0.9423708470978166, 100.08179573393747, 0.0679254418072527, 0.1954945123353485, 0.7979055052211961, 100.01579699909243, 0.0037562218199522, 0.2116713273123906, 0.8239852300167498, 100.02136830162902, 0.0943273057791407, 0.2903956798192118, 0.5803400990511957, 99.97681769613811, 0.1777904749426672, 0.4818475288383792, 0.2389839255705907, 99.97127643586882, 0.6087038783079014, 0.6751980322830061, 0.0729293682322908, 299.9966132060404, 300.01819011213115, 300.00837990348236, 300.0324043842572, 300.02404717793866]|230.0587321809023251|      0.12500000|[441, 144, 9, 18]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
      10|[100.04806748443484, 0.1979172237449261, 0.2851196718240931, 0.9307107893212028, 100.13400540664215, 0.0974371463785077, 0.2079879538853054, 0.8045813030508667, 100.01402038237043, 0.037403166622131, 0.2403590203715846, 0.8223999426224663, 100.00590607591765, 0.0685057497098839, 0.2813527608848169, 0.5931990389548231, 99.98454263701599, 0.1787007337681889, 0.5051855400102634, 0.2388784764477696, 99.96578997378452, 0.5968874396643818, 0.6748895881703976, 0.05803849338108, 300.01534379353114, 300.0145899609909, 300.02246445680805, 300.04647216313884, 299.99867508925337]|179.9220157158723907|      0.25000000|[490, 160, 10, 20]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      11|[100.04806748443484, 0.1979172237449261, 0.2851196718240931, 0.9307107893212028, 100.13400540664215, 0.0974371463785077, 0.2079879538853054, 0.8045813030508667, 100.01402038237043, 0.037403166622131, 0.2403590203715846, 0.8223999426224663, 100.00590607591765, 0.0685057497098839, 0.2813527608848169, 0.5931990389548231, 99.98454263701599, 0.1787007337681889, 0.5051855400102634, 0.2388784764477696, 99.96578997378452, 0.5968874396643818, 0.6748895881703976, 0.05803849338108, 300.01534379353114, 300.0145899609909, 300.02246445680805, 300.04647216313884, 299.99867508925337]|179.9220157158723907|      0.12500000|[539, 176, 11, 22]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      12|[100.05166242284864, 0.2070618731183581, 0.329637990208955, 0.9303772001213754, 100.10852657004578, 0.1337190255358834, 0.2702874290304398, 0.8456599063190889, 100.03018664624292, 0.0592348369529993, 0.2514797444689815, 0.8374998501584892, 100.00699904344626, 0.098768122474695, 0.3036537673482256, 0.5890212636455798, 99.99966944748148, 0.164025083792065, 0.5040914575201565, 0.2468502847623199, 99.98089925495039, 0.5989465996898425, 0.6992943884144395, 0.0684774085070474, 300.01799229293624, 300.0074826582602, 299.99151186318255, 300.0670244701667, 299.9740424003165]|111.5040365906705944|      0.25000000|[588, 192, 12, 24]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      13|[100.05166242284864, 0.2070618731183581, 0.329637990208955, 0.9303772001213754, 100.10852657004578, 0.1337190255358834, 0.2702874290304398, 0.8456599063190889, 100.03018664624292, 0.0592348369529993, 0.2514797444689815, 0.8374998501584892, 100.00699904344626, 0.098768122474695, 0.3036537673482256, 0.5890212636455798, 99.99966944748148, 0.164025083792065, 0.5040914575201565, 0.2468502847623199, 99.98089925495039, 0.5989465996898425, 0.6992943884144395, 0.0684774085070474, 300.01799229293624, 300.0074826582602, 299.99151186318255, 300.0670244701667, 299.9740424003165]|111.5040365906705944|      0.12500000|[637, 208, 13, 26]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      14|[100.05166242284864, 0.2070618731183581, 0.329637990208955, 0.9303772001213754, 100.10852657004578, 0.1337190255358834, 0.2702874290304398, 0.8456599063190889, 100.03018664624292, 0.0592348369529993, 0.2514797444689815, 0.8374998501584892, 100.00699904344626, 0.098768122474695, 0.3036537673482256, 0.5890212636455798, 99.99966944748148, 0.164025083792065, 0.5040914575201565, 0.2468502847623199, 99.98089925495039, 0.5989465996898425, 0.6992943884144395, 0.0684774085070474, 300.01799229293624, 300.0074826582602, 299.99151186318255, 300.0670244701667, 299.9740424003165]|111.5040365906705944|      0.06250000|[686, 224, 14, 28]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      15|[100.05917826936287, 0.2210193823020927, 0.3330601859338848, 0.9312961668828489, 100.11425807903166, 0.1524321370372384, 0.2697909732648717, 0.8427311690532282, 100.03906557031023, 0.0874899613064504, 0.2521054854587427, 0.8354798060741174, 100.03303522536586, 0.0830652189972685, 0.303174207276409, 0.5921853681300216, 100.00121709376647, 0.168864038214312, 0.489765989484604, 0.2416615459909051, 99.9971671635436, 0.5974758910616549, 0.6975654862759645, 0.0571923819479291, 300.0133373262219, 300.01823726006546, 300.0149551651785, 300.0754192913015, 299.96938608188344]| 96.4578499050410301|      0.12500000|[735, 240, 15, 30]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      16|[100.05917826936287, 0.2210193823020927, 0.3330601859338848, 0.9312961668828489, 100.11425807903166, 0.1524321370372384, 0.2697909732648717, 0.8427311690532282, 100.03906557031023, 0.0874899613064504, 0.2521054854587427, 0.8354798060741174, 100.03303522536586, 0.0830652189972685, 0.303174207276409, 0.5921853681300216, 100.00121709376647, 0.168864038214312, 0.489765989484604, 0.2416615459909051, 99.9971671635436, 0.5974758910616549, 0.6975654862759645, 0.0571923819479291, 300.0133373262219, 300.01823726006546, 300.0149551651785, 300.0754192913015, 299.96938608188344]| 96.4578499050410301|      0.06250000|[784, 256, 16, 32]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      17|[100.05021027794237, 0.2191494856833801, 0.3556291063078764, 0.9425316615747018, 100.09526282685124, 0.1791560403561643, 0.2736006233635688, 0.8544027616613539, 100.04211832638991, 0.0826727435433276, 0.2659543894861226, 0.825869470489047, 100.0235437283073, 0.0754734553218686, 0.3136076076351282, 0.5861395200714554, 99.99326054358005, 0.1597984496397807, 0.4882306765841223, 0.2505936367040301, 100.00662059376432, 0.6047878545621447, 0.7110467119611441, 0.0623786474542259, 300.00209083601607, 300.0165946297859, 299.99805798107144, 300.0565618617849, 299.9707275930456]| 85.6130664424690622|      0.12500000|[833, 272, 17, 34]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      18|[100.05021027794237, 0.2191494856833801, 0.3556291063078764, 0.9425316615747018, 100.09526282685124, 0.1791560403561643, 0.2736006233635688, 0.8544027616613539, 100.04211832638991, 0.0826727435433276, 0.2659543894861226, 0.825869470489047, 100.0235437283073, 0.0754734553218686, 0.3136076076351282, 0.5861395200714554, 99.99326054358005, 0.1597984496397807, 0.4882306765841223, 0.2505936367040301, 100.00662059376432, 0.6047878545621447, 0.7110467119611441, 0.0623786474542259, 300.00209083601607, 300.0165946297859, 299.99805798107144, 300.0565618617849, 299.9707275930456]| 85.6130664424690622|      0.06250000|[882, 288, 18, 36]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      19|[100.05021027794237, 0.2191494856833801, 0.3556291063078764, 0.9425316615747018, 100.09526282685124, 0.1791560403561643, 0.2736006233635688, 0.8544027616613539, 100.04211832638991, 0.0826727435433276, 0.2659543894861226, 0.825869470489047, 100.0235437283073, 0.0754734553218686, 0.3136076076351282, 0.5861395200714554, 99.99326054358005, 0.1597984496397807, 0.4882306765841223, 0.2505936367040301, 100.00662059376432, 0.6047878545621447, 0.7110467119611441, 0.0623786474542259, 300.00209083601607, 300.0165946297859, 299.99805798107144, 300.0565618617849, 299.9707275930456]| 85.6130664424690622|      0.03125000|[931, 304, 19, 38]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      20|[100.04930203843917, 0.2276536676781781, 0.3664327164700607, 0.9400221307600449, 100.09329764847023, 0.1802008731460701, 0.2685177436368999, 0.8557659689829887, 100.040758986658, 0.0869350563144243, 0.2790340560943035, 0.8207758992415056, 100.02448359333378, 0.0850100529748685, 0.3166720180962041, 0.5897820000477498, 99.98858233482377, 0.1567809677348436, 0.4781713082189814, 0.2466190450078455, 100.00292231135174, 0.6119698236167986, 0.7152400787720535, 0.0522845767356404, 300.0096540153832, 300.01718466087766, 300.0010640930654, 300.055747071033, 299.9747606436552]| 78.7006967483023914|      0.06250000|[980, 320, 20, 40]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      21|[100.04930203843917, 0.2276536676781781, 0.3664327164700607, 0.9400221307600449, 100.09329764847023, 0.1802008731460701, 0.2685177436368999, 0.8557659689829887, 100.040758986658, 0.0869350563144243, 0.2790340560943035, 0.8207758992415056, 100.02448359333378, 0.0850100529748685, 0.3166720180962041, 0.5897820000477498, 99.98858233482377, 0.1567809677348436, 0.4781713082189814, 0.2466190450078455, 100.00292231135174, 0.6119698236167986, 0.7152400787720535, 0.0522845767356404, 300.0096540153832, 300.01718466087766, 300.0010640930654, 300.055747071033, 299.9747606436552]| 78.7006967483023914|      0.03125000|[1029, 336, 21, 42]                                                        |  | used linear model with 65 points | iterate failure | actual_k=16
      22|[100.04980936363314, 0.2329036354023011, 0.3736651122638949, 0.9530569534559947, 100.09752919411423, 0.1945731833494117, 0.2663796310368005, 0.8579969131363968, 100.04088235507659, 0.0929930820058617, 0.2791438288952753, 0.8216552120994015, 100.0217952113849, 0.0923903089713229, 0.3189741622802459, 0.5963261403189989, 99.99175005800217, 0.1569290929212438, 0.4758739137798609, 0.2469908981178344, 100.00819659215202, 0.6177374296590775, 0.7232045651189657, 0.0428732682368479, 300.00379138232324, 300.0216281792681, 300.0023641618847, 300.04975248736383, 299.9797493519627]| 73.5982183777453400|      0.06250000|[1078, 352, 22, 44]                                                        |  | used linear model with 65 points | iterate success | actual_k=16
