k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |772166.1146731314947829|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2964074639078271, 1.3777747899405113, 1.400375622228577, 0.6835036430942569, 1.0001055459217527, 0.9475978312624073, 0.6746467587900409, 0.3672618941288314]|192194.2271183212287724|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[1.4083010456562353, 2.9817525849951445, 1.377699663004806, 0.6546476202045559, 0.5824746213379369, 0.2558520670167695, -0.1373510886652615, 0.0492683496048891]|404.4664217759083726|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[1.4083010456562353, 2.9817525849951445, 1.377699663004806, 0.6546476202045559, 0.5824746213379369, 0.2558520670167695, -0.1373510886652615, 0.0492683496048891]|404.4664217759083726|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[1.4083010456562353, 2.9817525849951445, 1.377699663004806, 0.6546476202045559, 0.5824746213379369, 0.2558520670167695, -0.1373510886652615, 0.0492683496048891]|404.4664217759083726|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[1.4083010456562353, 2.9817525849951445, 1.377699663004806, 0.6546476202045559, 0.5824746213379369, 0.2558520670167695, -0.1373510886652615, 0.0492683496048891]|404.4664217759083726|      0.50000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[1.4083010456562353, 2.9817525849951445, 1.377699663004806, 0.6546476202045559, 0.5824746213379369, 0.2558520670167695, -0.1373510886652615, 0.0492683496048891]|404.4664217759083726|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[1.4083010456562353, 2.9817525849951445, 1.377699663004806, 0.6546476202045559, 0.5824746213379369, 0.2558520670167695, -0.1373510886652615, 0.0492683496048891]|404.4664217759083726|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[1.4083010456562353, 2.9817525849951445, 1.377699663004806, 0.6546476202045559, 0.5824746213379369, 0.2558520670167695, -0.1373510886652615, 0.0492683496048891]|404.4664217759083726|      0.06250000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[1.4083010456562353, 2.9817525849951445, 1.377699663004806, 0.6546476202045559, 0.5824746213379369, 0.2558520670167695, -0.1373510886652615, 0.0492683496048891]|404.4664217759083726|      0.03125000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[1.4083010456562353, 2.9817525849951445, 1.377699663004806, 0.6546476202045559, 0.5824746213379369, 0.2558520670167695, -0.1373510886652615, 0.0492683496048891]|404.4664217759083726|      0.01562500|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[1.4117935859865005, 2.9845453360206426, 1.3792354380668859, 0.6562437935623364, 0.5843638117335533, 0.2586453128974669, -0.1403611386259941, 0.0633681826058373]|323.6501932920661488|      0.03125000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[1.4117935859865005, 2.9845453360206426, 1.3792354380668859, 0.6562437935623364, 0.5843638117335533, 0.2586453128974669, -0.1403611386259941, 0.0633681826058373]|323.6501932920661488|      0.01562500|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[1.4117935859865005, 2.9845453360206426, 1.3792354380668859, 0.6562437935623364, 0.5843638117335533, 0.2586453128974669, -0.1403611386259941, 0.0633681826058373]|323.6501932920661488|      0.00781250|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
