k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.4994290952270777, 1.5021856231555992, -0.9981118185895382, 0.0172305577417676, 0.0202933958352033]|  0.2492209227387210|      0.01562500|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[0.5061894996043707, 1.5129845257003063, -1.0033529285341263, 0.0173742229983677, 0.0276643786955949]|  0.1480988505326847|      0.03125000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[0.5061894996043707, 1.5129845257003063, -1.0033529285341263, 0.0173742229983677, 0.0276643786955949]|  0.1480988505326847|      0.01562500|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.5061894996043707, 1.5129845257003063, -1.0033529285341263, 0.0173742229983677, 0.0276643786955949]|  0.1480988505326847|      0.00781250|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[0.5061894996043707, 1.5129845257003063, -1.0033529285341263, 0.0173742229983677, 0.0276643786955949]|  0.1480988505326847|      0.00390625|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.5061894996043707, 1.5129845257003063, -1.0033529285341263, 0.0173742229983677, 0.0276643786955949]|  0.1480988505326847|      0.00195312|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[0.5061894996043707, 1.5129845257003063, -1.0033529285341263, 0.0173742229983677, 0.0276643786955949]|  0.1480988505326847|      0.00097656|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[0.5061894996043707, 1.5129845257003063, -1.0033529285341263, 0.0173742229983677, 0.0276643786955949]|  0.1480988505326847|      0.00048828|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[0.5061894996043707, 1.5129845257003063, -1.0033529285341263, 0.0173742229983677, 0.0276643786955949]|  0.1480988505326847|      0.00024414|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[0.5060910242218746, 1.5128746368834165, -1.003463999284577, 0.0174958387137832, 0.0277678417223169]|  0.1477308433637251|      0.00048828|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
