k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.47644471745155, 2.937420951339704, 0.7217984747399475, 39.92653112787422, -1.069291633820555, -1.5202670813782564, 25.397357797505027, -0.3428600205717103, 0.831882589893796]|1012.3925350372099956|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[10.47644471745155, 2.937420951339704, 0.7217984747399475, 39.92653112787422, -1.069291633820555, -1.5202670813782564, 25.397357797505027, -0.3428600205717103, 0.831882589893796]|1012.3925350372099956|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[10.619604217446023, 3.188528709046075, 0.7773958823489251, 40.07452726946957, -0.5799298914099666, -1.387959218608278, 25.947667350977458, 0.0848598394164519, 0.4462776714035692]|970.9859868465251793|      2.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[10.619604217446023, 3.188528709046075, 0.7773958823489251, 40.07452726946957, -0.5799298914099666, -1.387959218608278, 25.947667350977458, 0.0848598394164519, 0.4462776714035692]|970.9859868465251793|      1.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[10.619604217446023, 3.188528709046075, 0.7773958823489251, 40.07452726946957, -0.5799298914099666, -1.387959218608278, 25.947667350977458, 0.0848598394164519, 0.4462776714035692]|970.9859868465251793|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[10.83255415636842, 3.1856001817676476, 0.5801323609491027, 40.154599015470566, -0.4756272327024418, -1.432860000048934, 25.98104832955542, -0.2378487077925226, 0.6491794823817634]|905.7589218855164290|      1.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[10.83255415636842, 3.1856001817676476, 0.5801323609491027, 40.154599015470566, -0.4756272327024418, -1.432860000048934, 25.98104832955542, -0.2378487077925226, 0.6491794823817634]|905.7589218855164290|      0.50000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[10.70772221183061, 3.146283196438041, 0.4710793252146735, 40.165542644626136, -0.2742981778237512, -1.4023394266386189, 26.306571116870163, -0.481694741038496, 0.5309933328763539]|897.4650198866961546|      1.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[10.70772221183061, 3.146283196438041, 0.4710793252146735, 40.165542644626136, -0.2742981778237512, -1.4023394266386189, 26.306571116870163, -0.481694741038496, 0.5309933328763539]|897.4650198866961546|      0.50000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[10.589856686068085, 3.1401238318388227, 0.2785540784815427, 39.997656297210945, -0.1891782483888018, -1.3630831332817122, 26.425714317564086, -0.4698673703800941, 0.915306402993637]|870.5930276103144934|      1.00000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      11|[10.589856686068085, 3.1401238318388227, 0.2785540784815427, 39.997656297210945, -0.1891782483888018, -1.3630831332817122, 26.425714317564086, -0.4698673703800941, 0.915306402993637]|870.5930276103144934|      0.50000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[10.589856686068085, 3.1401238318388227, 0.2785540784815427, 39.997656297210945, -0.1891782483888018, -1.3630831332817122, 26.425714317564086, -0.4698673703800941, 0.915306402993637]|870.5930276103144934|      0.25000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[10.52021322448729, 3.109017692089315, 0.3366654215898527, 40.00754779386974, -0.2881719068699148, -1.3894174231362735, 26.300769519364454, -0.4240492290164703, 1.0734319306864886]|859.1909837410721593|      0.50000000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      14|[10.52021322448729, 3.109017692089315, 0.3366654215898527, 40.00754779386974, -0.2881719068699148, -1.3894174231362735, 26.300769519364454, -0.4240492290164703, 1.0734319306864886]|859.1909837410721593|      0.25000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      15|[10.656672127831886, 3.1348375171688807, 0.3326006160326259, 39.97964284848882, -0.2362414544584681, -1.4078903885172362, 26.47927460762752, -0.4496763618541119, 1.1562465242012379]|856.9983586930238744|      0.50000000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[10.656672127831886, 3.1348375171688807, 0.3326006160326259, 39.97964284848882, -0.2362414544584681, -1.4078903885172362, 26.47927460762752, -0.4496763618541119, 1.1562465242012379]|856.9983586930238744|      0.25000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[10.673233279526558, 2.9923670741394592, 0.4178018282083145, 39.94892097435912, -0.2815877490802239, -1.3188082573737572, 26.450860619310397, -0.3427909889709573, 1.2634895697466484]|851.9140347642710367|      0.50000000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      18|[10.673233279526558, 2.9923670741394592, 0.4178018282083145, 39.94892097435912, -0.2815877490802239, -1.3188082573737572, 26.450860619310397, -0.3427909889709573, 1.2634895697466484]|851.9140347642710367|      0.25000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[10.673233279526558, 2.9923670741394592, 0.4178018282083145, 39.94892097435912, -0.2815877490802239, -1.3188082573737572, 26.450860619310397, -0.3427909889709573, 1.2634895697466484]|851.9140347642710367|      0.12500000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[10.705406184327448, 2.964164542839467, 0.3929420908339711, 39.9909271836997, -0.3271712634694706, -1.3770703101233372, 26.487534746606826, -0.2966798964059795, 1.3131730198512852]|851.1917072669353956|      0.25000000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      21|[10.705406184327448, 2.964164542839467, 0.3929420908339711, 39.9909271836997, -0.3271712634694706, -1.3770703101233372, 26.487534746606826, -0.2966798964059795, 1.3131730198512852]|851.1917072669353956|      0.12500000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      22|[10.666797938049767, 2.98792119322235, 0.4514789711461343, 39.98889585325718, -0.3750585756256518, -1.3020685756995194, 26.469562522911925, -0.3381320015369225, 1.3265744953465244]|850.4998706110411604|      0.25000000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      23|[10.666797938049767, 2.98792119322235, 0.4514789711461343, 39.98889585325718, -0.3750585756256518, -1.3020685756995194, 26.469562522911925, -0.3381320015369225, 1.3265744953465244]|850.4998706110411604|      0.12500000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[10.658109008221562, 3.0259786396352846, 0.4723127689186764, 40.08791123568947, -0.3746954483015027, -1.3596824613809384, 26.472910585812166, -0.3152526019276792, 1.3235958972366675]|847.1888670881302232|      0.25000000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
