k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[31, 2, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=1
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[62, 4, 2, 6]                                                              |  | used linear model with 33 points | iterate failure | actual_k=1
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[93, 6, 3, 9]                                                              |  | used linear model with 33 points | iterate failure | actual_k=1
       4|[120.0201370956956, 0.0226307626436416, 0.8799457031833064, 109.98295847155923, 0.2093161045558799, 0.8025957248871711, 100.00454720691397, 0.2672010836530929, 0.7292324725948854, 87.99126175941548, 0.2894753562215028, 0.6953128905602258, 86.01770035318708, 0.3741887178609323, 0.6266091779188521, 84.01635926329108, 0.4287147823597312, 0.4981852293506007, 79.95919386624252, 0.6548603096920347, 0.3459777615743878, 75.99984947465366, 0.8863532004306541, 0.1190570998792898, 886.3483864259459, 910.0136406930463, 922.5210917520716, 926.4257273466486, 935.5666637563477, 952.8225301777856, 975.7403759301866]|2570.3461424112379063|      0.25000000|[124, 8, 4, 12]                                                            |  | used linear model with 33 points | iterate success | actual_k=1
       5|[120.0201370956956, 0.0226307626436416, 0.8799457031833064, 109.98295847155923, 0.2093161045558799, 0.8025957248871711, 100.00454720691397, 0.2672010836530929, 0.7292324725948854, 87.99126175941548, 0.2894753562215028, 0.6953128905602258, 86.01770035318708, 0.3741887178609323, 0.6266091779188521, 84.01635926329108, 0.4287147823597312, 0.4981852293506007, 79.95919386624252, 0.6548603096920347, 0.3459777615743878, 75.99984947465366, 0.8863532004306541, 0.1190570998792898, 886.3483864259459, 910.0136406930463, 922.5210917520716, 926.4257273466486, 935.5666637563477, 952.8225301777856, 975.7403759301866]|2570.3461424112379063|      0.12500000|[155, 10, 5, 15]                                                           |  | used linear model with 33 points | iterate failure | actual_k=1
       6|[120.0201370956956, 0.0226307626436416, 0.8799457031833064, 109.98295847155923, 0.2093161045558799, 0.8025957248871711, 100.00454720691397, 0.2672010836530929, 0.7292324725948854, 87.99126175941548, 0.2894753562215028, 0.6953128905602258, 86.01770035318708, 0.3741887178609323, 0.6266091779188521, 84.01635926329108, 0.4287147823597312, 0.4981852293506007, 79.95919386624252, 0.6548603096920347, 0.3459777615743878, 75.99984947465366, 0.8863532004306541, 0.1190570998792898, 886.3483864259459, 910.0136406930463, 922.5210917520716, 926.4257273466486, 935.5666637563477, 952.8225301777856, 975.7403759301866]|2570.3461424112379063|      0.06250000|[186, 12, 6, 18]                                                           |  | used linear model with 33 points | iterate failure | actual_k=1
       7|[120.02678429151395, 0.0175054493101267, 0.8813756566721301, 109.98158970964744, 0.1684522985604686, 0.784655510117852, 100.01321979427192, 0.2578421231944414, 0.7311905689167539, 87.99045274058835, 0.3130591775740475, 0.7102546046325922, 86.02064217625885, 0.3702616092378272, 0.630167763774038, 84.03019541211081, 0.4320930251316415, 0.4978732213046448, 79.95999417460327, 0.6351658226709853, 0.3354016904793534, 75.9977226252198, 0.882638313508661, 0.1205885241349124, 886.3452734109994, 910.0197663325521, 922.5156148747078, 926.4241103145579, 935.5679931552671, 952.8296795615797, 975.7403481326612]|1504.4998993880974467|      0.12500000|[217, 14, 7, 21]                                                           |  | used linear model with 33 points | iterate success | actual_k=1
       8|[120.02678429151395, 0.0175054493101267, 0.8813756566721301, 109.98158970964744, 0.1684522985604686, 0.784655510117852, 100.01321979427192, 0.2578421231944414, 0.7311905689167539, 87.99045274058835, 0.3130591775740475, 0.7102546046325922, 86.02064217625885, 0.3702616092378272, 0.630167763774038, 84.03019541211081, 0.4320930251316415, 0.4978732213046448, 79.95999417460327, 0.6351658226709853, 0.3354016904793534, 75.9977226252198, 0.882638313508661, 0.1205885241349124, 886.3452734109994, 910.0197663325521, 922.5156148747078, 926.4241103145579, 935.5679931552671, 952.8296795615797, 975.7403481326612]|1504.4998993880974467|      0.06250000|[248, 16, 8, 24]                                                           |  | used linear model with 33 points | iterate failure | actual_k=1
       9|[120.03460180042019, 0.0025535674000383, 0.8782454466874406, 109.98126370593185, 0.1590957350625146, 0.7700399883951187, 100.02273007031836, 0.2352455925196514, 0.7438372550442616, 88.00199434831485, 0.3175579642683872, 0.7107565048374079, 86.03740061266652, 0.381017921729901, 0.6426360511081207, 84.04767519854313, 0.4215568937436694, 0.4905869287179609, 79.97010303810342, 0.6238608826185423, 0.3453302228236134, 75.98121437221317, 0.8944155480099741, 0.1192689986978073, 886.3433135137965, 910.028944102284, 922.5288823189221, 926.4175768355933, 935.5684026823786, 952.8125383404206, 975.7459940433821]|1175.6167490285445183|      0.12500000|[279, 18, 9, 27]                                                           |  | used linear model with 33 points | iterate success | actual_k=1
      10|[120.03460180042019, 0.0025535674000383, 0.8782454466874406, 109.98126370593185, 0.1590957350625146, 0.7700399883951187, 100.02273007031836, 0.2352455925196514, 0.7438372550442616, 88.00199434831485, 0.3175579642683872, 0.7107565048374079, 86.03740061266652, 0.381017921729901, 0.6426360511081207, 84.04767519854313, 0.4215568937436694, 0.4905869287179609, 79.97010303810342, 0.6238608826185423, 0.3453302228236134, 75.98121437221317, 0.8944155480099741, 0.1192689986978073, 886.3433135137965, 910.028944102284, 922.5288823189221, 926.4175768355933, 935.5684026823786, 952.8125383404206, 975.7459940433821]|1175.6167490285445183|      0.06250000|[310, 20, 10, 30]                                                          |  | used linear model with 33 points | iterate failure | actual_k=1
      11|[120.02426668338457, -0.0025828453264297, 0.8748405589714504, 109.98016640936588, 0.1465460717998805, 0.7482879573725604, 100.00846190948677, 0.2260262496004697, 0.7433572339643801, 87.99458787279809, 0.3415652734326758, 0.7298367924330661, 86.0285908089438, 0.3637722983538537, 0.6447031405614061, 84.0477497424108, 0.4291702789373685, 0.4887616939929507, 79.98651021728071, 0.6222459396827774, 0.3417633696492261, 75.97916470399232, 0.9052439381396193, 0.1392461164851791, 886.3335472220238, 910.0275943548285, 922.5294082902227, 926.4029388725787, 935.5674477710684, 952.8243365200593, 975.733827809893]|765.5219100394624547|      0.12500000|[341, 22, 11, 33]                                                          |  | used linear model with 33 points | iterate success | actual_k=1
