k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.76073873277379, 2.304430339626069, 2.1467245092084624, 1.297774886838642, 0.7791614828038176]|7264.7475585937500000|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[19.76073873277379, 2.304430339626069, 2.1467245092084624, 1.297774886838642, 0.7791614828038176]|7264.7475585937500000|      1.00000000|[58, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[19.76073873277379, 2.304430339626069, 2.1467245092084624, 1.297774886838642, 0.7791614828038176]|7264.7475585937500000|      0.50000000|[87, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[19.76073873277379, 2.304430339626069, 2.1467245092084624, 1.297774886838642, 0.7791614828038176]|7264.7475585937500000|      0.25000000|[115, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[19.75654062857851, 2.269049390703463, 2.139241757589387, 1.3151280004335824, 0.5324360438007228]|3798.6406250000000000|      0.50000000|[144, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[19.75654062857851, 2.269049390703463, 2.139241757589387, 1.3151280004335824, 0.5324360438007228]|3798.6406250000000000|      0.25000000|[172, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[19.75654062857851, 2.269049390703463, 2.139241757589387, 1.3151280004335824, 0.5324360438007228]|3798.6406250000000000|      0.12500000|[200, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[19.75654062857851, 2.269049390703463, 2.139241757589387, 1.3151280004335824, 0.5324360438007228]|3798.6406250000000000|      0.06250000|[228, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[19.76710513702962, 2.325245042971887, 2.138296667509355, 1.3100891387626263, 0.5077296376453484]|3719.9096679687500000|      0.12500000|[257, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[19.76710513702962, 2.325245042971887, 2.138296667509355, 1.3100891387626263, 0.5077296376453484]|3719.9096679687500000|      0.06250000|[285, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[19.76710513702962, 2.325245042971887, 2.138296667509355, 1.3100891387626263, 0.5077296376453484]|3719.9096679687500000|      0.03125000|[314, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[19.776515503913966, 2.3437694250467658, 2.1431684816731034, 1.3141507673589683, 0.5301934610898386]|3654.9504394531250000|      0.06250000|[342, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      13|[19.76689471194559, 2.399653571643234, 2.146560043660379, 1.3104951502331266, 0.5043906261331635]|3576.9592285156250000|      0.12500000|[370, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      14|[19.76689471194559, 2.399653571643234, 2.146560043660379, 1.3104951502331266, 0.5043906261331635]|3576.9592285156250000|      0.06250000|[398, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[19.76689471194559, 2.399653571643234, 2.146560043660379, 1.3104951502331266, 0.5043906261331635]|3576.9592285156250000|      0.03125000|[426, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[19.77154319344358, 2.414361628649908, 2.1554684900465984, 1.309625302411544, 0.530052078286196]|3552.5444335937500000|      0.06250000|[454, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      17|[19.788253106783166, 2.4625794736560422, 2.175531893164802, 1.3113344998602483, 0.5001086863850484]|3455.1423339843750000|      0.12500000|[482, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      18|[19.788253106783166, 2.4625794736560422, 2.175531893164802, 1.3113344998602483, 0.5001086863850484]|3455.1423339843750000|      0.06250000|[510, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[19.788253106783166, 2.4625794736560422, 2.175531893164802, 1.3113344998602483, 0.5001086863850484]|3455.1423339843750000|      0.03125000|[538, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[19.796228661630114, 2.4862111985883266, 2.1847477099376316, 1.3272837886272117, 0.5040052888340808]|3402.1406250000000000|      0.06250000|[566, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      21|[19.780823259790623, 2.5423592376774495, 2.1797675078555163, 1.3061784769091669, 0.4972167171790432]|3351.9992675781250000|      0.12500000|[594, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      22|[19.780823259790623, 2.5423592376774495, 2.1797675078555163, 1.3061784769091669, 0.4972167171790432]|3351.9992675781250000|      0.06250000|[622, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[19.780823259790623, 2.5423592376774495, 2.1797675078555163, 1.3061784769091669, 0.4972167171790432]|3351.9992675781250000|      0.03125000|[651, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[19.783211600680737, 2.565995452193071, 2.189780983597076, 1.3196656537355875, 0.4858143465487663]|3320.7375488281250000|      0.06250000|[679, 48, 0, 48]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      25|[19.790647849624552, 2.620694383164112, 2.216255922504732, 1.319521724626544, 0.4983855854104847]|3249.0522460937500000|      0.12500000|[707, 50, 0, 50]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
