k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[57, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[85, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[-0.0305725586490924, 0.0110965126384029, 0.061642732383821, 0.0186013584757077, 0.0257958342141733, 0.0403130614989588, 0.0276165872785762, 0.0056834078185975, 0.0493351056780622, 0.0491441240132174, 0.0266560117940824, 0.0421445550741545]| 20.3146479265063036|      0.25000000|[113, 16, 1, 9]                                                            |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
       5|[-0.0305725586490924, 0.0110965126384029, 0.061642732383821, 0.0186013584757077, 0.0257958342141733, 0.0403130614989588, 0.0276165872785762, 0.0056834078185975, 0.0493351056780622, 0.0491441240132174, 0.0266560117940824, 0.0421445550741545]| 20.3146479265063036|      0.12500000|[142, 20, 1, 11]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[-0.0567486635140293, 0.0892274488269792, 0.1396795549928128, 0.0328451461873773, 0.0368886766465641, 0.0612473318655041, 0.0288106913744131, -0.0024815168362019, 0.0328613030544046, 0.0210209298945669, 0.0015280468032767, 0.0273244464376876]| 13.7067356109619141|      0.25000000|[170, 24, 1, 13]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[-0.0824847958770279, 0.3013784644705625, 0.2266915600376177, 0.0323555546854851, 0.0103400750871196, 0.0140969589762892, 0.0397243210995268, 0.0272865412689821, 0.069516790942062, 0.0740080702618302, -0.0203439517773477, 0.0009541474887435]|  7.7240010234637388|      0.50000000|[198, 28, 2, 16]                                                           |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
       8|[-0.0824847958770279, 0.3013784644705625, 0.2266915600376177, 0.0323555546854851, 0.0103400750871196, 0.0140969589762892, 0.0397243210995268, 0.0272865412689821, 0.069516790942062, 0.0740080702618302, -0.0203439517773477, 0.0009541474887435]|  7.7240010234637388|      0.25000000|[227, 32, 2, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-0.0824847958770279, 0.3013784644705625, 0.2266915600376177, 0.0323555546854851, 0.0103400750871196, 0.0140969589762892, 0.0397243210995268, 0.0272865412689821, 0.069516790942062, 0.0740080702618302, -0.0203439517773477, 0.0009541474887435]|  7.7240010234637388|      0.12500000|[255, 36, 2, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
