k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0310721510041449, -0.1932950461591216, 0.909416587369669, 0.3758227735508382, 0.3170079403375921, 1.3120750363917233]|510.6234436035156250|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.0310721510041449, -0.1932950461591216, 0.909416587369669, 0.3758227735508382, 0.3170079403375921, 1.3120750363917233]|510.6234436035156250|      1.00000000|[17, 5, 1, 6]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.1830629673339401, -0.0366564530688002, 1.5953104310960176, -0.1676182174008246, 0.3208424064423355, 1.7168185645802305]|378.8587036132812500|      2.00000000|[23, 7, 1, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[-0.1830629673339401, -0.0366564530688002, 1.5953104310960176, -0.1676182174008246, 0.3208424064423355, 1.7168185645802305]|378.8587036132812500|      1.00000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.1638549472877537, 0.0594922203844825, 1.7059873024564158, -1.0521703183919864, 0.1576958901892448, 2.128021567452966]|323.5478210449218750|      2.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[-0.1638549472877537, 0.0594922203844825, 1.7059873024564158, -1.0521703183919864, 0.1576958901892448, 2.128021567452966]|323.5478210449218750|      1.00000000|[47, 15, 1, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.3417379955996191, 0.123378275745558, 1.6441926047757613, -0.6716417126640952, 0.1089118241613627, 3.029839566561883]|146.3567047119140625|      2.00000000|[53, 17, 1, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-0.3417379955996191, 0.123378275745558, 1.6441926047757613, -0.6716417126640952, 0.1089118241613627, 3.029839566561883]|146.3567047119140625|      1.00000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.3417379955996191, 0.123378275745558, 1.6441926047757613, -0.6716417126640952, 0.1089118241613627, 3.029839566561883]|146.3567047119140625|      0.50000000|[71, 23, 1, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.3417379955996191, 0.123378275745558, 1.6441926047757613, -0.6716417126640952, 0.1089118241613627, 3.029839566561883]|146.3567047119140625|      0.25000000|[81, 26, 2, 28]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
