k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.074475598322564, 150.04058901951873, -100.03401395708185, 1.3690318678613578, 2.066450316933165]|84769.5107686169212684|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[49.074475598322564, 150.04058901951873, -100.03401395708185, 1.3690318678613578, 2.066450316933165]|84769.5107686169212684|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[48.078288930711736, 149.9808150857863, -100.0975181504959, 1.3682068830621223, 2.0688455078433194]|81493.5783513962232973|      2.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[48.078288930711736, 149.9808150857863, -100.0975181504959, 1.3682068830621223, 2.0688455078433194]|81493.5783513962232973|      1.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[47.08176672488943, 149.92131872946237, -100.15582461382074, 1.3693949493157203, 2.0704646805757987]|78283.6540264547656989|      2.00000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[46.61127176058966, 150.06260209877328, -99.45793431873051, 3.131107198558804, 1.6605956953982628]|76962.7295844029722502|      4.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[46.61127176058966, 150.06260209877328, -99.45793431873051, 3.131107198558804, 1.6605956953982628]|76962.7295844029722502|      2.00000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[44.62256749430594, 149.9349889225607, -99.53278726967812, 3.1316035290235957, 1.5083885736451341]|70818.6470103241881588|      4.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[44.62256749430594, 149.9349889225607, -99.53278726967812, 3.1316035290235957, 1.5083885736451341]|70818.6470103241881588|      2.00000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[42.68096729727837, 150.17422490550067, -99.49740562815938, 3.0786221909102753, 1.0974190655007696]|65160.5756534964020830|      4.00000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      11|[42.68096729727837, 150.17422490550067, -99.49740562815938, 3.0786221909102753, 1.0974190655007696]|65160.5756534964020830|      2.00000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[42.68096729727837, 150.17422490550067, -99.49740562815938, 3.0786221909102753, 1.0974190655007696]|65160.5756534964020830|      1.00000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
