k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[17, 0, 1, 5]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[34, 0, 2, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[51, 0, 3, 15]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[68, 0, 4, 20]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[85, 0, 5, 25]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[102, 0, 6, 30]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[119, 0, 7, 35]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[136, 0, 8, 40]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[-0.0027540480850111, -0.0009194315198171, 2.49488568089e-05, 0.0001750202332349, -0.0004283855402124, 0.0004956167105437, -0.0005259517198902, 0.0004170375913781, -8.25852911822e-05, -0.0019366830748323, 0.0005682864458574, -0.0009703018896152, 0.0007511916750701, 0.000392297226328, 0.9995786678851217]|2117.0057167696963916|      0.00781250|[153, 0, 9, 45]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[-0.0027540480850111, -0.0009194315198171, 2.49488568089e-05, 0.0001750202332349, -0.0004283855402124, 0.0004956167105437, -0.0005259517198902, 0.0004170375913781, -8.25852911822e-05, -0.0019366830748323, 0.0005682864458574, -0.0009703018896152, 0.0007511916750701, 0.000392297226328, 0.9995786678851217]|2117.0057167696963916|      0.00390625|[170, 0, 10, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-0.0027540480850111, -0.0009194315198171, 2.49488568089e-05, 0.0001750202332349, -0.0004283855402124, 0.0004956167105437, -0.0005259517198902, 0.0004170375913781, -8.25852911822e-05, -0.0019366830748323, 0.0005682864458574, -0.0009703018896152, 0.0007511916750701, 0.000392297226328, 0.9995786678851217]|2117.0057167696963916|      0.00195312|[187, 0, 11, 55]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
