k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.12500000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[100.08943841099581, -0.0310363464128873, -0.0816242356159187]                  |19465.2460937500000000|      0.25000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[99.92795374403408, -0.2047556355050617, -0.1606451881131603]                   |2416.9218750000000000|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[100.10999637439446, -0.6546872879324722, -0.0405536027484214]                  |1404.1335449218750000|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[100.10999637439446, -0.6546872879324722, -0.0405536027484214]                  |1404.1335449218750000|      0.50000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[100.10999637439446, -0.6546872879324722, -0.0405536027484214]                  |1404.1335449218750000|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[100.10999637439446, -0.6546872879324722, -0.0405536027484214]                  |1404.1335449218750000|      0.12500000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[100.10999637439446, -0.6546872879324722, -0.0405536027484214]                  |1404.1335449218750000|      0.06250000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[100.10999637439446, -0.6546872879324722, -0.0405536027484214]                  |1404.1335449218750000|      0.03125000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[100.10999637439446, -0.6546872879324722, -0.0405536027484214]                  |1404.1335449218750000|      0.01562500|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[100.10046302511924, -0.6658580485257067, -0.0352178755847206]                  |1389.9583740234375000|      0.03125000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[100.09828507294812, -0.6791496570189062, -0.0070194329326202]                  |1371.8940429687500000|      0.06250000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[100.09828507294812, -0.6791496570189062, -0.0070194329326202]                  |1371.8940429687500000|      0.03125000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
