k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[119, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[237, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[355, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[120.00391434618425, -0.0163651130777229, 0.8725841948606116, 110.00549159377367, 0.1896936588505489, 0.8161801370748382, 99.99636326306032, 0.2838794732000923, 0.7058219778264306, 87.98457415402179, 0.3327729796993365, 0.6999403733313664, 85.9995973160051, 0.3781264263964166, 0.647415873605064, 84.00450015222536, 0.4766054346486924, 0.5266575359750136, 79.98692888633563, 0.657952243007188, 0.3479943329896758, 75.99336544157066, 0.8655489861516549, 0.1111586703839146, 886.3699993265509, 910.0157708034337, 922.5227573616529, 926.4727255325921, 935.5641507382827, 952.8310096278742, 975.7256155978775]|1986.8326416015625000|      0.25000000|[473, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[120.00391434618425, -0.0163651130777229, 0.8725841948606116, 110.00549159377367, 0.1896936588505489, 0.8161801370748382, 99.99636326306032, 0.2838794732000923, 0.7058219778264306, 87.98457415402179, 0.3327729796993365, 0.6999403733313664, 85.9995973160051, 0.3781264263964166, 0.647415873605064, 84.00450015222536, 0.4766054346486924, 0.5266575359750136, 79.98692888633563, 0.657952243007188, 0.3479943329896758, 75.99336544157066, 0.8655489861516549, 0.1111586703839146, 886.3699993265509, 910.0157708034337, 922.5227573616529, 926.4727255325921, 935.5641507382827, 952.8310096278742, 975.7256155978775]|1986.8326416015625000|      0.12500000|[591, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[120.00391434618425, -0.0163651130777229, 0.8725841948606116, 110.00549159377367, 0.1896936588505489, 0.8161801370748382, 99.99636326306032, 0.2838794732000923, 0.7058219778264306, 87.98457415402179, 0.3327729796993365, 0.6999403733313664, 85.9995973160051, 0.3781264263964166, 0.647415873605064, 84.00450015222536, 0.4766054346486924, 0.5266575359750136, 79.98692888633563, 0.657952243007188, 0.3479943329896758, 75.99336544157066, 0.8655489861516549, 0.1111586703839146, 886.3699993265509, 910.0157708034337, 922.5227573616529, 926.4727255325921, 935.5641507382827, 952.8310096278742, 975.7256155978775]|1986.8326416015625000|      0.06250000|[709, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[120.00307734160472, 0.0102391677227957, 0.8806905345482243, 110.0056893642139, 0.1411699993205194, 0.7977109254958022, 99.99260022346998, 0.2808878990244116, 0.7092924875427726, 87.98902276784779, 0.3457526229520454, 0.7079196524935338, 85.99999359315369, 0.3802146228177109, 0.6453572848284862, 84.00563671142835, 0.4737544265275539, 0.5295902878008328, 79.98970093286428, 0.6530249835771107, 0.346573193157485, 75.99184518378455, 0.8618580170317761, 0.1082753307590197, 886.3680141995862, 910.0138350495824, 922.5287003717098, 926.4736150219361, 935.5628367868024, 952.8349808833372, 975.723893441195]|1114.7835693359375000|      0.12500000|[827, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       8|[120.00307734160472, 0.0102391677227957, 0.8806905345482243, 110.0056893642139, 0.1411699993205194, 0.7977109254958022, 99.99260022346998, 0.2808878990244116, 0.7092924875427726, 87.98902276784779, 0.3457526229520454, 0.7079196524935338, 85.99999359315369, 0.3802146228177109, 0.6453572848284862, 84.00563671142835, 0.4737544265275539, 0.5295902878008328, 79.98970093286428, 0.6530249835771107, 0.346573193157485, 75.99184518378455, 0.8618580170317761, 0.1082753307590197, 886.3680141995862, 910.0138350495824, 922.5287003717098, 926.4736150219361, 935.5628367868024, 952.8349808833372, 975.723893441195]|1114.7835693359375000|      0.06250000|[945, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[120.00005538134393, -0.0364517270127001, 0.8714855218043176, 110.00538366134573, 0.1323177930279218, 0.795427321208642, 99.99182156744371, 0.2572723588632016, 0.7019080039815292, 87.98000982267287, 0.3634073768134319, 0.7039149871086725, 86.00394243616428, 0.3878069319156341, 0.6514236660441245, 84.00510390706005, 0.4737186391888852, 0.5293478970753251, 79.98614768785765, 0.6517872446183974, 0.3427085857511197, 75.98589623265083, 0.8579804122126999, 0.1172799770310218, 886.3748041537759, 910.011069868349, 922.5382911191864, 926.464773832056, 935.5601577054892, 952.8300866577405, 975.7229600924557]|702.9415893554687500|      0.12500000|[1063, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      10|[120.00005538134393, -0.0364517270127001, 0.8714855218043176, 110.00538366134573, 0.1323177930279218, 0.795427321208642, 99.99182156744371, 0.2572723588632016, 0.7019080039815292, 87.98000982267287, 0.3634073768134319, 0.7039149871086725, 86.00394243616428, 0.3878069319156341, 0.6514236660441245, 84.00510390706005, 0.4737186391888852, 0.5293478970753251, 79.98614768785765, 0.6517872446183974, 0.3427085857511197, 75.98589623265083, 0.8579804122126999, 0.1172799770310218, 886.3748041537759, 910.011069868349, 922.5382911191864, 926.464773832056, 935.5601577054892, 952.8300866577405, 975.7229600924557]|702.9415893554687500|      0.06250000|[1182, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
