k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.06250000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.03125000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.01562500|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00781250|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00390625|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00195312|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00097656|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00048828|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00024414|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00012207|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[1.59264109123e-05, -1.33357620956e-05, 0.010095483957506, 0.0003236863465798, 2.82712471627e-05, 0.0979485481428121, 0.0001932025822882, 4.47913074684e-05]|2534.7500648544755677|      0.00024414|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[1.59264109123e-05, -1.33357620956e-05, 0.010095483957506, 0.0003236863465798, 2.82712471627e-05, 0.0979485481428121, 0.0001932025822882, 4.47913074684e-05]|2534.7500648544755677|      0.00012207|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[1.59264109123e-05, -1.33357620956e-05, 0.010095483957506, 0.0003236863465798, 2.82712471627e-05, 0.0979485481428121, 0.0001932025822882, 4.47913074684e-05]|2534.7500648544755677|      0.00006104|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[1.59264109123e-05, -1.33357620956e-05, 0.010095483957506, 0.0003236863465798, 2.82712471627e-05, 0.0979485481428121, 0.0001932025822882, 4.47913074684e-05]|2534.7500648544755677|      0.00003052|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[1.07664706295e-05, -5.2528917796e-06, 0.0100810935008584, 0.0003220645204236, 3.49552338606e-05, 0.0979525556398429, 0.0001748000284244, 2.9617002331e-05]|1850.9808096022677546|      0.00006104|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      19|[1.07664706295e-05, -5.2528917796e-06, 0.0100810935008584, 0.0003220645204236, 3.49552338606e-05, 0.0979525556398429, 0.0001748000284244, 2.9617002331e-05]|1850.9808096022677546|      0.00003052|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[1.07664706295e-05, -5.2528917796e-06, 0.0100810935008584, 0.0003220645204236, 3.49552338606e-05, 0.0979525556398429, 0.0001748000284244, 2.9617002331e-05]|1850.9808096022677546|      0.00001526|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[1.90501127344e-05, 8.845824204e-07, 0.0100791960898871, 0.0003260055437518, 3.38784595529e-05, 0.0979515656152018, 0.0001729618134159, 3.97112020611e-05]|1724.4360018498568934|      0.00003052|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      22|[1.90501127344e-05, 8.845824204e-07, 0.0100791960898871, 0.0003260055437518, 3.38784595529e-05, 0.0979515656152018, 0.0001729618134159, 3.97112020611e-05]|1724.4360018498568934|      0.00001526|[154, 44, 22, 66]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      23|[2.03704565735e-05, -3.6625507999e-06, 0.0100820577477332, 0.0003344112084814, 3.21558464254e-05, 0.0979446119313442, 0.000164484189421, 3.68171726339e-05]|1650.0428990408740901|      0.00003052|[161, 46, 23, 69]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      24|[2.03704565735e-05, -3.6625507999e-06, 0.0100820577477332, 0.0003344112084814, 3.21558464254e-05, 0.0979446119313442, 0.000164484189421, 3.68171726339e-05]|1650.0428990408740901|      0.00001526|[168, 48, 24, 72]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      25|[2.03704565735e-05, -3.6625507999e-06, 0.0100820577477332, 0.0003344112084814, 3.21558464254e-05, 0.0979446119313442, 0.000164484189421, 3.68171726339e-05]|1650.0428990408740901|      0.00000763|[175, 50, 25, 75]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      26|[2.03704565735e-05, -3.6625507999e-06, 0.0100820577477332, 0.0003344112084814, 3.21558464254e-05, 0.0979446119313442, 0.000164484189421, 3.68171726339e-05]|1650.0428990408740901|      0.00000381|[182, 52, 26, 78]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      27|[1.90697476853e-05, -4.2423404361e-06, 0.0100824159287416, 0.0003361562625388, 3.29488497226e-05, 0.0979450611185513, 0.0001669117735647, 3.84378577189e-05]|1644.0478224386704369|      0.00000763|[189, 54, 27, 81]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
