k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.01562500|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.00781250|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[1.2037606861694203, -1.1981467479211525, 0.9734077429876121]                   |  0.0001860708901488|      0.01562500|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[1.2037606861694203, -1.1981467479211525, 0.9734077429876121]                   |  0.0001860708901488|      0.00781250|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[1.2037606861694203, -1.1981467479211525, 0.9734077429876121]                   |  0.0001860708901488|      0.00390625|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[1.2037606861694203, -1.1981467479211525, 0.9734077429876121]                   |  0.0001860708901488|      0.00195312|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[1.202198722227688, -1.1986522137095634, 0.974465793197715]                     |  0.0001037885993283|      0.00390625|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[1.202198722227688, -1.1986522137095634, 0.974465793197715]                     |  0.0001037885993283|      0.00195312|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[1.202198722227688, -1.1986522137095634, 0.974465793197715]                     |  0.0001037885993283|      0.00097656|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[1.202198722227688, -1.1986522137095634, 0.974465793197715]                     |  0.0001037885993283|      0.00048828|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
