k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.9190194704777435, -1.3006747002846608, -1.1778413854684209, -0.9787770550153639, -1.1724031384550757, -1.0889298679967068, -0.9589369305219982, -1.2487422604538208, -0.951508648668669, -1.1319744071107505]|  0.8637719601085115|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[0.9190194704777435, -1.3006747002846608, -1.1778413854684209, -0.9787770550153639, -1.1724031384550757, -1.0889298679967068, -0.9589369305219982, -1.2487422604538208, -0.951508648668669, -1.1319744071107505]|  0.8637719601085115|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.9190194704777435, -1.3006747002846608, -1.1778413854684209, -0.9787770550153639, -1.1724031384550757, -1.0889298679967068, -0.9589369305219982, -1.2487422604538208, -0.951508648668669, -1.1319744071107505]|  0.8637719601085115|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.9190194704777435, -1.3006747002846608, -1.1778413854684209, -0.9787770550153639, -1.1724031384550757, -1.0889298679967068, -0.9589369305219982, -1.2487422604538208, -0.951508648668669, -1.1319744071107505]|  0.8637719601085115|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.9040943335639832, -1.2225359309647317, -1.147287371418695, -1.0453462423417947, -1.1733075793442689, -1.134541160599171, -0.9835618961469837, -1.2297374344520264, -0.9811681104650167, -1.1337363656208348]|  0.2411699518019244|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[0.9040943335639832, -1.2225359309647317, -1.147287371418695, -1.0453462423417947, -1.1733075793442689, -1.134541160599171, -0.9835618961469837, -1.2297374344520264, -0.9811681104650167, -1.1337363656208348]|  0.2411699518019244|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.9118561408840468, -1.2325995342833542, -1.110066226949945, -1.0507104515688668, -1.1369802523538808, -1.1683924280664064, -0.9764403522186463, -1.2490053046312468, -1.075762906644975, -1.1807848962065715]|  0.0989482882522557|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[0.9118561408840468, -1.2325995342833542, -1.110066226949945, -1.0507104515688668, -1.1369802523538808, -1.1683924280664064, -0.9764403522186463, -1.2490053046312468, -1.075762906644975, -1.1807848962065715]|  0.0989482882522557|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.9118561408840468, -1.2325995342833542, -1.110066226949945, -1.0507104515688668, -1.1369802523538808, -1.1683924280664064, -0.9764403522186463, -1.2490053046312468, -1.075762906644975, -1.1807848962065715]|  0.0989482882522557|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.9202016716026389, -1.2316714761838596, -1.1014115116156573, -1.1004756983034143, -1.1418508087903347, -1.1602840530239933, -0.9962952173932731, -1.277052376780242, -1.074384411728579, -1.1773157891422303]|  0.0592512077320699|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
