k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00297717779147, 149.94836893290568, -100.05403007425453, 1.0186751158634177, 1.9965771313808298]|84512.4321908216079464|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[49.00297717779147, 149.94836893290568, -100.05403007425453, 1.0186751158634177, 1.9965771313808298]|84512.4321908216079464|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[48.01513632144836, 149.90285264676982, -100.12456230774285, 1.133737740773451, 2.0589029416336126]|81269.4254404528910527|      2.00000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[46.02527539555152, 149.7981924261032, -100.27355559644381, 1.2188953575969215, 2.051909085901928]|74930.7564176673768088|      4.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[46.02527539555152, 149.7981924261032, -100.27355559644381, 1.2188953575969215, 2.051909085901928]|74930.7564176673768088|      2.00000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[46.02527539555152, 149.7981924261032, -100.27355559644381, 1.2188953575969215, 2.051909085901928]|74930.7564176673768088|      1.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[45.02913591059328, 149.73562124943757, -100.33469780236318, 1.225705229062149, 2.0494129561458996]|71857.1903105249512009|      2.00000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[45.02913591059328, 149.73562124943757, -100.33469780236318, 1.225705229062149, 2.0494129561458996]|71857.1903105249512009|      1.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[44.03302016160096, 149.6759777201612, -100.39914138347802, 1.231951506287699, 2.0514310985688335]|68849.6411846861738013|      2.00000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[42.23050344561454, 149.56493522994242, -100.43382581753838, 1.9424072691364827, 1.569090292681118]|63589.3631094352313085|      4.00000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      11|[42.23050344561454, 149.56493522994242, -100.43382581753838, 1.9424072691364827, 1.569090292681118]|63589.3631094352313085|      2.00000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[42.23050344561454, 149.56493522994242, -100.43382581753838, 1.9424072691364827, 1.569090292681118]|63589.3631094352313085|      1.00000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[41.234742386474146, 149.50130416356296, -100.50020003099594, 1.9412465996139705, 1.5711193627045632]|60767.0376905601806357|      2.00000000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[39.24362343151052, 149.42071597070472, -100.62860619431501, 1.8657239940639694, 1.4889059597277736]|55330.3256816809007432|      4.00000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[39.24362343151052, 149.42071597070472, -100.62860619431501, 1.8657239940639694, 1.4889059597277736]|55330.3256816809007432|      2.00000000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[37.254871751599886, 149.28431963916697, -100.79018107684159, 1.8705621511920325, 1.500436179491611]|50147.8628437980951276|      4.00000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[37.254871751599886, 149.28431963916697, -100.79018107684159, 1.8705621511920325, 1.500436179491611]|50147.8628437980951276|      2.00000000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[35.26434986229874, 149.15505065638482, -100.93349435567555, 1.858734788436255, 1.4796141742191844]|45228.9646078554287669|      4.00000000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[35.26434986229874, 149.15505065638482, -100.93349435567555, 1.858734788436255, 1.4796141742191844]|45228.9646078554287669|      2.00000000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[35.26434986229874, 149.15505065638482, -100.93349435567555, 1.858734788436255, 1.4796141742191844]|45228.9646078554287669|      1.00000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[34.26888043165574, 149.0894147365654, -101.0021509642212, 1.8552293190193805, 1.4770606527411405]|42868.2920714547290117|      2.00000000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[34.26888043165574, 149.0894147365654, -101.0021509642212, 1.8552293190193805, 1.4770606527411405]|42868.2920714547290117|      1.00000000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[33.27390634027927, 149.01940141202633, -101.07366873517655, 1.8571956468277975, 1.4746042592313267]|40573.5446771314382204|      2.00000000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      24|[33.27390634027927, 149.01940141202633, -101.07366873517655, 1.8571956468277975, 1.4746042592313267]|40573.5446771314382204|      1.00000000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[32.279147812894074, 148.94742852092966, -101.14625834190161, 1.859670151952024, 1.4745732509283223]|38344.7294072659424273|      2.00000000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
