k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1362331979734839, 0.0318365411316315, 1.1454261366762608, 0.3316668726629139, 0.9779470694180793, 0.2843725212467814]|489.2129516601562500|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[-0.1362331979734839, 0.0318365411316315, 1.1454261366762608, 0.3316668726629139, 0.9779470694180793, 0.2843725212467814]|489.2129516601562500|      1.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[0.6366036114113341, 0.2695671379393736, 1.0787729898089564, -0.0790457737406527, 0.562299838045272, 0.2665599259750843]|442.5501403808593750|      2.00000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       4|[0.6366036114113341, 0.2695671379393736, 1.0787729898089564, -0.0790457737406527, 0.562299838045272, 0.2665599259750843]|442.5501403808593750|      1.00000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[0.6366036114113341, 0.2695671379393736, 1.0787729898089564, -0.0790457737406527, 0.562299838045272, 0.2665599259750843]|442.5501403808593750|      0.50000000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[0.6399975926074578, 0.4696177289598747, 1.1344353918307721, -0.1030419905455481, 1.0124611731135973, 0.2061538591133386]|389.9002422619533377|      1.00000000|[145, 48, 1, 13]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       7|[1.1521491358477485, 0.2941646543492695, 1.913642791490974, 0.1299264031651143, 1.174443540313792, 0.3448632096602848]|239.2446289062500000|      2.00000000|[170, 56, 1, 15]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[1.1521491358477485, 0.2941646543492695, 1.913642791490974, 0.1299264031651143, 1.174443540313792, 0.3448632096602848]|239.2446289062500000|      1.00000000|[194, 64, 1, 17]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[1.1521491358477485, 0.2941646543492695, 1.913642791490974, 0.1299264031651143, 1.174443540313792, 0.3448632096602848]|239.2446289062500000|      0.50000000|[218, 72, 1, 19]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[0.998279283430771, 0.4780706366260428, 1.6493938840983022, 0.2032959557083203, 1.5002921590134908, 0.2394366494732047]|196.2945496226394084|      1.00000000|[242, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      11|[0.998279283430771, 0.4780706366260428, 1.6493938840983022, 0.2032959557083203, 1.5002921590134908, 0.2394366494732047]|196.2945496226394084|      0.50000000|[267, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      12|[0.998279283430771, 0.4780706366260428, 1.6493938840983022, 0.2032959557083203, 1.5002921590134908, 0.2394366494732047]|196.2945496226394084|      0.25000000|[291, 96, 3, 27]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      13|[1.0788825432548312, 0.4338913929287393, 1.8808036400974253, 0.2050178544529115, 1.4781322825631755, 0.2420459982263905]|151.3858489990234375|      0.50000000|[316, 104, 3, 29]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      14|[1.0788825432548312, 0.4338913929287393, 1.8808036400974253, 0.2050178544529115, 1.4781322825631755, 0.2420459982263905]|151.3858489990234375|      0.25000000|[340, 112, 3, 31]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      15|[1.0788825432548312, 0.4338913929287393, 1.8808036400974253, 0.2050178544529115, 1.4781322825631755, 0.2420459982263905]|151.3858489990234375|      0.12500000|[364, 120, 3, 33]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      16|[1.096558304886543, 0.4278549887191485, 1.9787352075922702, 0.2357898904519041, 1.5469291994322893, 0.2396788495743342]|146.7198128681889671|      0.25000000|[388, 128, 4, 36]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      17|[1.096558304886543, 0.4278549887191485, 1.9787352075922702, 0.2357898904519041, 1.5469291994322893, 0.2396788495743342]|146.7198128681889671|      0.12500000|[413, 136, 4, 38]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      18|[1.0088743572029863, 0.4381023085900541, 1.9150963371625576, 0.2905607466421226, 1.5732618702661767, 0.2490786199686265]|144.9323406929588316|      0.25000000|[437, 144, 5, 41]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      19|[1.0088743572029863, 0.4381023085900541, 1.9150963371625576, 0.2905607466421226, 1.5732618702661767, 0.2490786199686265]|144.9323406929588316|      0.12500000|[462, 152, 5, 43]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      20|[1.0339546901596417, 0.409672964846596, 2.02016482353295, 0.3305996012984497, 1.5580717997292521, 0.2853348519822683]|139.0483093261718750|      0.25000000|[486, 160, 5, 45]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      21|[1.0339546901596417, 0.409672964846596, 2.02016482353295, 0.3305996012984497, 1.5580717997292521, 0.2853348519822683]|139.0483093261718750|      0.12500000|[510, 168, 6, 48]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      22|[0.9825360454807723, 0.3762290199598668, 2.025525203401933, 0.4215032155867663, 1.6140481152823842, 0.3062412353107869]|132.3833809378087949|      0.25000000|[535, 176, 7, 51]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      23|[0.9825360454807723, 0.3762290199598668, 2.025525203401933, 0.4215032155867663, 1.6140481152823842, 0.3062412353107869]|132.3833809378087949|      0.12500000|[560, 184, 7, 53]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      24|[0.9331277715082876, 0.3516686876808989, 2.0907407946012655, 0.5047379268878494, 1.651312828991687, 0.3095371650304836]|126.4124145507812500|      0.25000000|[584, 192, 7, 55]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      25|[0.9331277715082876, 0.3516686876808989, 2.0907407946012655, 0.5047379268878494, 1.651312828991687, 0.3095371650304836]|126.4124145507812500|      0.12500000|[608, 200, 7, 57]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      26|[0.9331277715082876, 0.3516686876808989, 2.0907407946012655, 0.5047379268878494, 1.651312828991687, 0.3095371650304836]|126.4124145507812500|      0.06250000|[632, 208, 7, 59]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      27|[0.9007056724841418, 0.3618216959060607, 2.1223345547590253, 0.5455727894297463, 1.643466155888414, 0.3145122992333939]|122.9223251342773438|      0.12500000|[656, 216, 7, 61]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
