k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[20.012785839513686, 2.011122403079337, 1.9779086277158446, 2.011448287913923, 0.69909289960098]|5010.8021961332406136|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       3|[20.012785839513686, 2.011122403079337, 1.9779086277158446, 2.011448287913923, 0.69909289960098]|5010.8021961332406136|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[20.012785839513686, 2.011122403079337, 1.9779086277158446, 2.011448287913923, 0.69909289960098]|5010.8021961332406136|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[20.012785839513686, 2.011122403079337, 1.9779086277158446, 2.011448287913923, 0.69909289960098]|5010.8021961332406136|      0.12500000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[20.015932341073988, 2.0269172443945873, 1.9884027015596148, 2.018619012659239, 0.575788083650647]|4064.6878968389478359|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       7|[20.015932341073988, 2.0269172443945873, 1.9884027015596148, 2.018619012659239, 0.575788083650647]|4064.6878968389478359|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[20.015932341073988, 2.0269172443945873, 1.9884027015596148, 2.018619012659239, 0.575788083650647]|4064.6878968389478359|      0.06250000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[20.02296930402556, 2.0773097724198646, 1.9891579039847083, 2.02418208215621, 0.539929943728045]|3936.8898882864154984|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[20.060294380269657, 2.1631728224785216, 2.0119397205008984, 2.0824620099405093, 0.5941868711353027]|3804.3383169574040039|      0.25000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      11|[20.060294380269657, 2.1631728224785216, 2.0119397205008984, 2.0824620099405093, 0.5941868711353027]|3804.3383169574040039|      0.12500000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[20.060294380269657, 2.1631728224785216, 2.0119397205008984, 2.0824620099405093, 0.5941868711353027]|3804.3383169574040039|      0.06250000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[20.070688779618536, 2.151358474576396, 2.0186408297645464, 2.0746420207975005, 0.5345834270211958]|3696.8025244022164770|      0.12500000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      14|[20.070688779618536, 2.151358474576396, 2.0186408297645464, 2.0746420207975005, 0.5345834270211958]|3696.8025244022164770|      0.06250000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[20.08038811543209, 2.2021383430779222, 2.0263245461743544, 2.082375062634341, 0.5679711254418253]|3610.1293182081653867|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      16|[20.08038811543209, 2.2021383430779222, 2.0263245461743544, 2.082375062634341, 0.5679711254418253]|3610.1293182081653867|      0.06250000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[20.08116384318463, 2.242493332187664, 2.0500128320633704, 2.091316897022385, 0.527523235387787]|3468.1089121270097166|      0.12500000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      18|[20.08116384318463, 2.242493332187664, 2.0500128320633704, 2.091316897022385, 0.527523235387787]|3468.1089121270097166|      0.06250000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[20.093403267290515, 2.280159832578024, 2.0942304341478057, 2.0774902425225563, 0.5413546683267173]|3380.1200379493311630|      0.12500000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[20.093403267290515, 2.280159832578024, 2.0942304341478057, 2.0774902425225563, 0.5413546683267173]|3380.1200379493311630|      0.06250000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[20.093403267290515, 2.280159832578024, 2.0942304341478057, 2.0774902425225563, 0.5413546683267173]|3380.1200379493311630|      0.03125000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[20.097669715147365, 2.3001175063867545, 2.0993705305752703, 2.0794806578562715, 0.5183401330425806]|3335.1748998733637563|      0.06250000|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      23|[20.129440741372623, 2.352722574091279, 2.094997698096224, 2.085743034134633, 0.5267793109560232]|3231.7131551371621754|      0.12500000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      24|[20.129440741372623, 2.352722574091279, 2.094997698096224, 2.085743034134633, 0.5267793109560232]|3231.7131551371621754|      0.06250000|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[20.132804297718593, 2.3892712296684264, 2.13672252665409, 2.1141202382371804, 0.5303716964238704]|3160.3526230279671836|      0.12500000|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
