k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3224529261484266, 0.0861652542473443, -0.030673083087374, 0.1609729552736005, 0.7621552521322501, -0.0197631936737459, 0.4215598220270318, -0.3175060928184436, -0.0441872642505679]|53089.8023475358058931|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[-0.3224529261484266, 0.0861652542473443, -0.030673083087374, 0.1609729552736005, 0.7621552521322501, -0.0197631936737459, 0.4215598220270318, -0.3175060928184436, -0.0441872642505679]|53089.8023475358058931|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[-0.3224529261484266, 0.0861652542473443, -0.030673083087374, 0.1609729552736005, 0.7621552521322501, -0.0197631936737459, 0.4215598220270318, -0.3175060928184436, -0.0441872642505679]|53089.8023475358058931|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[-0.3224529261484266, 0.0861652542473443, -0.030673083087374, 0.1609729552736005, 0.7621552521322501, -0.0197631936737459, 0.4215598220270318, -0.3175060928184436, -0.0441872642505679]|53089.8023475358058931|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[-0.2782285099918805, 0.0373704034664508, 0.0182892039342288, -0.0274289457286713, 0.8427619415624079, -0.0034693141280236, 0.3781131846100652, -0.2227853737024899, 0.0072726995757132]|3756.6841547722560790|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[-0.2782285099918805, 0.0373704034664508, 0.0182892039342288, -0.0274289457286713, 0.8427619415624079, -0.0034693141280236, 0.3781131846100652, -0.2227853737024899, 0.0072726995757132]|3756.6841547722560790|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[-0.2782285099918805, 0.0373704034664508, 0.0182892039342288, -0.0274289457286713, 0.8427619415624079, -0.0034693141280236, 0.3781131846100652, -0.2227853737024899, 0.0072726995757132]|3756.6841547722560790|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[-0.2782285099918805, 0.0373704034664508, 0.0182892039342288, -0.0274289457286713, 0.8427619415624079, -0.0034693141280236, 0.3781131846100652, -0.2227853737024899, 0.0072726995757132]|3756.6841547722560790|      0.06250000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[-0.2745618963905595, 0.0475635953659343, 0.0039103612668687, 0.0278123931555538, 0.8413080447662722, -0.0170942876681082, 0.382895002694898, -0.2391668715834379, 0.0144542849537933]|1770.7133717482233806|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[-0.2745618963905595, 0.0475635953659343, 0.0039103612668687, 0.0278123931555538, 0.8413080447662722, -0.0170942876681082, 0.382895002694898, -0.2391668715834379, 0.0144542849537933]|1770.7133717482233806|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[-0.2619501107748493, 0.0448410323799335, -0.0017223308925371, 0.022345340289557, 0.8658263470626479, 0.0317324073394847, 0.3816538249508641, -0.2164042347835765, 0.0276183716001479]|1208.0954525431118327|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
