k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[1.35341529763944, 0.5028624770411256, 0.7158354330515672, 0.7595628731359599, 0.5704938054799595, 3.099559419008204, 4.981401247514896, 6.883520001678711, 2.016810447124067, 4.554289328792473, 5.546788843005949]|  2.2571607775566922|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[1.35341529763944, 0.5028624770411256, 0.7158354330515672, 0.7595628731359599, 0.5704938054799595, 3.099559419008204, 4.981401247514896, 6.883520001678711, 2.016810447124067, 4.554289328792473, 5.546788843005949]|  2.2571607775566922|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[1.344487038069033, 0.390089620454462, 0.7282862077474971, 0.7520656625510468, 0.5265784920094794, 3.135111488784158, 4.9853136399239375, 6.877504944535854, 2.180063628379582, 4.578646132127671, 5.684638369059286]|  1.2751590497785141|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[1.344487038069033, 0.390089620454462, 0.7282862077474971, 0.7520656625510468, 0.5265784920094794, 3.135111488784158, 4.9853136399239375, 6.877504944535854, 2.180063628379582, 4.578646132127671, 5.684638369059286]|  1.2751590497785141|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[1.268042511218416, 0.3072072697623445, 0.6690695090155133, 0.7609408781950777, 0.3510267087206771, 3.158092532197676, 4.966915909504695, 6.864478427788532, 2.2669101589241625, 4.644750221299633, 5.733979724215038]|  1.0289268515553678|      0.50000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[1.268042511218416, 0.3072072697623445, 0.6690695090155133, 0.7609408781950777, 0.3510267087206771, 3.158092532197676, 4.966915909504695, 6.864478427788532, 2.2669101589241625, 4.644750221299633, 5.733979724215038]|  1.0289268515553678|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[1.268042511218416, 0.3072072697623445, 0.6690695090155133, 0.7609408781950777, 0.3510267087206771, 3.158092532197676, 4.966915909504695, 6.864478427788532, 2.2669101589241625, 4.644750221299633, 5.733979724215038]|  1.0289268515553678|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[1.2209562315851177, 0.3084477872278694, 0.6435617391818006, 0.7547873284280919, 0.4397981878647702, 3.135637012903963, 4.954040406361462, 6.887617602530362, 2.2472680801780087, 4.675753747605292, 5.781781137835636]|  0.7745593911745381|      0.25000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      11|[1.2209562315851177, 0.3084477872278694, 0.6435617391818006, 0.7547873284280919, 0.4397981878647702, 3.135637012903963, 4.954040406361462, 6.887617602530362, 2.2472680801780087, 4.675753747605292, 5.781781137835636]|  0.7745593911745381|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
