k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0196366074422285, 0.1805989620471102, -0.3577395707303013, 0.0055116382407742, 0.8199981796392513, 0.2837652177858887, -0.1794280901440723, 0.0660145670913456, -0.2225272205720072]|161764.6957818090450019|      2.00000000|[49, 6, 1, 5]                                                              |  | used quadratic model with 55 points | iterate success | actual_k=2
       2|[0.0196366074422285, 0.1805989620471102, -0.3577395707303013, 0.0055116382407742, 0.8199981796392513, 0.2837652177858887, -0.1794280901440723, 0.0660145670913456, -0.2225272205720072]|161764.6957818090450019|      1.00000000|[98, 12, 2, 10]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=2
       3|[0.0196366074422285, 0.1805989620471102, -0.3577395707303013, 0.0055116382407742, 0.8199981796392513, 0.2837652177858887, -0.1794280901440723, 0.0660145670913456, -0.2225272205720072]|161764.6957818090450019|      0.50000000|[146, 19, 3, 15]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
       4|[-0.0799487689724863, 0.1850022603863367, -0.1922058938580178, -0.1915595548365082, 1.0436378365040957, -0.0466645675307651, -0.2504327150063811, 0.1639072686438588, -0.2212105838748878]|41666.8356734088883968|      1.00000000|[194, 26, 4, 20]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=2
       5|[-0.0799487689724863, 0.1850022603863367, -0.1922058938580178, -0.1915595548365082, 1.0436378365040957, -0.0466645675307651, -0.2504327150063811, 0.1639072686438588, -0.2212105838748878]|41666.8356734088883968|      0.50000000|[243, 32, 5, 25]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
       6|[-0.0799487689724863, 0.1850022603863367, -0.1922058938580178, -0.1915595548365082, 1.0436378365040957, -0.0466645675307651, -0.2504327150063811, 0.1639072686438588, -0.2212105838748878]|41666.8356734088883968|      0.25000000|[292, 38, 6, 30]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
       7|[-0.0465821193161968, 0.1873632543125873, -0.1546460850192488, -0.0131189800530744, 1.0897355551764412, 0.1066499371724592, -0.2817204637675573, 0.1437955770750004, -0.2546107942013874]|18905.1758897386753233|      0.50000000|[341, 44, 7, 35]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=2
       8|[-0.0465821193161968, 0.1873632543125873, -0.1546460850192488, -0.0131189800530744, 1.0897355551764412, 0.1066499371724592, -0.2817204637675573, 0.1437955770750004, -0.2546107942013874]|18905.1758897386753233|      0.25000000|[389, 51, 8, 40]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
       9|[-0.0465821193161968, 0.1873632543125873, -0.1546460850192488, -0.0131189800530744, 1.0897355551764412, 0.1066499371724592, -0.2817204637675573, 0.1437955770750004, -0.2546107942013874]|18905.1758897386753233|      0.12500000|[437, 58, 9, 45]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
      10|[-0.0535322357129369, 0.1919711580946792, -0.1545049272706031, -0.0590001063377316, 1.0895463122319031, -0.0045900962990745, -0.3134467349323808, 0.1403307682776994, -0.2470329720549974]|1506.8330303767754685|      0.25000000|[484, 66, 10, 50]                                                          |  | used quadratic model with 55 points | iterate success | actual_k=2
      11|[-0.0535322357129369, 0.1919711580946792, -0.1545049272706031, -0.0590001063377316, 1.0895463122319031, -0.0045900962990745, -0.3134467349323808, 0.1403307682776994, -0.2470329720549974]|1506.8330303767754685|      0.12500000|[533, 72, 11, 55]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=2
      12|[-0.0535322357129369, 0.1919711580946792, -0.1545049272706031, -0.0590001063377316, 1.0895463122319031, -0.0045900962990745, -0.3134467349323808, 0.1403307682776994, -0.2470329720549974]|1506.8330303767754685|      0.06250000|[580, 80, 12, 60]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=2
      13|[-0.0535322357129369, 0.1919711580946792, -0.1545049272706031, -0.0590001063377316, 1.0895463122319031, -0.0045900962990745, -0.3134467349323808, 0.1403307682776994, -0.2470329720549974]|1506.8330303767754685|      0.03125000|[628, 87, 13, 65]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=2
      14|[-0.051672351662174, 0.1916036573346883, -0.1549613160041604, -0.0283500468588891, 1.0896102518706596, 0.0005716585403591, -0.3139486180224809, 0.1392354608194636, -0.2447450797034195]|251.1919193292481225|      0.06250000|[677, 93, 14, 70]                                                          |  | used quadratic model with 55 points | iterate success | actual_k=2
      15|[-0.051672351662174, 0.1916036573346883, -0.1549613160041604, -0.0283500468588891, 1.0896102518706596, 0.0005716585403591, -0.3139486180224809, 0.1392354608194636, -0.2447450797034195]|251.1919193292481225|      0.03125000|[726, 99, 15, 75]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=2
      16|[-0.051672351662174, 0.1916036573346883, -0.1549613160041604, -0.0283500468588891, 1.0896102518706596, 0.0005716585403591, -0.3139486180224809, 0.1392354608194636, -0.2447450797034195]|251.1919193292481225|      0.01562500|[775, 105, 16, 80]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=2
      17|[-0.0519907940244741, 0.1924010136195827, -0.1539610600357966, -0.0182918440151952, 1.090754373412519, -0.0108350682038938, -0.3148647864944585, 0.1376487787759952, -0.2422041876803337]| 57.0974496699915335|      0.03125000|[823, 112, 17, 85]                                                         |  | used quadratic model with 55 points | iterate success | actual_k=2
      18|[-0.0519907940244741, 0.1924010136195827, -0.1539610600357966, -0.0182918440151952, 1.090754373412519, -0.0108350682038938, -0.3148647864944585, 0.1376487787759952, -0.2422041876803337]| 57.0974496699915335|      0.01562500|[871, 119, 18, 90]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=2
