k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |772166.1146731314947829|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.830530805797113, 0.8549511691157053, 1.1777901182825472, 1.1218654680454039, 0.896196425738885, 0.7684167015184036, 0.5360672090484206, 0.2099741335061521]|89693.8465429469069932|      2.00000000|[25, 8, 1, 3]                                                              |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       2|[0.830530805797113, 0.8549511691157053, 1.1777901182825472, 1.1218654680454039, 0.896196425738885, 0.7684167015184036, 0.5360672090484206, 0.2099741335061521]|89693.8465429469069932|      1.00000000|[50, 16, 1, 5]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[0.830530805797113, 0.8549511691157053, 1.1777901182825472, 1.1218654680454039, 0.896196425738885, 0.7684167015184036, 0.5360672090484206, 0.2099741335061521]|89693.8465429469069932|      0.50000000|[74, 24, 1, 7]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      1.00000000|[98, 32, 1, 9]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       5|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.50000000|[122, 40, 2, 12]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.25000000|[147, 48, 2, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.12500000|[171, 56, 2, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.06250000|[195, 64, 2, 18]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.03125000|[219, 72, 3, 21]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.01562500|[244, 80, 3, 23]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.03125000|[268, 88, 3, 25]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      12|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.01562500|[292, 96, 3, 27]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      13|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00781250|[316, 104, 4, 30]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      14|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00390625|[341, 112, 4, 32]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      15|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00195312|[365, 120, 4, 34]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      16|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00097656|[389, 128, 4, 36]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      17|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00048828|[413, 136, 4, 38]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      18|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00024414|[437, 144, 4, 40]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
