k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[1.0629137652937741, -1.0563067173038934, -1.3706151241270377, -0.9469554203988247, -1.1073458166207264, -1.1552114187198455, -1.0000366451377727, -1.0620238658786894, -1.220478312622696, -1.1209576686320533]|  0.9016068220209593|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[1.0629137652937741, -1.0563067173038934, -1.3706151241270377, -0.9469554203988247, -1.1073458166207264, -1.1552114187198455, -1.0000366451377727, -1.0620238658786894, -1.220478312622696, -1.1209576686320533]|  0.9016068220209593|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[1.0629137652937741, -1.0563067173038934, -1.3706151241270377, -0.9469554203988247, -1.1073458166207264, -1.1552114187198455, -1.0000366451377727, -1.0620238658786894, -1.220478312622696, -1.1209576686320533]|  0.9016068220209593|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[1.0629137652937741, -1.0563067173038934, -1.3706151241270377, -0.9469554203988247, -1.1073458166207264, -1.1552114187198455, -1.0000366451377727, -1.0620238658786894, -1.220478312622696, -1.1209576686320533]|  0.9016068220209593|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[1.1502522105547581, -1.0362932950077293, -1.3607891603123003, -0.9752734415661807, -1.125244695034532, -1.1578510435880174, -1.0111471782746837, -1.1163642682973922, -1.2173791215535126, -1.178270261356977]|  0.3465587585912031|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[1.1502522105547581, -1.0362932950077293, -1.3607891603123003, -0.9752734415661807, -1.125244695034532, -1.1578510435880174, -1.0111471782746837, -1.1163642682973922, -1.2173791215535126, -1.178270261356977]|  0.3465587585912031|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[1.129647351603505, -1.0167019757879734, -1.2982482549310472, -0.9887096977353106, -1.2032355117951796, -1.171964565211168, -1.0531534663081707, -1.1268391637480115, -1.1677863718153747, -1.1887235233280526]|  0.0858059228825017|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[1.129647351603505, -1.0167019757879734, -1.2982482549310472, -0.9887096977353106, -1.2032355117951796, -1.171964565211168, -1.0531534663081707, -1.1268391637480115, -1.1677863718153747, -1.1887235233280526]|  0.0858059228825017|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[1.129647351603505, -1.0167019757879734, -1.2982482549310472, -0.9887096977353106, -1.2032355117951796, -1.171964565211168, -1.0531534663081707, -1.1268391637480115, -1.1677863718153747, -1.1887235233280526]|  0.0858059228825017|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[1.1553396956926492, -1.0346738564610862, -1.272019117765669, -0.9795014623299572, -1.2019532593550366, -1.1536249463807557, -1.056299042561826, -1.137072050167313, -1.127069181634459, -1.195042047184458]|  0.0329267758435262|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[1.1553396956926492, -1.0346738564610862, -1.272019117765669, -0.9795014623299572, -1.2019532593550366, -1.1536249463807557, -1.056299042561826, -1.137072050167313, -1.127069181634459, -1.195042047184458]|  0.0329267758435262|      0.06250000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[1.1553396956926492, -1.0346738564610862, -1.272019117765669, -0.9795014623299572, -1.2019532593550366, -1.1536249463807557, -1.056299042561826, -1.137072050167313, -1.127069181634459, -1.195042047184458]|  0.0329267758435262|      0.03125000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[1.1620871500793923, -1.0468868900698105, -1.2728170616166241, -0.9772193804756295, -1.1984471015687297, -1.154606401180436, -1.0827078253503746, -1.1449229583981126, -1.1257997793167183, -1.1935918021085845]|  0.0225736477169813|      0.06250000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[1.1620871500793923, -1.0468868900698105, -1.2728170616166241, -0.9772193804756295, -1.1984471015687297, -1.154606401180436, -1.0827078253503746, -1.1449229583981126, -1.1257997793167183, -1.1935918021085845]|  0.0225736477169813|      0.03125000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[1.1636091899749077, -1.0372455520777855, -1.2657491924499062, -1.000256633804961, -1.191624394355102, -1.146532087682771, -1.093027339972394, -1.1404501368935973, -1.1179237870924115, -1.1930027004040995]|  0.0134022653146198|      0.06250000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[1.1636091899749077, -1.0372455520777855, -1.2657491924499062, -1.000256633804961, -1.191624394355102, -1.146532087682771, -1.093027339972394, -1.1404501368935973, -1.1179237870924115, -1.1930027004040995]|  0.0134022653146198|      0.03125000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[1.1825520597340593, -1.0498247227491528, -1.2594134020818517, -1.014259643586661, -1.2035568162872867, -1.1438191163502445, -1.0990818828849427, -1.1439760931915108, -1.1130651453322282, -1.1939131749544445]|  0.0076912250521940|      0.06250000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[1.1825520597340593, -1.0498247227491528, -1.2594134020818517, -1.014259643586661, -1.2035568162872867, -1.1438191163502445, -1.0990818828849427, -1.1439760931915108, -1.1130651453322282, -1.1939131749544445]|  0.0076912250521940|      0.03125000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[1.1825520597340593, -1.0498247227491528, -1.2594134020818517, -1.014259643586661, -1.2035568162872867, -1.1438191163502445, -1.0990818828849427, -1.1439760931915108, -1.1130651453322282, -1.1939131749544445]|  0.0076912250521940|      0.01562500|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[1.18435568596756, -1.0526853513981407, -1.2572647848768448, -1.017150829187475, -1.1959443019576148, -1.132170388787968, -1.1018187256517507, -1.1474268027650687, -1.111205051953686, -1.1921165195721732]|  0.0045737437095476|      0.03125000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[1.18435568596756, -1.0526853513981407, -1.2572647848768448, -1.017150829187475, -1.1959443019576148, -1.132170388787968, -1.1018187256517507, -1.1474268027650687, -1.111205051953686, -1.1921165195721732]|  0.0045737437095476|      0.01562500|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[1.1841513340966034, -1.04355253799628, -1.2525127363491357, -1.0185671811626649, -1.1946719705933304, -1.1264465543137452, -1.1061263080792838, -1.148766533590931, -1.105612169848382, -1.18503902121019]|  0.0035534014323026|      0.03125000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      24|[1.1841513340966034, -1.04355253799628, -1.2525127363491357, -1.0185671811626649, -1.1946719705933304, -1.1264465543137452, -1.1061263080792838, -1.148766533590931, -1.105612169848382, -1.18503902121019]|  0.0035534014323026|      0.01562500|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      25|[1.1913101407379092, -1.0528139532648593, -1.247934690922331, -1.0259094224321994, -1.194816072061634, -1.127958194859013, -1.1103424563532853, -1.1465983796377195, -1.1060016828959376, -1.1823340346507578]|  0.0025471574133888|      0.03125000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      26|[1.1913101407379092, -1.0528139532648593, -1.247934690922331, -1.0259094224321994, -1.194816072061634, -1.127958194859013, -1.1103424563532853, -1.1465983796377195, -1.1060016828959376, -1.1823340346507578]|  0.0025471574133888|      0.01562500|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      27|[1.1957000861643041, -1.0515749606723344, -1.2420025053418047, -1.0379599863992297, -1.1984991749090568, -1.123893092270083, -1.1110696676880356, -1.1479899719260285, -1.1063873917071954, -1.1855313055919008]|  0.0018347284252648|      0.03125000|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      28|[1.1957000861643041, -1.0515749606723344, -1.2420025053418047, -1.0379599863992297, -1.1984991749090568, -1.123893092270083, -1.1110696676880356, -1.1479899719260285, -1.1063873917071954, -1.1855313055919008]|  0.0018347284252648|      0.01562500|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      29|[1.1980982524552601, -1.0480789123351981, -1.238125926575891, -1.0451826131807347, -1.1939011359194234, -1.1147612372925155, -1.1142908223220416, -1.1478318051718412, -1.1047977924010481, -1.1790882899021666]|  0.0012270502739360|      0.03125000|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      30|[1.1980982524552601, -1.0480789123351981, -1.238125926575891, -1.0451826131807347, -1.1939011359194234, -1.1147612372925155, -1.1142908223220416, -1.1478318051718412, -1.1047977924010481, -1.1790882899021666]|  0.0012270502739360|      0.01562500|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      31|[1.1995543145701724, -1.0499152579622786, -1.2288111667596067, -1.0508901802530362, -1.1932603703599565, -1.1230235381515876, -1.1191244416680535, -1.148347958615247, -1.1043913513048083, -1.1739079820132934]|  0.0009308535431649|      0.03125000|[527, 0, 31, 62]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      32|[1.1995543145701724, -1.0499152579622786, -1.2288111667596067, -1.0508901802530362, -1.1932603703599565, -1.1230235381515876, -1.1191244416680535, -1.148347958615247, -1.1043913513048083, -1.1739079820132934]|  0.0009308535431649|      0.01562500|[544, 0, 32, 64]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      33|[1.1995543145701724, -1.0499152579622786, -1.2288111667596067, -1.0508901802530362, -1.1932603703599565, -1.1230235381515876, -1.1191244416680535, -1.148347958615247, -1.1043913513048083, -1.1739079820132934]|  0.0009308535431649|      0.00781250|[561, 0, 33, 66]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      34|[1.1993876347015235, -1.0508332115829382, -1.227335878371098, -1.050961966823528, -1.1873234120302651, -1.1190050628109014, -1.1216451125032472, -1.1479994495151515, -1.1045711921394417, -1.1741906567919538]|  0.0006359905876525|      0.01562500|[578, 0, 34, 68]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      35|[1.2086586479066022, -1.0514181100720836, -1.226375139985677, -1.0605294259116202, -1.1888173098575174, -1.1204314505966355, -1.1286460592256486, -1.1473971962322391, -1.1015250907395493, -1.172620137558566]|  0.0004966087539946|      0.03125000|[595, 0, 35, 70]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      36|[1.2086586479066022, -1.0514181100720836, -1.226375139985677, -1.0605294259116202, -1.1888173098575174, -1.1204314505966355, -1.1286460592256486, -1.1473971962322391, -1.1015250907395493, -1.172620137558566]|  0.0004966087539946|      0.01562500|[612, 0, 36, 72]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      37|[1.2122124050586485, -1.0585243669425055, -1.2247037585822704, -1.0626335130397668, -1.1847673170512807, -1.1090950031241724, -1.129637239129817, -1.1473266005872447, -1.1066970571213894, -1.1715535029779864]|  0.0003855362782419|      0.03125000|[629, 0, 37, 74]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      38|[1.2122124050586485, -1.0585243669425055, -1.2247037585822704, -1.0626335130397668, -1.1847673170512807, -1.1090950031241724, -1.129637239129817, -1.1473266005872447, -1.1066970571213894, -1.1715535029779864]|  0.0003855362782419|      0.01562500|[646, 0, 38, 76]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      39|[1.2122124050586485, -1.0585243669425055, -1.2247037585822704, -1.0626335130397668, -1.1847673170512807, -1.1090950031241724, -1.129637239129817, -1.1473266005872447, -1.1066970571213894, -1.1715535029779864]|  0.0003855362782419|      0.00781250|[663, 0, 39, 78]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      40|[1.2118128124589354, -1.0568099866594567, -1.2217735353056085, -1.062745974274858, -1.1826516900467046, -1.1125200553443464, -1.1333754825417652, -1.1437054983119836, -1.1079112261960502, -1.1694158374525334]|  0.0002583309914075|      0.01562500|[680, 0, 40, 80]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      41|[1.2118128124589354, -1.0568099866594567, -1.2217735353056085, -1.062745974274858, -1.1826516900467046, -1.1125200553443464, -1.1333754825417652, -1.1437054983119836, -1.1079112261960502, -1.1694158374525334]|  0.0002583309914075|      0.00781250|[697, 0, 41, 82]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      42|[1.2132264297469877, -1.0583363009604891, -1.2183205838756317, -1.0645289610578748, -1.179361734715301, -1.1107893927139965, -1.1375042415634713, -1.1450124115657325, -1.1108860210410458, -1.1698427036101449]|  0.0001916139410515|      0.01562500|[714, 0, 42, 84]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
