k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 5.0, 1.0]                                                                 |634.1111111111110858|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9459316690503439, 4.0051360108071625, 1.0855701968890576]                    |266.9226074218750000|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.6330487264382083, 2.1598866983142324, 1.4361769911629423]                    | 36.5786094665527344|      4.00000000|[13, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[5.5238094746129764, -0.603538211557002, 1.5197536883650367]                    |  0.4685783982276917|      8.00000000|[19, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[5.5238094746129764, -0.603538211557002, 1.5197536883650367]                    |  0.4685783982276917|      4.00000000|[25, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[5.5238094746129764, -0.603538211557002, 1.5197536883650367]                    |  0.4685783982276917|      2.00000000|[31, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[5.5238094746129764, -0.603538211557002, 1.5197536883650367]                    |  0.4685783982276917|      1.00000000|[37, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[5.5238094746129764, -0.603538211557002, 1.5197536883650367]                    |  0.4685783982276917|      0.50000000|[43, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[5.182373772244272, -0.6787763480963724, 1.1623171430061816]                    |  0.2848654389381409|      1.00000000|[49, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[5.182373772244272, -0.6787763480963724, 1.1623171430061816]                    |  0.2848654389381409|      0.50000000|[55, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[4.871376119256787, -0.2883428651474096, 1.1913370539057329]                    |  0.0767676755785942|      1.00000000|[61, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[4.871376119256787, -0.2883428651474096, 1.1913370539057329]                    |  0.0767676755785942|      0.50000000|[67, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[4.871376119256787, -0.2883428651474096, 1.1913370539057329]                    |  0.0767676755785942|      0.25000000|[73, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[4.871376119256787, -0.2883428651474096, 1.1913370539057329]                    |  0.0767676755785942|      0.12500000|[79, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[4.989552684549974, -0.3016950196468178, 1.1528530392278287]                    |  0.0558651313185692|      0.25000000|[85, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[4.989552684549974, -0.3016950196468178, 1.1528530392278287]                    |  0.0558651313185692|      0.12500000|[91, 30, 1, 31]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
