k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 |  6.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5199166340216965, 0.1922072172440971, 1.2777724136681394]                    |  1.4135571718215942|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[1.5199166340216965, 0.1922072172440971, 1.2777724136681394]                    |  1.4135571718215942|      1.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1.5199166340216965, 0.1922072172440971, 1.2777724136681394]                    |  1.4135571718215942|      0.50000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[1.5199166340216965, 0.1922072172440971, 1.2777724136681394]                    |  1.4135571718215942|      0.25000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.7611811596548888, 0.2413574448733643, 1.3210815789219503]                    |  0.9560528993606567|      0.50000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[1.7611811596548888, 0.2413574448733643, 1.3210815789219503]                    |  0.9560528993606567|      0.25000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1.7611811596548888, 0.2413574448733643, 1.3210815789219503]                    |  0.9560528993606567|      0.12500000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1.803085818268148, 0.2527538095862591, 1.2038675760987514]                     |  0.8073028922080994|      0.25000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[1.803085818268148, 0.2527538095862591, 1.2038675760987514]                     |  0.8073028922080994|      0.12500000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1.803085818268148, 0.2527538095862591, 1.2038675760987514]                     |  0.8073028922080994|      0.06250000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[1.8121885797575443, 0.2122485252052333, 1.1571480762033182]                    |  0.7426182031631470|      0.12500000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[1.914456355703378, 0.1414908902597904, 1.1445124480028608]                     |  0.6970414519309998|      0.25000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[1.914456355703378, 0.1414908902597904, 1.1445124480028608]                     |  0.6970414519309998|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[1.9269463560884896, 0.1270283794529209, 1.0209817405996362]                    |  0.5596410632133484|      0.25000000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[1.9269463560884896, 0.1270283794529209, 1.0209817405996362]                    |  0.5596410632133484|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
