k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1602125842299361, 0.040299890283379, -0.4157046728973621, -0.3433635255390404, 0.7512186051903106, -0.0099400961997023, 0.0336815302825165, 0.2633412124661648, 0.2169970575753368]|239323.0777151221118402|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[-0.1602125842299361, 0.040299890283379, -0.4157046728973621, -0.3433635255390404, 0.7512186051903106, -0.0099400961997023, 0.0336815302825165, 0.2633412124661648, 0.2169970575753368]|239323.0777151221118402|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[-0.1602125842299361, 0.040299890283379, -0.4157046728973621, -0.3433635255390404, 0.7512186051903106, -0.0099400961997023, 0.0336815302825165, 0.2633412124661648, 0.2169970575753368]|239323.0777151221118402|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[-0.0683845651708899, 0.0809539889920491, -0.2727057242256491, 0.0229194749876102, 0.9455469030416814, 0.1881726990392105, -0.0475601533158689, 0.2236169664020503, 0.2063890645791765]|26586.3351916267201887|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[-0.0683845651708899, 0.0809539889920491, -0.2727057242256491, 0.0229194749876102, 0.9455469030416814, 0.1881726990392105, -0.0475601533158689, 0.2236169664020503, 0.2063890645791765]|26586.3351916267201887|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[-0.0683845651708899, 0.0809539889920491, -0.2727057242256491, 0.0229194749876102, 0.9455469030416814, 0.1881726990392105, -0.0475601533158689, 0.2236169664020503, 0.2063890645791765]|26586.3351916267201887|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[-0.0724446519338644, 0.0172788812498416, -0.3241786831278024, -0.129468853661726, 1.0396142534579753, 0.0626632662580249, 0.0019570110644013, 0.2274485654789997, 0.132298489661252]|16656.5328261479116918|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[-0.0724446519338644, 0.0172788812498416, -0.3241786831278024, -0.129468853661726, 1.0396142534579753, 0.0626632662580249, 0.0019570110644013, 0.2274485654789997, 0.132298489661252]|16656.5328261479116918|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[-0.0009541256640557, 0.1049904353536924, -0.2635734807699838, 0.0688416936061839, 1.0303393487502626, 0.0590637946413004, 0.0263612124287839, 0.1644099409763725, 0.087272819836699]|8034.3438027878255525|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[-0.0009541256640557, 0.1049904353536924, -0.2635734807699838, 0.0688416936061839, 1.0303393487502626, 0.0590637946413004, 0.0263612124287839, 0.1644099409763725, 0.087272819836699]|8034.3438027878255525|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[-0.0009541256640557, 0.1049904353536924, -0.2635734807699838, 0.0688416936061839, 1.0303393487502626, 0.0590637946413004, 0.0263612124287839, 0.1644099409763725, 0.087272819836699]|8034.3438027878255525|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
