k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.48646223802269, 149.466325462222, -100.51935717628582, 1.4157693156122548, 2.0942043225467293]|85925.6093750000000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[47.56774154106175, 149.91250163151145, -100.41140312852264, 1.2807416804609553, 2.3934553448154667]|79778.7734375000000000|      4.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[47.56774154106175, 149.91250163151145, -100.41140312852264, 1.2807416804609553, 2.3934553448154667]|79778.7734375000000000|      2.00000000|[19, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[45.773662562546164, 150.02642022051486, -100.79806173989437, 0.710653995003682, 1.851423682391595]|74109.1953125000000000|      4.00000000|[23, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[45.773662562546164, 150.02642022051486, -100.79806173989437, 0.710653995003682, 1.851423682391595]|74109.1953125000000000|      2.00000000|[31, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[45.773662562546164, 150.02642022051486, -100.79806173989437, 0.710653995003682, 1.851423682391595]|74109.1953125000000000|      1.00000000|[40, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[45.04417236533923, 150.1809711420438, -101.04658184134671, 1.3279815638610337, 1.884627548677522]|71852.8828125000000000|      2.00000000|[49, 23, 0, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | iterate success | actual_k=1
       8|[43.071672421082724, 150.1657856323642, -101.05109105801182, 1.0648975332017194, 1.685178733236168]|66002.1640625000000000|      4.00000000|[54, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[43.071672421082724, 150.1657856323642, -101.05109105801182, 1.0648975332017194, 1.685178733236168]|66002.1640625000000000|      2.00000000|[62, 29, 0, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[41.290895373145695, 150.02927325569988, -100.89401406582937, 1.9506561255817711, 1.6542593039083904]|60947.1445312500000000|      4.00000000|[67, 31, 0, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
