k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |2648.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.5282826426933878, 2.4938710001972395, 2.5133144051948717, 2.462079220494174] |2173.9416222040963476|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[2.5282826426933878, 2.4938710001972395, 2.5133144051948717, 2.462079220494174] |2173.9416222040963476|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[2.5282826426933878, 2.4938710001972395, 2.5133144051948717, 2.462079220494174] |2173.9416222040963476|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[2.27239101534272, 2.241934308154448, 2.2584792055989196, 2.225211326297317]    |141.4949775188831325|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[2.27239101534272, 2.241934308154448, 2.2584792055989196, 2.225211326297317]    |141.4949775188831325|      0.50000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[2.27239101534272, 2.241934308154448, 2.2584792055989196, 2.225211326297317]    |141.4949775188831325|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[2.27239101534272, 2.241934308154448, 2.2584792055989196, 2.225211326297317]    |141.4949775188831325|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[2.3368254795776586, 2.3038486373275684, 2.321723789034264, 2.2855432277084993] | 42.7382994670901368|      0.25000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[2.3368254795776586, 2.3038486373275684, 2.321723789034264, 2.2855432277084993] | 42.7382994670901368|      0.12500000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[2.3368254795776586, 2.3038486373275684, 2.321723789034264, 2.2855432277084993] | 42.7382994670901368|      0.06250000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[2.3368254795776586, 2.3038486373275684, 2.321723789034264, 2.2855432277084993] | 42.7382994670901368|      0.03125000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[2.3208661996279116, 2.2883365941459712, 2.3059698423745814, 2.2702771357245717]| 38.1839426212332427|      0.06250000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[2.3208661996279116, 2.2883365941459712, 2.3059698423745814, 2.2702771357245717]| 38.1839426212332427|      0.03125000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[2.3208661996279116, 2.2883365941459712, 2.3059698423745814, 2.2702771357245717]| 38.1839426212332427|      0.01562500|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
