k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.73576707538054, 3.0344496330762363, 0.8630663294790407, 40.08537672398279, -0.4815984624905914, -1.472368799334752, 25.731859780756647, -0.0453034500659899, 1.0653531205576412]|963.1843872070312500|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[10.73576707538054, 3.0344496330762363, 0.8630663294790407, 40.08537672398279, -0.4815984624905914, -1.472368799334752, 25.731859780756647, -0.0453034500659899, 1.0653531205576412]|963.1843872070312500|      1.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[10.765416237129429, 2.9499502525881467, 0.6757500679318112, 40.115207256159366, -0.2319110868780692, -1.4036941027802123, 26.161726678738223, -0.596974804610327, 1.6976637297700266]|885.7240600585937500|      2.00000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       4|[10.765416237129429, 2.9499502525881467, 0.6757500679318112, 40.115207256159366, -0.2319110868780692, -1.4036941027802123, 26.161726678738223, -0.596974804610327, 1.6976637297700266]|885.7240600585937500|      1.00000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[10.765416237129429, 2.9499502525881467, 0.6757500679318112, 40.115207256159366, -0.2319110868780692, -1.4036941027802123, 26.161726678738223, -0.596974804610327, 1.6976637297700266]|885.7240600585937500|      0.50000000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[10.833198038645719, 2.8894081327836405, 0.3850679118857998, 40.19211954297525, -0.2457089102003634, -1.3368640450333478, 26.39632236438005, -0.6514301471056877, 1.399886116758155]|866.8458251953125000|      1.00000000|[145, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[10.833198038645719, 2.8894081327836405, 0.3850679118857998, 40.19211954297525, -0.2457089102003634, -1.3368640450333478, 26.39632236438005, -0.6514301471056877, 1.399886116758155]|866.8458251953125000|      0.50000000|[169, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[10.833198038645719, 2.8894081327836405, 0.3850679118857998, 40.19211954297525, -0.2457089102003634, -1.3368640450333478, 26.39632236438005, -0.6514301471056877, 1.399886116758155]|866.8458251953125000|      0.25000000|[193, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[10.656938423042105, 2.8884107371027543, 0.4464450419041929, 40.24426932370453, -0.3342437759925241, -1.4497242930514003, 26.45990064696595, -0.6553409575186858, 1.382238145443465]|858.1909271336209031|      0.50000000|[217, 72, 1, 19]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      10|[10.656938423042105, 2.8884107371027543, 0.4464450419041929, 40.24426932370453, -0.3342437759925241, -1.4497242930514003, 26.45990064696595, -0.6553409575186858, 1.382238145443465]|858.1909271336209031|      0.25000000|[242, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
