k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0588535350775346, -0.0724552811336907, 0.0515715475726911, 0.1157423777137987, 0.073455930146619, 0.074703060591192, 0.1374881678863831, 0.0284565416446824, 0.0766129911992525, -0.0210069163840396, 0.0041661481941981, -0.0267073280779711]| 20.2667012848262296|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[0.0588535350775346, -0.0724552811336907, 0.0515715475726911, 0.1157423777137987, 0.073455930146619, 0.074703060591192, 0.1374881678863831, 0.0284565416446824, 0.0766129911992525, -0.0210069163840396, 0.0041661481941981, -0.0267073280779711]| 20.2667012848262296|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0588535350775346, -0.0724552811336907, 0.0515715475726911, 0.1157423777137987, 0.073455930146619, 0.074703060591192, 0.1374881678863831, 0.0284565416446824, 0.0766129911992525, -0.0210069163840396, 0.0041661481941981, -0.0267073280779711]| 20.2667012848262296|      0.12500000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0878095972768398, 0.0245988343008417, 0.0399778453485425, 0.1004317127153582, 0.0454831139605727, 0.0368089442181238, 0.138063505138296, -0.0025325873645358, 0.0683287158427022, -0.0353521214309128, -0.0054674459672649, -0.0648110661086237]| 16.8489131303450534|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[-0.0163499528111624, 0.1147475855673187, 0.1670994464802954, 0.1664000851448378, 0.0460699929075802, 0.0407048237128406, 0.2353610975206794, 0.0394111741235062, 0.0185753249862648, -0.0784930666934761, 0.0655485161823587, -0.1137072037910333]| 10.2671441899715763|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[-0.0163499528111624, 0.1147475855673187, 0.1670994464802954, 0.1664000851448378, 0.0460699929075802, 0.0407048237128406, 0.2353610975206794, 0.0394111741235062, 0.0185753249862648, -0.0784930666934761, 0.0655485161823587, -0.1137072037910333]| 10.2671441899715763|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[-0.0163499528111624, 0.1147475855673187, 0.1670994464802954, 0.1664000851448378, 0.0460699929075802, 0.0407048237128406, 0.2353610975206794, 0.0394111741235062, 0.0185753249862648, -0.0784930666934761, 0.0655485161823587, -0.1137072037910333]| 10.2671441899715763|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[-0.0163499528111624, 0.1147475855673187, 0.1670994464802954, 0.1664000851448378, 0.0460699929075802, 0.0407048237128406, 0.2353610975206794, 0.0394111741235062, 0.0185753249862648, -0.0784930666934761, 0.0655485161823587, -0.1137072037910333]| 10.2671441899715763|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[-2.85928378449e-05, 0.1339364754297031, 0.167868846694523, 0.1607310236236597, 0.0259261357208457, 0.0463212119284645, 0.2566947340237504, 0.0244983482921012, -0.0072877527592293, -0.0912965860130572, 0.0453014607139731, -0.1433941050608314]|  9.3166044204291723|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
