k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[-3.9912548199296696, -0.0534611506673213, 3.9221750016983545, 0.0236421542064071, -2.003379494308728, -0.0614774692983989]|  1.2864865774902479|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[-3.9912548199296696, -0.0534611506673213, 3.9221750016983545, 0.0236421542064071, -2.003379494308728, -0.0614774692983989]|  1.2864865774902479|      0.12500000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[-3.9912548199296696, -0.0534611506673213, 3.9221750016983545, 0.0236421542064071, -2.003379494308728, -0.0614774692983989]|  1.2864865774902479|      0.06250000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[-3.9912548199296696, -0.0534611506673213, 3.9221750016983545, 0.0236421542064071, -2.003379494308728, -0.0614774692983989]|  1.2864865774902479|      0.03125000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[-3.9970148085903143, -0.0513483150540583, 3.9409853952912735, 0.0379274910816618, -1.9950931486521015, -0.0791510562348259]|  0.7097438252438917|      0.06250000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[-3.9970148085903143, -0.0513483150540583, 3.9409853952912735, 0.0379274910816618, -1.9950931486521015, -0.0791510562348259]|  0.7097438252438917|      0.03125000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[-3.9970148085903143, -0.0513483150540583, 3.9409853952912735, 0.0379274910816618, -1.9950931486521015, -0.0791510562348259]|  0.7097438252438917|      0.01562500|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[-3.9970148085903143, -0.0513483150540583, 3.9409853952912735, 0.0379274910816618, -1.9950931486521015, -0.0791510562348259]|  0.7097438252438917|      0.00781250|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[-3.9970148085903143, -0.0513483150540583, 3.9409853952912735, 0.0379274910816618, -1.9950931486521015, -0.0791510562348259]|  0.7097438252438917|      0.00390625|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[-3.9949086711960033, -0.0537808806650118, 3.9419297948848437, 0.0380830623656308, -1.9954091079285619, -0.0811232822883194]|  0.6155480445151055|      0.00781250|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[-3.9949086711960033, -0.0537808806650118, 3.9419297948848437, 0.0380830623656308, -1.9954091079285619, -0.0811232822883194]|  0.6155480445151055|      0.00390625|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[-3.994918469179946, -0.0569013366941436, 3.9435926114003395, 0.038399207630975, -1.9959980035112954, -0.0796034985432106]|  0.5492513065860809|      0.00781250|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[-3.9948584798435243, -0.0630638429118118, 3.9452294488458284, 0.0415348119609045, -1.9967778844456943, -0.0827555786560964]|  0.5010256037021701|      0.01562500|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      17|[-3.9948584798435243, -0.0630638429118118, 3.9452294488458284, 0.0415348119609045, -1.9967778844456943, -0.0827555786560964]|  0.5010256037021701|      0.00781250|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[-3.995813996225771, -0.0622892412847671, 3.9452164210272427, 0.0340317212218118, -1.9961265671870614, -0.081081845559653]|  0.4633599851263019|      0.01562500|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      19|[-3.995813996225771, -0.0622892412847671, 3.9452164210272427, 0.0340317212218118, -1.9961265671870614, -0.081081845559653]|  0.4633599851263019|      0.00781250|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      20|[-3.995813996225771, -0.0622892412847671, 3.9452164210272427, 0.0340317212218118, -1.9961265671870614, -0.081081845559653]|  0.4633599851263019|      0.00390625|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
