k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.094880945164671, -0.982960920576043, -0.1574339063383637]                   |1375.1679444957508167|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[-0.4774359881366907, -0.7609699372527382, -2.0467411149108257]                 |186.1374755673628840|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[-0.4774359881366907, -0.7609699372527382, -2.0467411149108257]                 |186.1374755673628840|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-0.4774359881366907, -0.7609699372527382, -2.0467411149108257]                 |186.1374755673628840|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.1182382556369052, -1.4861895962396052, -2.3920361214251495]                  | 29.8525229316721550|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[0.1182382556369052, -1.4861895962396052, -2.3920361214251495]                  | 29.8525229316721550|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.1182382556369052, -1.4861895962396052, -2.3920361214251495]                  | 29.8525229316721550|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.0085372177559354, -1.011143641696765, -2.281144176901123]                    |  9.4357884697766110|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[0.0085372177559354, -1.011143641696765, -2.281144176901123]                    |  9.4357884697766110|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.0085372177559354, -1.011143641696765, -2.281144176901123]                    |  9.4357884697766110|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.0085372177559354, -1.011143641696765, -2.281144176901123]                    |  9.4357884697766110|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.1012762246219612, -0.9809348268648769, -2.359322844784094]                   |  5.6387731975512372|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[0.2032643770137805, -0.9211536513996427, -2.1390397818135196]                  |  4.9202463121264595|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[0.2032643770137805, -0.9211536513996427, -2.1390397818135196]                  |  4.9202463121264595|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.2032643770137805, -0.9211536513996427, -2.1390397818135196]                  |  4.9202463121264595|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
