k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.25000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.1952484916454206, 9.974809043830895, 1.1540890724142188]                     |  0.6413626074790955|      0.50000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.6755214151662008, 10.113010338306953, 1.138651419161706]                     |  0.0288652796298265|      1.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[0.6755214151662008, 10.113010338306953, 1.138651419161706]                     |  0.0288652796298265|      0.50000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.6755214151662008, 10.113010338306953, 1.138651419161706]                     |  0.0288652796298265|      0.25000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.6755214151662008, 10.113010338306953, 1.138651419161706]                     |  0.0288652796298265|      0.12500000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.6755214151662008, 10.113010338306953, 1.138651419161706]                     |  0.0288652796298265|      0.06250000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.718540319827556, 10.143388196984874, 1.172308655291274]                      |  0.0192525703459978|      0.12500000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.718540319827556, 10.143388196984874, 1.172308655291274]                      |  0.0192525703459978|      0.06250000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.718540319827556, 10.143388196984874, 1.172308655291274]                      |  0.0192525703459978|      0.03125000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.7418806236350233, 10.144105851256699, 1.151541428935276]                     |  0.0150658320635557|      0.06250000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.7418806236350233, 10.144105851256699, 1.151541428935276]                     |  0.0150658320635557|      0.03125000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.7719143217446905, 10.151125943001862, 1.146515716075704]                     |  0.0128695592284203|      0.06250000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.7810011465575636, 10.179467454503289, 1.091557201352009]                     |  0.0112816123291850|      0.12500000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
