k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.2193480991839127, 0.3933797697929148, 0.4144016138232878, 0.39502419809434]  |  0.0039238476817726|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[0.2193480991839127, 0.3933797697929148, 0.4144016138232878, 0.39502419809434]  |  0.0039238476817726|      0.03125000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.2220502147190211, 0.4072275983258271, 0.3961371763866998, 0.3739550490445337]|  0.0030226616067614|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.2220502147190211, 0.4072275983258271, 0.3961371763866998, 0.3739550490445337]|  0.0030226616067614|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.2220502147190211, 0.4072275983258271, 0.3961371763866998, 0.3739550490445337]|  0.0030226616067614|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.2220502147190211, 0.4072275983258271, 0.3961371763866998, 0.3739550490445337]|  0.0030226616067614|      0.00781250|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.2220502147190211, 0.4072275983258271, 0.3961371763866998, 0.3739550490445337]|  0.0030226616067614|      0.00390625|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.2208190683789192, 0.4092717112812648, 0.3959150018386787, 0.3708703596845856]|  0.0029220915812448|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[0.218583728079687, 0.4152412202734611, 0.3974431602836443, 0.3666197004232714] |  0.0027517325337349|      0.01562500|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[0.218583728079687, 0.4152412202734611, 0.3974431602836443, 0.3666197004232714] |  0.0027517325337349|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      16|[0.2190993091428586, 0.419382281018089, 0.3961520566476253, 0.3601425096952119] |  0.0025456161414968|      0.01562500|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      17|[0.2190993091428586, 0.419382281018089, 0.3961520566476253, 0.3601425096952119] |  0.0025456161414968|      0.00781250|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[0.2190993091428586, 0.419382281018089, 0.3961520566476253, 0.3601425096952119] |  0.0025456161414968|      0.00390625|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      19|[0.2169115438755567, 0.4202452397796534, 0.3975154192079618, 0.3573373328910516]|  0.0024886898829367|      0.00781250|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      20|[0.2169115438755567, 0.4202452397796534, 0.3975154192079618, 0.3573373328910516]|  0.0024886898829367|      0.00390625|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=0
