k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[1.0071895857693947, 2.0284830811713177, 1.0685423623077492, 0.935676255808056, 1.0277182729861498, 1.0718200653614331]|  0.5960010443090509|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[1.1318889145127784, 1.954596757247794, 1.0332148305240134, 0.8091821623477986, 1.182245242001172, 1.0908861140549821]|  0.4152292007873463|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[1.1318889145127784, 1.954596757247794, 1.0332148305240134, 0.8091821623477986, 1.182245242001172, 1.0908861140549821]|  0.4152292007873463|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[1.1318889145127784, 1.954596757247794, 1.0332148305240134, 0.8091821623477986, 1.182245242001172, 1.0908861140549821]|  0.4152292007873463|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[1.1328615734075134, 1.9289705782084496, 1.1020193715827764, 0.7386746537623516, 1.2152103172289275, 1.1555025443224654]|  0.3805126045684042|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[1.313858529987713, 1.8277855214350445, 1.018935602532898, 0.6399204059518622, 1.2001263672070266, 1.1043278796332285]|  0.3306412289665546|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[1.313858529987713, 1.8277855214350445, 1.018935602532898, 0.6399204059518622, 1.2001263672070266, 1.1043278796332285]|  0.3306412289665546|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[1.313858529987713, 1.8277855214350445, 1.018935602532898, 0.6399204059518622, 1.2001263672070266, 1.1043278796332285]|  0.3306412289665546|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[1.3477591177823718, 1.806988083816864, 1.0696914987525759, 0.54573777103369, 1.2459790234323747, 1.126558959939461]|  0.3051963058971253|      0.25000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[1.3477591177823718, 1.806988083816864, 1.0696914987525759, 0.54573777103369, 1.2459790234323747, 1.126558959939461]|  0.3051963058971253|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[1.3477591177823718, 1.806988083816864, 1.0696914987525759, 0.54573777103369, 1.2459790234323747, 1.126558959939461]|  0.3051963058971253|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[1.3477591177823718, 1.806988083816864, 1.0696914987525759, 0.54573777103369, 1.2459790234323747, 1.126558959939461]|  0.3051963058971253|      0.03125000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[1.3585718088674368, 1.8048109518268083, 1.052590940352512, 0.5595984095021498, 1.2563813442107639, 1.110367800812549]|  0.3015751284859622|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[1.3585718088674368, 1.8048109518268083, 1.052590940352512, 0.5595984095021498, 1.2563813442107639, 1.110367800812549]|  0.3015751284859622|      0.03125000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[1.3585718088674368, 1.8048109518268083, 1.052590940352512, 0.5595984095021498, 1.2563813442107639, 1.110367800812549]|  0.3015751284859622|      0.01562500|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[1.3557238603424906, 1.8065550309773195, 1.0617913411942348, 0.5499706567679473, 1.2552209026341463, 1.117736679906682]|  0.3006332921621485|      0.03125000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[1.3557238603424906, 1.8065550309773195, 1.0617913411942348, 0.5499706567679473, 1.2552209026341463, 1.117736679906682]|  0.3006332921621485|      0.01562500|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[1.3557238603424906, 1.8065550309773195, 1.0617913411942348, 0.5499706567679473, 1.2552209026341463, 1.117736679906682]|  0.3006332921621485|      0.00781250|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[1.3568209694559379, 1.8065972230038367, 1.0582390673618391, 0.5536009690285968, 1.2597843374333206, 1.1141025398406375]|  0.3003261261479931|      0.01562500|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[1.3644602707385867, 1.8016424136707472, 1.054403539318361, 0.5575086944796859, 1.2662705271986512, 1.1235460198210458]|  0.3001981639077509|      0.03125000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[1.3644602707385867, 1.8016424136707472, 1.054403539318361, 0.5575086944796859, 1.2662705271986512, 1.1235460198210458]|  0.3001981639077509|      0.01562500|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[1.3644602707385867, 1.8016424136707472, 1.054403539318361, 0.5575086944796859, 1.2662705271986512, 1.1235460198210458]|  0.3001981639077509|      0.00781250|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[1.364334884056201, 1.8034985743206284, 1.0565571256158532, 0.5532983998365794, 1.2670185188197134, 1.1294324530096598]|  0.2998697228744390|      0.01562500|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      27|[1.364334884056201, 1.8034985743206284, 1.0565571256158532, 0.5532983998365794, 1.2670185188197134, 1.1294324530096598]|  0.2998697228744390|      0.00781250|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[1.364334884056201, 1.8034985743206284, 1.0565571256158532, 0.5532983998365794, 1.2670185188197134, 1.1294324530096598]|  0.2998697228744390|      0.00390625|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[1.3659881295487013, 1.8043691397189094, 1.0552614196177525, 0.5542774795211778, 1.269693039538535, 1.1280263334721987]|  0.2997678913991657|      0.00781250|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      30|[1.3662884583976174, 1.8069157294018805, 1.059657129948546, 0.5534653529133401, 1.2732072536632888, 1.1327304082978231]|  0.2996750892343480|      0.01562500|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
