k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[0.036176279023302, 0.0232736994492908, 0.0097421910210151, 0.0364761363368485, 0.0300074668191551, -0.0194776755086138, 0.028176088758528, 0.046203047702715, -0.0412390308346795, 0.0618633966481674, -0.0120618740005098, 0.0496741897338276]| 21.0682561605348759|      0.25000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       5|[0.036176279023302, 0.0232736994492908, 0.0097421910210151, 0.0364761363368485, 0.0300074668191551, -0.0194776755086138, 0.028176088758528, 0.046203047702715, -0.0412390308346795, 0.0618633966481674, -0.0120618740005098, 0.0496741897338276]| 21.0682561605348759|      0.12500000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[0.0861618439586916, 0.0818992869257615, 0.0113929481924133, 0.0422155993064903, 0.0872588715460014, -0.0149423442743953, 0.0903816110806021, 0.0371294078871756, -0.0233904216056431, 0.0268290796985632, -0.0209197817350897, 0.0775888470355726]| 17.4387215984028394|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       7|[0.0861618439586916, 0.0818992869257615, 0.0113929481924133, 0.0422155993064903, 0.0872588715460014, -0.0149423442743953, 0.0903816110806021, 0.0371294078871756, -0.0233904216056431, 0.0268290796985632, -0.0209197817350897, 0.0775888470355726]| 17.4387215984028394|      0.12500000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[0.0861618439586916, 0.0818992869257615, 0.0113929481924133, 0.0422155993064903, 0.0872588715460014, -0.0149423442743953, 0.0903816110806021, 0.0371294078871756, -0.0233904216056431, 0.0268290796985632, -0.0209197817350897, 0.0775888470355726]| 17.4387215984028394|      0.06250000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
       9|[0.0861618439586916, 0.0818992869257615, 0.0113929481924133, 0.0422155993064903, 0.0872588715460014, -0.0149423442743953, 0.0903816110806021, 0.0371294078871756, -0.0233904216056431, 0.0268290796985632, -0.0209197817350897, 0.0775888470355726]| 17.4387215984028394|      0.03125000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[0.0956062392177064, 0.0985425834739428, 0.0209279055459403, 0.0525428187697339, 0.0880154401930153, -0.0037223406696304, 0.0915243030738064, 0.0449545489220218, -0.0162626410594963, 0.0306088878247271, -0.0327001842722033, 0.0820531679793435]| 16.6473357848894175|      0.06250000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      11|[0.0956062392177064, 0.0985425834739428, 0.0209279055459403, 0.0525428187697339, 0.0880154401930153, -0.0037223406696304, 0.0915243030738064, 0.0449545489220218, -0.0162626410594963, 0.0306088878247271, -0.0327001842722033, 0.0820531679793435]| 16.6473357848894175|      0.03125000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      12|[0.0956062392177064, 0.0985425834739428, 0.0209279055459403, 0.0525428187697339, 0.0880154401930153, -0.0037223406696304, 0.0915243030738064, 0.0449545489220218, -0.0162626410594963, 0.0306088878247271, -0.0327001842722033, 0.0820531679793435]| 16.6473357848894175|      0.01562500|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[0.0956062392177064, 0.0985425834739428, 0.0209279055459403, 0.0525428187697339, 0.0880154401930153, -0.0037223406696304, 0.0915243030738064, 0.0449545489220218, -0.0162626410594963, 0.0306088878247271, -0.0327001842722033, 0.0820531679793435]| 16.6473357848894175|      0.00781250|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[0.0951692615789146, 0.1027858167562433, 0.0242357503986463, 0.0539298201255658, 0.0890859689326585, -0.0031752292549745, 0.0905115513190544, 0.0437751084919011, -0.0182048715147437, 0.0277908681873704, -0.0348106670956027, 0.07889978445027]| 16.1943520806273469|      0.01562500|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      15|[0.0938418076989329, 0.1115434900596758, 0.0279549858315332, 0.0595980559675963, 0.0926590790597954, -0.0041519504842298, 0.0919894511202366, 0.0418022130361941, -0.0220613856485692, 0.0245530717219877, -0.0414726275349983, 0.0734057248412718]| 15.3969138182808720|      0.03125000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      16|[0.0938418076989329, 0.1115434900596758, 0.0279549858315332, 0.0595980559675963, 0.0926590790597954, -0.0041519504842298, 0.0919894511202366, 0.0418022130361941, -0.0220613856485692, 0.0245530717219877, -0.0414726275349983, 0.0734057248412718]| 15.3969138182808720|      0.01562500|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      17|[0.0917997220325896, 0.1210789062829485, 0.0329383143011245, 0.0619175327435122, 0.0955654342857958, -0.0049777476074417, 0.0927405993583865, 0.0394164625411298, -0.0266343786210949, 0.0211244384467783, -0.045847799438649, 0.0662197647319689]| 14.6876372864125422|      0.03125000|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      18|[0.0878073159009715, 0.140908700896226, 0.0361992792147353, 0.0594792011124478, 0.0824669936068776, 0.0063502301736024, 0.0906905286621886, 0.0347754751241084, -0.0298065501857275, 0.0123877862613976, -0.0426608215910924, 0.0548777758839463]| 13.9915276464141431|      0.06250000|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      19|[0.0878073159009715, 0.140908700896226, 0.0361992792147353, 0.0594792011124478, 0.0824669936068776, 0.0063502301736024, 0.0906905286621886, 0.0347754751241084, -0.0298065501857275, 0.0123877862613976, -0.0426608215910924, 0.0548777758839463]| 13.9915276464141431|      0.03125000|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      20|[0.0817041560696418, 0.1580534862285788, 0.0459621553460657, 0.0696144802260856, 0.0997692487739187, 0.0141915897020806, 0.0978409346940298, 0.0339401840596139, -0.0298042588196219, 0.0097588915908671, -0.0380922600833594, 0.0574986203131004]| 12.7945110442751524|      0.06250000|[260, 0, 20, 80]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      21|[0.0817041560696418, 0.1580534862285788, 0.0459621553460657, 0.0696144802260856, 0.0997692487739187, 0.0141915897020806, 0.0978409346940298, 0.0339401840596139, -0.0298042588196219, 0.0097588915908671, -0.0380922600833594, 0.0574986203131004]| 12.7945110442751524|      0.03125000|[273, 0, 21, 84]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      22|[0.088504316155989, 0.175724441904249, 0.0535373728412812, 0.0711310337062166, 0.1062372528247809, 0.024148590536503, 0.0853020388695157, 0.0250951260975958, -0.0389796453428406, 0.0008077467721004, -0.0373677434432827, 0.0616341078422498]| 12.0572083822381515|      0.06250000|[286, 0, 22, 88]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      23|[0.0830300556752015, 0.2108801348612367, 0.0736273231023007, 0.0829306669345041, 0.1246130151635341, 0.038922193599197, 0.1013483781048348, 0.0406477011069246, -0.0285197440697467, -0.014930829542836, -0.0208070278034669, 0.0819037175144472]| 11.3488117071246997|      0.12500000|[299, 0, 23, 92]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      24|[0.0781380303881862, 0.2526945450848169, 0.1121678177647469, 0.0762728890751323, 0.1443981212965275, -0.0125563110107048, 0.1097283697794665, -0.0279832253314043, -0.0719881909169128, -0.0266757981073112, -0.0074600907052882, 0.0339931614981503]|  9.2746711647861328|      0.25000000|[312, 0, 24, 96]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
