k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[105.0, 96.0, 230.0]                                                            |63019.3221809944880079|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[105.5208870129589, 96.47289193741547, 229.28933134636583]                      |61326.4949523029936245|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[106.61746993425076, 97.42887918149472, 227.91689035095337]                     |58014.3463859846597188|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[108.62169732610367, 99.33941953206846, 225.03021265322263]                     |51672.8125536270672455|      8.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[112.33908958507679, 103.87709428982156, 219.5904973494795]                     |40193.7847426959269796|     16.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[119.15235833944544, 112.91188406767725, 208.27891290915028]                    |21781.1093002426205203|     32.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[136.30656454219837, 127.81435050290392, 185.74782985261757]                    |2977.0575641625609933|     64.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[136.30656454219837, 127.81435050290392, 185.74782985261757]                    |2977.0575641625609933|     32.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[136.30656454219837, 127.81435050290392, 185.74782985261757]                    |2977.0575641625609933|     16.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[149.14860045485494, 137.3540358965612, 186.02444548500506]                     |2160.6361206835226767|     32.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[149.14860045485494, 137.3540358965612, 186.02444548500506]                     |2160.6361206835226767|     16.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[149.14860045485494, 137.3540358965612, 186.02444548500506]                     |2160.6361206835226767|      8.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[149.14860045485494, 137.3540358965612, 186.02444548500506]                     |2160.6361206835226767|      4.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[149.14860045485494, 137.3540358965612, 186.02444548500506]                     |2160.6361206835226767|      2.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[149.22655823507847, 136.19414691590944, 187.65189137874938]                    |2094.6271230458132777|      4.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[149.22655823507847, 136.19414691590944, 187.65189137874938]                    |2094.6271230458132777|      2.00000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
