k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 5.0, 1.0]                                                                 |634.1111111111110858|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9119026425029542, 4.003914149643082, 0.9928003944015096]                     |266.7650451660156250|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[1.9559832036571563, 2.1624792765434084, 1.7720144293500086]                    |104.7734909057617188|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[3.7129788636430856, -1.4308048238481499, 1.7362985412350551]                   |  5.9614033699035645|      8.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[3.7129788636430856, -1.4308048238481499, 1.7362985412350551]                   |  5.9614033699035645|      4.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[3.7129788636430856, -1.4308048238481499, 1.7362985412350551]                   |  5.9614033699035645|      2.00000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[3.7129788636430856, -1.4308048238481499, 1.7362985412350551]                   |  5.9614033699035645|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[4.10235383669473, -0.5099296168647173, 1.7169082466459804]                     |  1.0119510889053345|      2.00000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[4.10235383669473, -0.5099296168647173, 1.7169082466459804]                     |  1.0119510889053345|      1.00000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[4.291083768058443, 0.3769337902716051, 1.295180478897635]                      |  0.6322414875030518|      2.00000000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[4.291083768058443, 0.3769337902716051, 1.295180478897635]                      |  0.6322414875030518|      1.00000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[5.124864549924839, -0.171665771476774, 1.3572137654440435]                     |  0.0821215063333511|      2.00000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[5.124864549924839, -0.171665771476774, 1.3572137654440435]                     |  0.0821215063333511|      1.00000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[5.124864549924839, -0.171665771476774, 1.3572137654440435]                     |  0.0821215063333511|      0.50000000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[5.124864549924839, -0.171665771476774, 1.3572137654440435]                     |  0.0821215063333511|      0.25000000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[5.124864549924839, -0.171665771476774, 1.3572137654440435]                     |  0.0821215063333511|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
