k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.25000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.12500000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.06250000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.03125000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.01562500|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.0958285982985632, 0.0134938189136025, 0.0053530459738482]                    |25527.6601562500000000|      0.03125000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.0958285982985632, 0.0134938189136025, 0.0053530459738482]                    |25527.6601562500000000|      0.01562500|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.0958285982985632, 0.0134938189136025, 0.0053530459738482]                    |25527.6601562500000000|      0.00781250|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.0958285982985632, 0.0134938189136025, 0.0053530459738482]                    |25527.6601562500000000|      0.00390625|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.0958285982985632, 0.0134938189136025, 0.0053530459738482]                    |25527.6601562500000000|      0.00195312|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.0959860111127879, 0.0135413947490183, 0.0072992358441917]                    |22669.9238281250000000|      0.00390625|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.0959860111127879, 0.0135413947490183, 0.0072992358441917]                    |22669.9238281250000000|      0.00195312|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.0970034888504319, 0.0118755618542454, 0.007232624390849]                     |16734.2324218750000000|      0.00390625|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.0971128200083077, 0.0094361491580102, 0.0102815752690797]                    |9440.4746093750000000|      0.00781250|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
