k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.372587172607863, -0.8307207980059179, -0.4256231788155665, 0.6401738903034828, -0.4271280773925255, -0.2261397183746664, -0.0515033351751522]|171116.9753536301723216|      2.00000000|[8, 0, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=4
       2|[11.303910597024558, 0.1904153042581953, -0.4969049147268864, 1.7605215093108801, -1.199609463031559, -0.5797600126379759, -0.379958907242165]|91299.4756451712601120|      4.00000000|[14, 2, 2, 4]                                                              |  | used linear model with 8 points | iterate success | actual_k=4
       3|[11.303910597024558, 0.1904153042581953, -0.4969049147268864, 1.7605215093108801, -1.199609463031559, -0.5797600126379759, -0.379958907242165]|91299.4756451712601120|      2.00000000|[19, 5, 3, 6]                                                              |  | used linear model with 8 points | iterate failure | actual_k=4
       4|[10.983530210401483, 1.3029540962612012, 0.1653436283335417, 1.859118008111884, -2.532344448009292, -0.9814429989854758, -0.9032061529010611]|70249.3058119437191635|      4.00000000|[25, 7, 4, 8]                                                              |  | used linear model with 8 points | iterate success | actual_k=4
       5|[10.163100810088972, -0.0386364188566661, 2.304234970455702, 2.2637415513946393, -4.71255486199872, -0.0424991130079935, 0.8726094437706067]|39644.7376596586618689|      8.00000000|[32, 8, 5, 10]                                                             |  | used linear model with 8 points | iterate success | actual_k=4
       6|[10.163100810088972, -0.0386364188566661, 2.304234970455702, 2.2637415513946393, -4.71255486199872, -0.0424991130079935, 0.8726094437706067]|39644.7376596586618689|      4.00000000|[37, 11, 6, 12]                                                            |  | used linear model with 8 points | iterate failure | actual_k=4
       7|[10.163100810088972, -0.0386364188566661, 2.304234970455702, 2.2637415513946393, -4.71255486199872, -0.0424991130079935, 0.8726094437706067]|39644.7376596586618689|      2.00000000|[43, 13, 7, 14]                                                            |  | used linear model with 8 points | iterate failure | actual_k=4
       8|[10.163100810088972, -0.0386364188566661, 2.304234970455702, 2.2637415513946393, -4.71255486199872, -0.0424991130079935, 0.8726094437706067]|39644.7376596586618689|      1.00000000|[49, 15, 8, 16]                                                            |  | used linear model with 8 points | iterate failure | actual_k=4
       9|[10.001425871884148, 0.1556761216172678, 2.415924184772228, 2.6025892381238322, -4.262187280199889, -0.3532290887953284, 0.1588675163300654]|11742.7974302323727898|      2.00000000|[55, 17, 9, 18]                                                            |  | used linear model with 8 points | iterate success | actual_k=4
      10|[10.001425871884148, 0.1556761216172678, 2.415924184772228, 2.6025892381238322, -4.262187280199889, -0.3532290887953284, 0.1588675163300654]|11742.7974302323727898|      1.00000000|[61, 19, 10, 20]                                                           |  | used linear model with 8 points | iterate failure | actual_k=4
      11|[10.001425871884148, 0.1556761216172678, 2.415924184772228, 2.6025892381238322, -4.262187280199889, -0.3532290887953284, 0.1588675163300654]|11742.7974302323727898|      0.50000000|[68, 20, 11, 22]                                                           |  | used linear model with 8 points | iterate failure | actual_k=4
      12|[10.001425871884148, 0.1556761216172678, 2.415924184772228, 2.6025892381238322, -4.262187280199889, -0.3532290887953284, 0.1588675163300654]|11742.7974302323727898|      0.25000000|[75, 21, 12, 24]                                                           |  | used linear model with 8 points | iterate failure | actual_k=4
      13|[9.925890075816953, 0.2240942108203715, 2.40375816148312, 2.6604290895820557, -4.210648874916018, -0.5650539281354178, 0.1919413468044985]|9969.0368809951960429|      0.50000000|[81, 23, 13, 26]                                                           |  | used linear model with 8 points | iterate success | actual_k=4
      14|[9.925890075816953, 0.2240942108203715, 2.40375816148312, 2.6604290895820557, -4.210648874916018, -0.5650539281354178, 0.1919413468044985]|9969.0368809951960429|      0.25000000|[88, 24, 14, 28]                                                           |  | used linear model with 8 points | iterate failure | actual_k=4
      15|[9.925890075816953, 0.2240942108203715, 2.40375816148312, 2.6604290895820557, -4.210648874916018, -0.5650539281354178, 0.1919413468044985]|9969.0368809951960429|      0.12500000|[93, 27, 15, 30]                                                           |  | used linear model with 8 points | iterate failure | actual_k=4
