k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.01399159915069, 149.94918812389236, -100.09700489547807, 1.123409529989044, 1.9762150286484907]|84540.0807227377808886|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[49.01399159915069, 149.94918812389236, -100.09700489547807, 1.123409529989044, 1.9762150286484907]|84540.0807227377808886|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[48.01766999052747, 149.8885263599428, -100.153679419635, 1.1436116578349529, 1.9827933967632492]|81269.1637993634940358|      2.00000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[48.01766999052747, 149.8885263599428, -100.153679419635, 1.1436116578349529, 1.9827933967632492]|81269.1637993634940358|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[47.02563373181756, 149.80627208442675, -100.21748331297897, 1.209376408046597, 1.9562913895201404]|78072.2647328364691930|      2.00000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[47.02563373181756, 149.80627208442675, -100.21748331297897, 1.209376408046597, 1.9562913895201404]|78072.2647328364691930|      1.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[46.02918198932523, 149.7460075073389, -100.27605269708368, 1.2135548687353488, 1.9583585964037349]|74932.4970322758599650|      2.00000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[46.02918198932523, 149.7460075073389, -100.27605269708368, 1.2135548687353488, 1.9583585964037349]|74932.4970322758599650|      1.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[45.033136938654685, 149.68423223598728, -100.33936468112586, 1.2214223507414215, 1.9611457612122458]|71858.8236247484892374|      2.00000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[45.033136938654685, 149.68423223598728, -100.33936468112586, 1.2214223507414215, 1.9611457612122458]|71858.8236247484892374|      1.00000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[44.043560433818215, 149.65803330855505, -100.38999170326382, 1.3533842437534358, 1.952490086821265]|68879.2096557942131767|      2.00000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[42.0526356670323, 149.50933011948032, -100.49828381685384, 1.3759902189464683, 1.9092729307691385]|63062.9150331155105960|      4.00000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[42.0526356670323, 149.50933011948032, -100.49828381685384, 1.3759902189464683, 1.9092729307691385]|63062.9150331155105960|      2.00000000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[40.43691348379811, 149.6342030299569, -100.56046742518191, 2.4750352063818912, 2.311866891581301]|58584.6611301362427184|      4.00000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[40.43691348379811, 149.6342030299569, -100.56046742518191, 2.4750352063818912, 2.311866891581301]|58584.6611301362427184|      2.00000000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[38.44527093440782, 149.5056283283731, -100.69014483618798, 2.473665696674164, 2.3150910331294363]|53242.9363924567223876|      4.00000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[38.44527093440782, 149.5056283283731, -100.69014483618798, 2.473665696674164, 2.3150910331294363]|53242.9363924567223876|      2.00000000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[36.4539581081624, 149.3750029387212, -100.82250643048991, 2.4831821744101426, 2.3153749593341924]|48165.2152410647395300|      4.00000000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[36.4539581081624, 149.3750029387212, -100.82250643048991, 2.4831821744101426, 2.3153749593341924]|48165.2152410647395300|      2.00000000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[34.46452831438482, 149.23507188434306, -100.97166704330341, 2.493437624253527, 2.300067020728639]|43351.5495512662600959|      4.00000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[34.46452831438482, 149.23507188434306, -100.97166704330341, 2.493437624253527, 2.300067020728639]|43351.5495512662600959|      2.00000000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[32.47411624765217, 149.09546009931685, -101.10859173387277, 2.488967466704629, 2.300037173920647]|38801.4087338573081070|      4.00000000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[32.47411624765217, 149.09546009931685, -101.10859173387277, 2.488967466704629, 2.300037173920647]|38801.4087338573081070|      2.00000000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[30.48632135591136, 148.94136401685307, -101.26644060417257, 2.4920647150639965, 2.29995389046718]|34515.0273283492570044|      4.00000000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[30.48632135591136, 148.94136401685307, -101.26644060417257, 2.4920647150639965, 2.29995389046718]|34515.0273283492570044|      2.00000000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
