k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.0269998942230858, 0.0004875109619393, 0.0801694911308565]                    |  0.0059232489170656|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[0.0269998942230858, 0.0004875109619393, 0.0801694911308565]                    |  0.0059232489170656|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.0269998942230858, 0.0004875109619393, 0.0801694911308565]                    |  0.0059232489170656|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.0269998942230858, 0.0004875109619393, 0.0801694911308565]                    |  0.0059232489170656|      0.03125000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.0285924573786954, 0.0188564780069717, 0.0549384132249503]                    |  0.0026337558727494|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.0285924573786954, 0.0188564780069717, 0.0549384132249503]                    |  0.0026337558727494|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.0295517647029252, 0.0275382455111268, 0.0849428985973321]                    |  0.0019466668680347|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[0.0295517647029252, 0.0275382455111268, 0.0849428985973321]                    |  0.0019466668680347|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.0295517647029252, 0.0275382455111268, 0.0849428985973321]                    |  0.0019466668680347|      0.01562500|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.0295517647029252, 0.0275382455111268, 0.0849428985973321]                    |  0.0019466668680347|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.025941093798617, 0.0344557151885819, 0.0845597209201755]                     |  0.0019248025031560|      0.01562500|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[0.025941093798617, 0.0344557151885819, 0.0845597209201755]                     |  0.0019248025031560|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
