k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.12500000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.06250000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.03125000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.01562500|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00781250|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00390625|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00195312|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00097656|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00048828|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
