k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.50000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.25000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.12500000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-0.0143877242035176, 0.0524514895740735, 0.0832791235930784]                   |  0.0023044003173709|      0.25000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[-0.0143877242035176, 0.0524514895740735, 0.0832791235930784]                   |  0.0023044003173709|      0.12500000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.0143877242035176, 0.0524514895740735, 0.0832791235930784]                   |  0.0023044003173709|      0.06250000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.0143877242035176, 0.0524514895740735, 0.0832791235930784]                   |  0.0023044003173709|      0.03125000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.0143877242035176, 0.0524514895740735, 0.0832791235930784]                   |  0.0023044003173709|      0.01562500|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.0025416546106057, 0.0622389113681913, 0.0861106664276327]                   |  0.0017846764530987|      0.03125000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[-0.0025416546106057, 0.0622389113681913, 0.0861106664276327]                   |  0.0017846764530987|      0.01562500|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[-0.0025416546106057, 0.0622389113681913, 0.0861106664276327]                   |  0.0017846764530987|      0.00781250|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[-0.0081894659910604, 0.0568539477055762, 0.0864842292913129]                   |  0.0016086780233309|      0.01562500|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[-0.0081894659910604, 0.0568539477055762, 0.0864842292913129]                   |  0.0016086780233309|      0.00781250|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[-0.0081894659910604, 0.0568539477055762, 0.0864842292913129]                   |  0.0016086780233309|      0.00390625|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[-0.0075320370108525, 0.0605251641264981, 0.0876455846155941]                   |  0.0015510822413489|      0.00781250|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
