k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.03533914540232, 149.93487450545922, -100.0916386510085, 1.1720630950728617, 2.1648779989051823]|84608.5653205686103320|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[49.03533914540232, 149.93487450545922, -100.0916386510085, 1.1720630950728617, 2.1648779989051823]|84608.5653205686103320|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[48.10715555247342, 149.64155151107988, -100.23213693843313, 1.2680017792627445, 2.011604260474198]|81495.0629318994469941|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[46.183638333122715, 149.6119575473476, -100.23602805399622, 1.8144089668774543, 2.0366990550458577]|75393.4700364267919213|      4.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[46.183638333122715, 149.6119575473476, -100.23602805399622, 1.8144089668774543, 2.0366990550458577]|75393.4700364267919213|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[44.19079420184374, 149.5474704605421, -100.38898348347257, 1.844365394488172, 2.0257020963394163]|69295.9953525378805352|      4.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[44.19079420184374, 149.5474704605421, -100.38898348347257, 1.844365394488172, 2.0257020963394163]|69295.9953525378805352|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[42.40642467737765, 149.25321597630298, -99.66712597731362, 2.1470514171460895, 1.6840259175511434]|64173.4119260182196740|      4.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[42.40642467737765, 149.25321597630298, -99.66712597731362, 2.1470514171460895, 1.6840259175511434]|64173.4119260182196740|      2.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[40.417731838710154, 149.1243312271926, -99.6802445566642, 1.9860556316597584, 1.6350588387039064]|58598.1945123147670529|      4.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[40.417731838710154, 149.1243312271926, -99.6802445566642, 1.9860556316597584, 1.6350588387039064]|58598.1945123147670529|      2.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[39.203836355932005, 149.6396145717835, -100.46224909981642, 3.1501558541461394, 1.0925826657944646]|55292.2642802346963435|      4.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[39.203836355932005, 149.6396145717835, -100.46224909981642, 3.1501558541461394, 1.0925826657944646]|55292.2642802346963435|      2.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[37.565462226081834, 149.95613657927737, -100.67503425324186, 2.625886909944531, 0.1463223516962738]|49417.6101194270595443|      4.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[37.565462226081834, 149.95613657927737, -100.67503425324186, 2.625886909944531, 0.1463223516962738]|49417.6101194270595443|      2.00000000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[37.565462226081834, 149.95613657927737, -100.67503425324186, 2.625886909944531, 0.1463223516962738]|49417.6101194270595443|      1.00000000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[37.565462226081834, 149.95613657927737, -100.67503425324186, 2.625886909944531, 0.1463223516962738]|49417.6101194270595443|      0.50000000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
