k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.937786201893223, 3.060050654853318, 0.3450426635000138, 40.19834444027548, -0.4150987370788743, -0.9228110626562568, 25.586374271547257, -0.4321033242871787, 0.8131058269461172]|947.7911950944582031|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[10.937786201893223, 3.060050654853318, 0.3450426635000138, 40.19834444027548, -0.4150987370788743, -0.9228110626562568, 25.586374271547257, -0.4321033242871787, 0.8131058269461172]|947.7911950944582031|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[10.937786201893223, 3.060050654853318, 0.3450426635000138, 40.19834444027548, -0.4150987370788743, -0.9228110626562568, 25.586374271547257, -0.4321033242871787, 0.8131058269461172]|947.7911950944582031|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[10.825059008066118, 3.1683960160722635, 0.4721119540231614, 40.27662412220423, -0.4993999570794435, -1.2387851221793573, 25.817625074374142, -0.5856552571824448, 0.6742601666313792]|887.0179503170850239|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[10.825059008066118, 3.1683960160722635, 0.4721119540231614, 40.27662412220423, -0.4993999570794435, -1.2387851221793573, 25.817625074374142, -0.5856552571824448, 0.6742601666313792]|887.0179503170850239|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[10.621571474764833, 2.9516427308121833, 0.4690649843367246, 40.16751219213196, -0.4333574135598715, -1.486755139951498, 26.02112440365503, -0.7861216476401383, 0.7216589200136719]|869.8868967923510809|      1.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[10.621571474764833, 2.9516427308121833, 0.4690649843367246, 40.16751219213196, -0.4333574135598715, -1.486755139951498, 26.02112440365503, -0.7861216476401383, 0.7216589200136719]|869.8868967923510809|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[10.621571474764833, 2.9516427308121833, 0.4690649843367246, 40.16751219213196, -0.4333574135598715, -1.486755139951498, 26.02112440365503, -0.7861216476401383, 0.7216589200136719]|869.8868967923510809|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[10.759380015168501, 2.9611628186920194, 0.4453497416874769, 40.255904822957476, -0.4857914700044121, -1.44253477290295, 25.99528322490703, -0.6974570335994537, 0.8693361110798433]|863.6567950913342884|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[10.759380015168501, 2.9611628186920194, 0.4453497416874769, 40.255904822957476, -0.4857914700044121, -1.44253477290295, 25.99528322490703, -0.6974570335994537, 0.8693361110798433]|863.6567950913342884|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[10.759380015168501, 2.9611628186920194, 0.4453497416874769, 40.255904822957476, -0.4857914700044121, -1.44253477290295, 25.99528322490703, -0.6974570335994537, 0.8693361110798433]|863.6567950913342884|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[10.6699705166263, 2.944788439575222, 0.439882544641628, 40.22644090793216, -0.4881003908003883, -1.4121190785442301, 26.027391175300462, -0.7412402270734757, 0.9201935064024349]|859.3270787099959307|      0.25000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[10.6699705166263, 2.944788439575222, 0.439882544641628, 40.22644090793216, -0.4881003908003883, -1.4121190785442301, 26.027391175300462, -0.7412402270734757, 0.9201935064024349]|859.3270787099959307|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[10.650723769045488, 3.0030651613414268, 0.4533434512958903, 40.23208869928927, -0.5407788221575841, -1.4384659893353098, 26.0612858663496, -0.7482656266452188, 1.0037273899086476]|855.4308588748408511|      0.25000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[10.650723769045488, 3.0030651613414268, 0.4533434512958903, 40.23208869928927, -0.5407788221575841, -1.4384659893353098, 26.0612858663496, -0.7482656266452188, 1.0037273899086476]|855.4308588748408511|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[10.637220501887635, 3.0111350185389054, 0.4654671035259992, 40.290060547206515, -0.5120448833884992, -1.4585152497083236, 26.09815172624439, -0.7431180696036642, 1.0999387200032409]|851.9422958567471369|      0.25000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[10.637220501887635, 3.0111350185389054, 0.4654671035259992, 40.290060547206515, -0.5120448833884992, -1.4585152497083236, 26.09815172624439, -0.7431180696036642, 1.0999387200032409]|851.9422958567471369|      0.12500000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[10.619553421999505, 3.0986389055899393, 0.4941748407066541, 40.30134145792539, -0.5030969130304276, -1.4119616028210509, 26.162010302628655, -0.727891378699482, 1.0877948815344876]|850.5222848248192804|      0.25000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[10.619553421999505, 3.0986389055899393, 0.4941748407066541, 40.30134145792539, -0.5030969130304276, -1.4119616028210509, 26.162010302628655, -0.727891378699482, 1.0877948815344876]|850.5222848248192804|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[10.641246321008705, 3.0556662026435366, 0.4770244519410193, 40.36060417597514, -0.49636405145239, -1.3792503209043272, 26.166522253496453, -0.6546402657021564, 1.1425682026219934]|848.2700815285093086|      0.25000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[10.641246321008705, 3.0556662026435366, 0.4770244519410193, 40.36060417597514, -0.49636405145239, -1.3792503209043272, 26.166522253496453, -0.6546402657021564, 1.1425682026219934]|848.2700815285093086|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[10.596035152252488, 3.075877131462466, 0.5028276997359307, 40.403748703734834, -0.5105574148576114, -1.3997247666995447, 26.25558577110614, -0.6938862599431901, 1.1660628397813142]|847.4859192283169023|      0.25000000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[10.596035152252488, 3.075877131462466, 0.5028276997359307, 40.403748703734834, -0.5105574148576114, -1.3997247666995447, 26.25558577110614, -0.6938862599431901, 1.1660628397813142]|847.4859192283169023|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[10.662047244063036, 3.078200122348643, 0.5313330830719504, 40.426036481935654, -0.5297133996632284, -1.3509340559472067, 26.305334566467003, -0.6557722235905176, 1.2233131489100455]|845.5525331447834105|      0.25000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
